id	category	tags	topic_text	trivia_fact	source
container-runtime/t001	container-runtime	containerd,docker,extraction	containerd Extraction	containerd was extracted from Docker in 2016 as a standalone high-level container runtime. It manages the complete container lifecycle — image pull, storage, execution, networking — and is now the default runtime for Kubernetes, AWS ECS, and many other platforms, far beyond Docker.	containerd GitHub, CNCF graduation announcement
container-runtime/t002	container-runtime	cri-o,redhat,kubernetes	CRI-O by Red Hat	CRI-O was created by Red Hat specifically as a lightweight Kubernetes container runtime. The name stands for "Container Runtime Interface - OCI." It implements only the Kubernetes CRI — nothing more — making it smaller and more focused than containerd. OpenShift uses CRI-O as its default runtime.	CRI-O project documentation
container-runtime/t003	container-runtime	runc,oci,standard	runc Is the Standard	runc is the reference implementation of the OCI runtime specification. It is the low-level component that actually creates Linux containers using namespaces and cgroups. Both Docker (via containerd) and CRI-O use runc by default, meaning most containers in the world ultimately run through the same code.	OCI runtime spec, runc GitHub
container-runtime/t004	container-runtime	runtime,confusion,levels	Runtime Confusion	The term "container runtime" is notoriously confusing because it refers to two different levels. High-level runtimes (containerd, CRI-O) manage images and container lifecycle. Low-level runtimes (runc, crun, gVisor) create the actual isolated processes. Docker, containerd, and runc are three layers that each call themselves a "runtime."	Ian Lewis, "Container Runtimes" blog series
container-runtime/t005	container-runtime	gvisor,google,sandbox	gVisor Sandboxing	gVisor, created by Google, is a user-space kernel that intercepts application system calls and re-implements them in Go. Unlike traditional containers that share the host kernel, gVisor provides an additional isolation boundary. Google uses it to run untrusted workloads on Google Cloud and internally for multi-tenant services.	gVisor documentation (Google)
container-runtime/t006	container-runtime	kata,microvm,isolation	Kata Containers	Kata Containers run each container inside a lightweight virtual machine (micro-VM) using QEMU or Cloud Hypervisor. This provides hardware-level isolation (like a VM) with the speed and workflow of containers. Kata merges the security of VMs with the developer experience of containers.	Kata Containers project docs
container-runtime/t007	container-runtime	cri,kubernetes,interface	CRI Creation	The Container Runtime Interface (CRI) was introduced in Kubernetes 1.5 (2016) to decouple Kubernetes from Docker. Before CRI, Kubernetes had Docker-specific code hardcoded into the kubelet. CRI defined a gRPC API that any compliant runtime could implement, enabling containerd and CRI-O as alternatives.	Kubernetes CRI proposal (KEP)
container-runtime/t008	container-runtime	dockershim,removal,kubernetes	Dockershim Removal	Kubernetes removed the built-in Docker support (dockershim) in version 1.24 (May 2022). This caused widespread panic, but most users were unaffected — Kubernetes had been using containerd (which Docker itself uses) under the hood anyway. The removal just eliminated an unnecessary translation layer.	Kubernetes 1.24 release notes, "Don't Panic" blog post
container-runtime/t009	container-runtime	crun,redhat,performance	crun Performance	crun, written in C by Red Hat engineer Giuseppe Scrivano, is a faster and lighter alternative to runc (written in Go). crun starts containers about twice as fast as runc and uses significantly less memory. Podman and CRI-O can optionally use crun as a drop-in runc replacement.	crun GitHub repository
container-runtime/t010	container-runtime	firecracker,aws,lambda	Firecracker micro-VMs	Firecracker, created by AWS for Lambda and Fargate, launches micro-VMs in as little as 125 milliseconds using the KVM hypervisor. Each micro-VM has minimal overhead (~5 MB memory). It enables AWS to run thousands of isolated customer workloads on a single server with VM-level security at container-like density.	Firecracker project (AWS open source)
