id	category	tags	topic_text	trivia_fact	source
security/t001	security	password,common,weakness	Most Common Password	"password" and "123456" have topped the list of most common passwords for over a decade. Despite years of security awareness campaigns, NordPass reports that "123456" can be cracked in under one second, yet millions of people still use it.	nordpass-common-passwords
security/t002	security	morris-worm,1988,history	Morris Worm	The Morris Worm (1988) was the first major internet worm, created by Cornell graduate student Robert Tappan Morris. It infected roughly 10% of the 60,000 computers then on the internet. Morris became the first person convicted under the Computer Fraud and Abuse Act.	cornell-morris-worm
security/t003	security	mitnick,fbi,hacker	Kevin Mitnick	Kevin Mitnick was once the FBI's most-wanted hacker, arrested in 1995 after a two-and-a-half-year manhunt. He was kept in solitary confinement because a judge was convinced he could launch nuclear missiles by whistling into a payphone. He later became a respected security consultant.	mitnick-ghost-in-the-wires
security/t004	security	hacker,etymology,origin	Hacker Etymology	The term "hacker" originally had nothing to do with computers. At MIT in the 1960s, a "hack" meant a clever or elegant technical solution. The negative connotation came later in the 1980s when the media applied the word to computer criminals. The original community still distinguishes "hackers" (builders) from "crackers" (breakers).	mit-tech-model-railroad-club
security/t005	security	phishing,phone-phreaking,naming	Phishing Origin	"Phishing" uses "ph" instead of "f" as a nod to "phone phreaking" — the 1970s practice of hacking telephone systems. Early phreakers like John Draper (Captain Crunch) discovered a toy whistle from Cap'n Crunch cereal produced the exact 2600 Hz tone needed to control AT&T long-distance switches.	phone-phreaking-history
security/t006	security	cve,1999,vulnerability	CVE System	The CVE (Common Vulnerabilities and Exposures) system was launched in 1999 by MITRE Corporation to provide a standardized way to identify vulnerabilities. Before CVE, different vendors used different names for the same bug, making it nearly impossible to coordinate responses.	mitre-cve-history
security/t007	security	zero-day,naming,timeline	Zero-Day Meaning	A "zero-day" vulnerability means the software vendor has had zero days to fix it — the flaw is exploited before the vendor even knows it exists. The term originated in the warez scene of the 1990s, where "zero-day" software was pirated copies available on the same day as official release.	zero-day-etymology
security/t008	security	cia-triad,model,fundamentals	CIA Triad	The CIA triad (Confidentiality, Integrity, Availability) is the foundational model of information security, but it has nothing to do with the intelligence agency. The model emerged from the US Department of Defense TCSEC (Orange Book) in 1985 and remains the framework for evaluating every security control.	dod-orange-book-1985
security/t009	security	defense-in-depth,military,strategy	Defense in Depth	"Defense in depth" was borrowed from military strategy, where it means using multiple defensive lines so that if one fails, others still hold. In security, it means layering firewalls, IDS, access controls, encryption, and monitoring so no single failure compromises the system.	nsa-defense-in-depth
security/t010	security	salt,password,hashing	Password Salting	"Salting" passwords draws its name from food — just as salt adds uniqueness to a dish, a cryptographic salt adds uniqueness to each password hash. Without salting, two users with the same password produce identical hashes, making rainbow table attacks trivial.	unix-crypt-history
security/t011	security	bcrypt,slow,design	Bcrypt Design	bcrypt was intentionally designed to be slow. Created by Niels Provos and David Mazieres in 1999 for OpenBSD, it uses the Blowfish cipher with a configurable "cost factor" that makes hashing exponentially slower. This makes brute-force attacks impractical — a feature, not a bug.	provos-mazieres-1999
security/t012	security	2fa,atm,authentication	Two-Factor Authentication	Two-factor authentication was first widely deployed via ATM cards in the 1960s-70s: something you have (the card) plus something you know (the PIN). The formal categorization of authentication factors (have, know, are) became a security standard decades later.	authentication-history
security/t013	security	heartbleed,openssl,naming	Heartbleed Bug	The Heartbleed bug (CVE-2014-0160) got its name because it exploited the TLS "heartbeat" extension in OpenSSL. A missing bounds check let attackers read up to 64KB of server memory per request. It affected roughly 17% of the internet's SSL servers and led to the creation of the Core Infrastructure Initiative.	heartbleed.com
security/t014	security	buffer-overflow,morris,classic	Buffer Overflow	Buffer overflow attacks have been known since at least 1988 (the Morris Worm used one). The concept is simple: write more data into a buffer than it can hold, overflowing into adjacent memory to hijack program execution. Despite 35+ years of awareness, buffer overflows remain in the OWASP Top 10 for native code.	aleph-one-smashing-the-stack
security/t015	security	kerckhoffs,principle,cryptography	Kerckhoffs's Principle	Kerckhoffs's Principle (1883) states that a cryptographic system should be secure even if everything about it is public knowledge, except the key. This is why security professionals distrust "security through obscurity" — a system's safety should never depend on its design being secret.	kerckhoffs-1883
security/t016	security	enigma,turing,codebreaking	Enigma and Turing	Alan Turing's work breaking the Enigma cipher at Bletchley Park during WWII is considered a founding moment of both computer science and cryptanalysis. The Enigma machine had approximately 158 quintillion possible settings, yet Turing's Bombe machine could find the daily key in about 20 minutes.	bletchley-park-history
security/t017	security	rsa,naming,public-key	RSA Naming	RSA encryption is named after its three inventors: Ron Rivest, Adi Shamir, and Leonard Adleman, who published the algorithm in 1977 at MIT. British intelligence agency GCHQ had actually discovered an equivalent method four years earlier but kept it classified.	rivest-shamir-adleman-1977
security/t018	security	owasp,top-10,injection	OWASP Top 10	The OWASP (Open Web Application Security Project) Top 10 has been published since 2003. SQL injection and cross-site scripting have appeared on every edition. In the 2021 update, "Broken Access Control" finally overtook injection as the number one risk after 17 years.	owasp-top-10-history
security/t019	security	stuxnet,nation-state,scada	Stuxnet	Stuxnet (discovered 2010) was the first known cyber weapon designed to cause physical damage. It targeted Iranian uranium enrichment centrifuges, making them spin at destructive speeds while reporting normal readings to operators. It crossed the air gap via infected USB drives and is widely attributed to US-Israeli cooperation.	symantec-stuxnet-dossier
security/t020	security	rubber-duck,xkcd,wrench	Rubber Hose Cryptanalysis	"Rubber hose cryptanalysis" is the tongue-in-cheek term for extracting passwords through coercion rather than mathematics. XKCD comic #538 illustrated this perfectly: a $5 wrench applied to the sysadmin is far more effective than a million-dollar cryptanalysis attack. It underscores that security is only as strong as its weakest link — often the human.	xkcd-538
