---
tags:
- linux
- l1
- flashcard-deck
- linux-memory
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Linux Memory Management](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-memory/05c2ddd9dc5f	linux-memory	easy	caching, linux, swap	What is the difference between MemFree and MemAvailable in /proc/meminfo?	MemFree - The amount of unused physical RAM in your system\nMemAvailable - The amount of available memory for new workloads (without pushing system to use swap) based on MemFree, Active(file), Inactive(file), and SReclaimable.\n\nRemember: `free -h`: available = free + reclaimable cache. That's what matters.\n\nGotcha: High "used" is normal — Linux caches aggressively. Check "available."	projects/knowledge/interview/linux/315-what-is-the-difference-between-memfree-and-memavai.txt
linux-memory/06a849eefe6e	linux-memory	medium	linux, memory, processes	How to check how much free memory a system has? How to check memory consumption by each process?	You can use the commands `top` and `free`\n\nRemember: `free -h`: available = free + reclaimable cache. That's what matters.\n\nGotcha: High "used" is normal — Linux caches aggressively. Check "available."	projects/knowledge/interview/linux/222-how-to-check-how-much-free-memory-a-system-has-how.txt
linux-memory/07398ab471e3	linux-memory	medium	linux, memory, oom-killer, kernel	What does the OOM killer consider when selecting a process?	Memory usage, reclaimable memory, `oom_score_adj`, root status, and system impact.\n\nInspect via `/proc/<pid>/oom_score`.\n\nRemember: OOM = kernel kills processes when memory exhausted. `dmesg | grep oom` for victims.	projects/knowledge/interview/linux/538-oom-killer-criteria.txt
linux-memory/0a93ce7558d4	linux-memory	hard	caching, linux, swap, system	What causes high kswapd CPU usage?	kswapd is the kernel swap daemon that reclaims memory pages. High CPU means memory pressure:\n\n**Causes**:\n* Memory pressure - system needs to reclaim pages constantly\n* Excessive page reclamation - too much dirty memory\n* Memory leaks - constant allocation without release\n* Overcommit with active workloads\n* Poor swappiness tuning for workload type\n\n\n\nRemember: Swap = disk overflow. swappiness(0-100) controls aggressiveness. K8s disables.\n\nGotcha: Swap masks memory problems. Databases/K8s prefer `swapoff -a`.	projects/knowledge/interview/linux/461-what-causes-high-kswapd-cpu-usage.txt
linux-memory/0d258daab8fd	linux-memory	hard	linux, system	How mount a temporary ram partition?	```bash\n# -t - filesystem type\n# -o - mount options\nmount -t tmpfs tmpfs /mnt -o size=64M\n```\n\nRemember: Linux memory: RAM→Cache→Swap. `free -h` overview. "available" is key metric.\n\nGotcha: "unused RAM is wasted RAM" — Linux caches aggressively. This is healthy behavior.	projects/knowledge/interview/linux/117-how-mount-a-temporary-ram-partition.txt
linux-memory/3def65adf104	linux-memory	hard	caching, linux, mmap, swap, system	What is vm.swappiness and how does it control memory management?	Controls the kernel's tendency to swap anonymous memory vs reclaim page cache.\n\n**Range**: 0-200 (0-100 traditionally, 200 with newer kernels)\n\n**What it does**:\n* Higher value: More willing to swap out inactive anonymous pages\n* Lower value: Prefers keeping anonymous memory in RAM, reclaims file cache instead\n\n**It's NOT a threshold** - common misconception.\n\nRemember: Swap = disk overflow. swappiness(0-100) controls aggressiveness. K8s disables.\n\nGotcha: Swap masks memory problems. Databases/K8s prefer `swapoff -a`.	projects/knowledge/interview/linux/460-explain-vm-swappiness.txt
linux-memory/5c6f632bae62	linux-memory	hard	linux, memory, debugging, troubleshooting, production	How do you find and mitigate subtle memory leaks in a long-running process without restarting it?	Use a combination of monitoring, analysis tools, and containment strategies.\n\nDetection and analysis:\n- `smem` - shows PSS (Proportional Set Size) per process\n- `pmap -x <pid>` - detailed memory map with RSS per mapping\n- `valgrind --tool=massif` - heap profiler (if you can attach)\n- Monitor `/proc/<pid>/status` - track VmRSS and VmHWM over time\n- `/proc/<pid>/smaps` - detailed breakdown of\n\nRemember: Linux memory: RAM→Cache→Swap. `free -h` overview. "available" is key metric.\n\nGotcha: "unused RAM is wasted RAM" — Linux caches aggressively. This is healthy behavior.	projects/knowledge/interview/linux/517-memory-leak-debugging-production.txt
linux-memory/5d534e6d0996	linux-memory	hard	linux, memory, swap, performance, tuning	Explain a real scenario where lowering swappiness makes performance worse.	"Low swappiness causes page cache starvation and increased I/O amplification.\n\nScenario: Application server with hot working set of files\n- swappiness=1 means ""never swap, always drop page cache""\n- Hot files constantly re-read from disk instead of staying cached\n- Anonymous memory (rarely used) stays in RAM\n- Result: massive I/O amplification, slower performance\n\n"\n\nRemember: Swap = disk overflow. swappiness(0-100) controls aggressiveness. K8s disables.\n\nGotcha: Swap masks memory problems. Databases/K8s prefer `swapoff -a`.	projects/knowledge/interview/linux/502-low-swappiness-worse-performance.txt
linux-memory/6a2272f8d6ce	linux-memory	medium	caching, linux, system	Why does free not show all available memory as free?	Linux aggressively uses RAM for cache and buffers. Free memory is wasted memory.\n\n**Understanding the output**:\n```\n              total    used    free   shared  buff/cache   available\nMem:           16G     4G      1G      200M       11G         10G\n```\n\n\n\nRemember: `free -h`: available = free + reclaimable cache. That's what matters.\n\nGotcha: High "used" is normal — Linux caches aggressively. Check "available."	projects/knowledge/interview/linux/463-why-does-free-not-show-all-available-memory.txt
linux-memory/6e3ef998aa9f	linux-memory	medium	linux, debugging, gdb, strace	How to debug binaries?	Several tools for debugging binaries:\n\n1. gdb - GNU Debugger (breakpoints, stepping, variables)\n2. strace - System call tracer\n3. ltrace - Library call tracer\n4. objdump - Disassembler\n5. nm - Symbol listing\n6. ldd - Shared library dependencies\n7. valgrind - Memory debugging (leaks, invalid access)\n\nCompile with -g flag for debug symbols.\n\nRemember: Linux memory: RAM→Cache→Swap. `free -h` overview. "available" is key metric.\n\nGotcha: "unused RAM is wasted RAM" — Linux caches aggressively. This is healthy behavior.	projects/knowledge/interview/linux/333-how-to-debug-binaries.txt
linux-memory/7528ce4d5a7c	linux-memory	medium	linux, memory, oom, kernel	What is the Linux kernel OOM killer and when does it activate?	OOM (Out of Memory) Killer terminates processes when memory is exhausted.\n\nWhen triggered:\n- Physical RAM exhausted\n- Swap full or disabled\n- Memory allocation fails\n\nHow it selects victims:\n- oom_score for each process (0-1000)\n- Higher score = more likely to die\n\nRemember: OOM = kernel kills processes when memory exhausted. `dmesg | grep oom` for victims.	projects/knowledge/interview/linux/363-explain-kernel-oom.txt
linux-memory/8c1a205759f0	linux-memory	easy	linux, memory, kernel	What is the difference between paging and swapping?	Both involve moving data between RAM and disk, but at different granularities.\n\nPaging:\n- Moves individual pages (4KB typically)\n- Fine-grained memory management\n- Pages moved to swap as needed\n- Demand paging: load pages only when accessed\n- Modern systems primarily use paging\n\nSwapping (traditional):\n\nRemember: Swap = disk overflow. swappiness(0-100) controls aggressiveness. K8s disables.\n\nGotcha: Swap masks memory problems. Databases/K8s prefer `swapoff -a`.	projects/knowledge/interview/linux/420-what-is-the-difference-between-paging-and-swapping.txt
linux-memory/9b38d2a5ce7b	linux-memory	hard	linux, kernel, memory, oom-killer, troubleshooting	Explain how the Linux OOM killer selects which process to kill.	The OOM killer uses /proc/<pid>/oom_score and /proc/<pid>/oom_score_adj to determine victims.\n\nScore calculation factors:\n- Memory usage (primary factor) - RSS and swap consumption\n- Process priority and niceness\n- Heuristics: root processes get lower scores, child processes factor in\n- Process age (newer processes may score higher)\n\n\n\nRemember: OOM = kernel kills processes when memory exhausted. `dmesg | grep oom` for victims.	projects/knowledge/interview/linux/510-oom-killer-process-selection.txt
linux-memory/a38ab75cf452	linux-memory	easy	linux, memory, swap	What is a swap partition? What is it used for?	Swap is disk space used as virtual memory extension.\n\nPurpose:\n- Extends available memory beyond physical RAM\n- Holds inactive memory pages\n- Enables hibernation (swap must be >= RAM)\n- Prevents OOM when RAM is full\n\nTypes:\n- Swap partition: Dedicated disk partition\n\nRemember: Swap = disk overflow. swappiness(0-100) controls aggressiveness. K8s disables.\n\nGotcha: Swap masks memory problems. Databases/K8s prefer `swapoff -a`.	projects/knowledge/interview/linux/349-what-is-a-swap-partition-what-is-it-used-for.txt
linux-memory/aef3b5c0ef96	linux-memory	hard	linux, oom, system	How does the Linux OOM killer decide what to kill?	When memory is exhausted and can't be reclaimed, the OOM killer selects a victim:\n\n**oom_score calculation**:\n* Based on memory usage (RSS)\n* Adjusted by `oom_score_adj` (-1000 to 1000)\n* -1000 = never kill, 1000 = always prefer\n* Root processes get slight protection by default\n\n**Selection criteria**:\n* Highest score wins (gets killed)\n\nRemember: OOM = kernel kills processes when memory exhausted. `dmesg | grep oom` for victims.	projects/knowledge/interview/linux/459-how-does-the-oom-killer-decide-what-to-kill.txt
