id	category	difficulty	text	what_it_does	details	source_hint	tags
kubectl-get-pods	kubectl	1	kubectl get pods	list pods in the current namespace	default namespace view; add -n <ns> for others	seed	k8s-daily,pods,list
kubectl-get-pods-all	kubectl	1	kubectl get pods -A	list pods across all namespaces	fast cluster-wide visibility; common first look during troubleshooting	seed	k8s-daily,pods,list,all
kubectl-get-pods-wide	kubectl	1	kubectl get pods -o wide	list pods with node and IP details	shows node placement and pod IPs; useful for scheduling issues	seed	k8s-daily,pods,list,wide
kubectl-describe-pod	kubectl	2	kubectl describe pod my-pod	show detailed info about a pod	events section at the bottom is often the most useful part	seed	k8s-debug,pods,describe
kubectl-logs	kubectl	1	kubectl logs my-pod	show logs for a pod	add -c <container> for multi-container pods	seed	k8s-daily,pods,logs
kubectl-logs-follow	kubectl	2	kubectl logs -f deployment/my-app	stream logs from a deployment	follows logs in real time; Ctrl-C to stop	seed	k8s-debug,logs,follow
kubectl-exec	kubectl	2	kubectl exec -it my-pod -- sh	open a shell in a running pod	use -- to separate kubectl args from the command	seed	k8s-debug,exec,shell
kubectl-get-svc	kubectl	1	kubectl get svc -A	list services across all namespaces	shows ClusterIP, NodePort, LoadBalancer types	seed	k8s-daily,services,list
kubectl-get-events	kubectl	2	kubectl get events --sort-by='.lastTimestamp' -A	list cluster events sorted by time	critical for debugging scheduling, pull, and crash issues	seed	k8s-debug,events
kubectl-apply	kubectl	1	kubectl apply -f deployment.yaml	apply a manifest file	declarative create-or-update; idempotent	seed	k8s-daily,apply,manifest
kubectl-delete-pod	kubectl	1	kubectl delete pod my-pod	delete a specific pod	deployment controller will recreate it if managed	seed	k8s-daily,pods,delete
kubectl-rollout-restart	kubectl	2	kubectl rollout restart deployment/my-app	restart all pods in a deployment	triggers a rolling restart without changing the spec	seed	k8s-daily,rollout,restart
kubectl-rollout-status	kubectl	2	kubectl rollout status deployment/my-app	watch a rollout until complete	blocks until rollout finishes or fails	seed	k8s-daily,rollout,status
kubectl-explain	kubectl	2	kubectl explain deployment.spec.template	show schema docs for a resource field	drill into any field with dot notation	seed	k8s-daily,explain,docs
kubectl-config-view	kubectl	1	kubectl config view --minify	show current kubeconfig context	minify strips other contexts; shows server and user	seed	k8s-daily,config,context
kubectl-get-nodes	kubectl	1	kubectl get nodes -o wide	list nodes with OS and IP details	shows kernel version, container runtime, and internal IPs	seed	k8s-daily,nodes,list
kubectl-top-nodes	kubectl	2	kubectl top nodes	show node CPU and memory usage	requires metrics-server to be running	repo	k8s-debug,metrics,nodes
kubectl-top-pods	kubectl	2	kubectl top pods -n grokdevops	show pod CPU and memory usage	useful for spotting resource hogs	repo	k8s-debug,metrics,pods
kubectl-rollout-history	kubectl	2	kubectl rollout history deployment/grokdevops -n grokdevops	show rollout revision history	compare revisions to find what changed	repo	k8s-debug,rollout,history
kubectl-rollout-undo	kubectl	2	kubectl rollout undo deployment/grokdevops -n grokdevops	roll back to previous deployment revision	instant rollback to the last known-good state	repo	k8s-debug,rollout,undo
kubectl-get-endpoints	kubectl	2	kubectl get endpoints -n grokdevops	list endpoints for services	shows which pod IPs back each service	repo	k8s-debug,endpoints
kubectl-logs-previous	kubectl	2	kubectl logs -n grokdevops deploy/grokdevops --previous	show logs from the previous container instance	essential for debugging crash loops	repo	k8s-debug,logs,previous
kubectl-logs-since	kubectl	2	kubectl logs -n grokdevops deploy/grokdevops --since=5m	show logs from the last 5 minutes	avoids scrolling through old output	repo	k8s-debug,logs,recent
kubectl-get-hpa	kubectl	2	kubectl get hpa -n grokdevops	show horizontal pod autoscaler status	displays current/desired replicas and metrics	repo	k8s-debug,hpa,autoscale
kubectl-auth-cani	kubectl	3	kubectl auth can-i --list -n grokdevops	list your permissions in a namespace	quick RBAC sanity check	repo	k8s-debug,rbac,auth
kubectl-run-debug	kubectl	3	kubectl run debug -n grokdevops --rm -i --restart=Never --image=busybox:1.36 -- sh	launch a temporary debug pod	auto-removed on exit; useful for network testing	repo	k8s-debug,debug,ephemeral
kubectl-get-configmap	kubectl	2	kubectl get configmap -n grokdevops	list configmaps in a namespace	check for missing or stale config	repo	k8s-debug,configmap,list
kubectl-port-forward	kubectl	2	kubectl port-forward -n grokdevops svc/grokdevops 8000:80	forward local port to a service	access cluster services from localhost	repo	k8s-debug,port-forward
kubectl-scale	kubectl	2	kubectl scale deployment grokdevops -n grokdevops --replicas=3	scale a deployment to N replicas	quick horizontal scaling	repo	k8s-daily,scale,replicas
kubectl-get-deploy	kubectl	1	kubectl get deploy -n grokdevops	list deployments in a namespace	shows desired/ready/available counts	repo	k8s-daily,deployments,list
kubectl-get-ns	kubectl	1	kubectl get namespaces	list all namespaces	quick cluster overview	seed	k8s-daily,namespaces
kubectl-create-ns	kubectl	1	kubectl create namespace my-namespace	create a new namespace	used before deploying into a fresh namespace	seed	k8s-daily,namespaces,create
kubectl-get-secret	kubectl	2	kubectl get secret -n grokdevops	list secrets in a namespace	shows Opaque, TLS, docker-registry types	repo	k8s-debug,secrets
kubectl-label	kubectl	2	kubectl label namespace production env=prod	add a label to a resource	labels drive selectors, network policies, and scheduling	repo	k8s-daily,labels
git-status	git	1	git status -sb	show short branch and file status	compact view; shows ahead/behind counts	seed	git-daily,status,branch
git-add-patch	git	2	git add -p	interactively stage hunks	review each change before staging; builds better commits	seed	git-daily,add,interactive
git-add-all	git	1	git add .	stage all changes in current directory	stages new, modified, and deleted files	seed	git-daily,add,stage
git-commit	git	1	git commit -m "message"	commit staged changes with a message	keep messages short and imperative	seed	git-daily,commit
git-switch-create	git	1	git switch -c my-branch	create and switch to a new branch	modern replacement for checkout -b	seed	git-daily,branch,create
git-switch-main	git	1	git switch main	switch to the main branch	ensure clean working tree first	seed	git-daily,branch,switch
git-diff	git	1	git diff	show unstaged changes	compares working tree to index	seed	git-daily,diff
git-diff-cached	git	1	git diff --cached	show staged changes	what will be in the next commit	seed	git-daily,diff,staged
git-restore-staged	git	2	git restore --staged path/to/file	unstage a file without losing changes	safer than reset for targeted unstaging	seed	git-daily,restore,unstage
git-log-graph	git	2	git log --oneline --graph --decorate -20	show recent commit graph	visual branch topology at a glance	seed	git-history,log,graph
git-reset-soft	git	2	git reset --soft HEAD~1	undo last commit keeping changes staged	useful for rewording or splitting commits	seed	git-history,reset,undo
git-rebase-interactive	git	3	git rebase -i HEAD~5	interactively rebase last 5 commits	squash, reorder, edit, or drop commits	seed	git-history,rebase,interactive
git-push-upstream	git	1	git push -u origin my-branch	push branch and set upstream tracking	first push of a new branch	seed	git-daily,push,upstream
git-fetch-prune	git	2	git fetch --all --prune	fetch all remotes and remove stale refs	keeps local remote-tracking branches clean	seed	git-daily,fetch,prune
git-stash-push	git	2	git stash push -m "WIP: description"	stash changes with a descriptive message	named stashes are easier to find later	repo	git-daily,stash,save
git-stash-pop	git	1	git stash pop	apply and remove the top stash entry	restores stashed changes to working tree	repo	git-daily,stash,restore
git-cherry-pick	git	2	git cherry-pick abc1234	apply a specific commit to current branch	useful for backporting fixes	repo	git-history,cherry-pick
git-log-oneline	git	1	git log --oneline -20	show recent commits one per line	fast commit history scan	seed	git-history,log
git-branch-all	git	1	git branch -a	list all local and remote branches	shows tracking relationships	seed	git-daily,branch,list
git-merge	git	2	git merge feature-branch	merge a branch into current branch	creates a merge commit unless fast-forward	seed	git-daily,merge
git-diff-branches	git	2	git diff main feature-branch	compare two branches	shows all changes between branch tips	repo	git-history,diff,branches
git-show-file	git	2	git show HEAD:path/to/file	show a file at a specific revision	inspect without checking out	repo	git-history,show
systemd-status	systemd	1	systemctl status sshd	show service status and recent logs	quick health check for any service	seed	systemd-daily,status,service
systemd-restart	systemd	1	systemctl restart sshd	restart a service	stop then start; reloads config	seed	systemd-daily,restart,service
systemd-daemon-reload	systemd	2	systemctl daemon-reload	reload systemd manager configuration	required after editing unit files	seed	systemd-daily,reload,config
systemd-list-running	systemd	2	systemctl list-units --type=service --state=running	list all running services	quick audit of what is active	seed	systemd-daily,list,running
systemd-list-deps	systemd	3	systemctl list-dependencies sshd.service	show service dependency tree	understand startup ordering	repo	systemd-debug,dependencies,tree
systemd-cat	systemd	2	systemctl cat nginx.service	show the unit file contents	see the actual config without finding the file	repo	systemd-debug,cat,unitfile
systemd-enable	systemd	1	systemctl enable sshd	enable a service to start at boot	creates symlink in the target wants directory	seed	systemd-daily,enable,boot
systemd-disable	systemd	1	systemctl disable sshd	disable a service from starting at boot	removes the symlink; does not stop it now	seed	systemd-daily,disable,boot
systemd-is-active	systemd	1	systemctl is-active sshd	check if a service is running	returns active or inactive; useful in scripts	seed	systemd-daily,check
systemd-show-prop	systemd	2	systemctl show sshd.service -p MainPID	show a specific property of a service	query any property without parsing status output	repo	systemd-debug,properties
systemd-analyze	systemd	2	systemd-analyze blame	show service startup times	find slow services in boot chain	seed	systemd-debug,boot,timing
journalctl-unit	journalctl	1	journalctl -u sshd -e	show logs for a unit jumping to end	-e positions at the bottom	seed	systemd-daily,logs,unit
journalctl-follow	journalctl	1	journalctl -u sshd -f	follow logs for a unit in real time	like tail -f for systemd services	seed	systemd-daily,logs,follow
journalctl-xe	journalctl	2	journalctl -xe	show recent logs with explanations	-x adds catalog explanations for known messages	seed	systemd-debug,logs,explain
journalctl-errors	journalctl	2	journalctl -p err	show only error-priority messages	filters out info and warning noise	repo	systemd-debug,logs,errors
journalctl-since	journalctl	2	journalctl --since "1 hour ago"	show logs from the last hour	human-readable time expressions	repo	systemd-debug,logs,time
journalctl-boot	journalctl	1	journalctl -b	show logs from current boot	useful after a reboot to check startup	seed	systemd-debug,logs,boot
journalctl-disk	journalctl	2	journalctl --disk-usage	show how much disk journal uses	large journals can fill disks	seed	systemd-debug,logs,disk
systemd-start	systemd	1	systemctl start nginx	start a service	does not enable it for boot	seed	systemd-daily,start,service
systemd-stop	systemd	1	systemctl stop nginx	stop a service	graceful stop; does not disable from boot	seed	systemd-daily,stop,service
systemd-mask	systemd	2	systemctl mask sshd	completely prevent a service from starting	even manual start is blocked; use unmask to undo	seed	systemd-daily,mask,prevent
systemd-unmask	systemd	2	systemctl unmask sshd	remove the mask on a service	allows the service to be started again	seed	systemd-daily,unmask
systemd-is-enabled	systemd	1	systemctl is-enabled sshd	check if a service starts at boot	returns enabled, disabled, or masked	seed	systemd-daily,check,boot
systemd-failed	systemd	1	systemctl --failed	list all failed services	quick way to find broken units	seed	systemd-daily,failed,troubleshoot
systemd-edit	systemd	2	systemctl edit nginx.service	create an override snippet for a service	creates drop-in file without touching the vendor unit	repo	systemd-debug,override,edit
systemd-reload	systemd	1	systemctl reload nginx	reload service config without restart	sends SIGHUP; not all services support it	seed	systemd-daily,reload,service
systemd-list-timers	systemd	2	systemctl list-timers --all	list all systemd timers	replacement for cron; shows next trigger time	repo	systemd-debug,timers,schedule
systemd-isolate	systemd	3	systemctl isolate multi-user.target	switch to a different target	like changing runlevel; stops unneeded services	repo	systemd-debug,target,isolate
systemd-analyze-critical	systemd	3	systemd-analyze critical-chain	show the critical chain of boot	identifies the longest blocking path in startup	seed	systemd-debug,boot,critical
systemd-show-env	systemd	2	systemctl show-environment	show systemd manager environment variables	useful for debugging service env issues	repo	systemd-debug,environment,debug
journalctl-kernel	journalctl	1	journalctl -k	show kernel messages	equivalent to dmesg but through journald	seed	systemd-debug,logs,kernel
journalctl-since-until	journalctl	3	journalctl --since "2024-01-01" --until "2024-01-02"	show logs in a date range	ISO dates or relative times like yesterday	repo	systemd-debug,logs,time,range
journalctl-json	journalctl	2	journalctl -u nginx -o json-pretty	show logs in JSON format	structured output for parsing and analysis	repo	systemd-debug,logs,json,structured
journalctl-vacuum	journalctl	2	journalctl --vacuum-size=500M	shrink journal to 500MB	free disk space by removing old entries	seed	systemd-debug,logs,disk,cleanup
journalctl-lines	journalctl	1	journalctl -u sshd -n 50	show last 50 lines for a unit	quick recent log check; default is 10	seed	systemd-daily,logs,recent
journalctl-no-pager	journalctl	1	journalctl -u nginx --no-pager	show logs without the pager	useful for piping output to other tools	seed	systemd-daily,logs,pipe
journalctl-previous-boot	journalctl	2	journalctl -b -1	show logs from previous boot	debug crashes by reviewing what happened last boot	repo	systemd-debug,logs,boot,previous
