---
tags:
- devops
- l1
- flashcard-deck
- kafka
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kafka](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
kafka/00460f4953a3	kafka	medium	kafka,performance,broker	Discuss the scenarios where Kafka is a better choice than traditional messaging systems.	Kafka is a preferred choice in several scenarios compared to traditional messaging systems:\n* Scalability: Kafka's distributed architecture allows for horizontal scaling, accommodating large volumes of data and high message throughput.\n\nRemember: Kafka = distributed commit log. Topics→partitions→consumers. Sequential I/O + zero-copy.\n\nUnder the hood: Kafka persists everything to disk. High throughput from sequential writes.	projects/knowledge/interview/kafka/033-discuss-the-scenarios-where-kafka-is-a-better-choi.txt
kafka/0114c291bb9e	kafka	medium	kafka,broker	Explain the role of Kafka in a distributed system.	In a distributed system, Kafka serves as a distributed messaging system that enables communication and data exchange between different components or services. Its key roles include:\n* Data Streaming: Kafka facilitates the streaming of real-time data between distributed components, allowing seamless communication in a decoupled manner.\n\nRemember: Kafka = distributed commit log. Topics→partitions→consumers. Sequential I/O + zero-copy.\n\nUnder the hood: Kafka persists everything to disk. High throughput from sequential writes.	projects/knowledge/interview/kafka/006-explain-the-role-of-kafka-in-a-distributed-system.txt
kafka/0781a2cc9c45	kafka	easy	kafka,performance,broker	What is Apache Kafka and what problems does it solve?	"[kafka.apache.org](https://kafka.apache.org): ""Apache Kafka is an open-source distributed event streaming platform used by thousands of companies for high-performance data pipelines, streaming analytics, data integration, and mission-critical applications.""\n\nIn other words, Kafka is a sort of distributed log where you can store events, read them and distribute them to different services and do it in high-scale and real-time."\n\nRemember: Kafka = distributed commit log. Topics→partitions→consumers. Sequential I/O + zero-copy.\n\nUnder the hood: Kafka persists everything to disk. High throughput from sequential writes.	projects/knowledge/interview/kafka/001-what-is-kafka.txt
kafka/0ae9ad61a856	kafka	hard	kafka,producer,consumer,partition	How does Kafka handle message ordering within a partition?	Kafka ensures strict ordering of messages within a partition. Each partition maintains a sequential log of messages, and each message is assigned a unique offset. Producers sequentially append messages to the end of the log, and consumers read messages in the order of their offsets. The ordering is guaranteed within a partition, but across partitions, there is no guaranteed global order.\n\nRemember: Kafka = distributed commit log. Topics→partitions→consumers. Sequential I/O + zero-copy.\n\nUnder the hood: Kafka persists everything to disk. High throughput from sequential writes.	projects/knowledge/interview/kafka/031-how-does-kafka-handle-message-ordering-within-a-pa.txt
kafka/11a9ce9f97ff	kafka	hard	kafka, control-flow, networking	Discuss Kafka’s support for different message delivery semantics.	Kafka supports different message delivery semantics to cater to various application requirements. The main delivery semantics include:\n\nRemember: Kafka = distributed commit log. Topics→partitions→consumers. Sequential I/O + zero-copy.\n\nUnder the hood: Kafka persists everything to disk. High throughput from sequential writes.	projects/knowledge/interview/kafka/069-discuss-kafkas-support-for-different-message-deliv.txt
kafka/1a8be1821cd0	kafka	easy	kafka,topic,streams,monitoring	What are Kafka Streams and its use cases?	Kafka Streams is a lightweight, stream processing library in Kafka that allows developers to build applications that process and analyze real-time data streams. It provides a high-level DSL (Domain-Specific Language) for writing stream processing applications directly against Kafka topics. Use cases for Kafka Streams include real-time analytics, fraud detection, monitoring, and ETL (Extract, Transform, Load) operations.\n\nRemember: Kafka = distributed commit log. Topics→partitions→consumers. Sequential I/O + zero-copy.\n\nUnder the hood: Kafka persists everything to disk. High throughput from sequential writes.	projects/knowledge/interview/kafka/027-what-are-kafka-streams-and-its-use-cases.txt
kafka/1b566a222e7b	kafka	hard	kafka,producer,exactly-once	Discuss the challenges and solutions for ensuring exactly-once semantics in Kafka.	Ensuring exactly-once semantics in Kafka is challenging but achievable. Challenges include:\n* Producer Idempotence: Producers can be configured to send messages idempotently, ensuring that duplicate messages do not affect the overall result.\n\nUnder the hood: Requires enable.idempotence=true + transactional API. Adds latency.	projects/knowledge/interview/kafka/040-discuss-the-challenges-and-solutions-for-ensuring-.txt
kafka/1b89b64e9050	kafka	hard	kafka,broker,partition,replication	How does Kafka ensure fault tolerance?	Kafka ensures fault tolerance through partition replication. Each partition has multiple replicas distributed across different brokers. If a broker fails, one of the replicas can be promoted to serve as the new leader, ensuring uninterrupted data availability. This replication strategy, combined with ZooKeeper for broker coordination and leader election, makes Kafka resilient to individual broker failures and contributes to the overall fault tolerance of the system.\n\nRemember: Kafka = distributed commit log. Topics→partitions→consumers. Sequential I/O + zero-copy.\n\nUnder the hood: Kafka persists everything to disk. High throughput from sequential writes.	projects/knowledge/interview/kafka/015-how-does-kafka-ensure-fault-tolerance.txt
kafka/1cf0b1e635c2	kafka	easy	kafka, control-flow	What are the challenges and best practices for upgrading Kafka versions in a production environment?	Upgrading Kafka versions in a production environment poses challenges that need careful consideration. Best practices include:\n\nRemember: Kafka = distributed commit log. Topics→partitions→consumers. Sequential I/O + zero-copy.\n\nUnder the hood: Kafka persists everything to disk. High throughput from sequential writes.	projects/knowledge/interview/kafka/073-what-are-the-challenges-and-best-practices-for-upg.txt
kafka/1d403be2164b	kafka	medium	kafka,broker,partition,replication	Discuss the impact of changing the Kafka replication factor.	Changing the Kafka replication factor has several impacts on the Kafka cluster:\n* Fault Tolerance: Increasing the replication factor improves fault tolerance. Each partition has multiple replicas, and if a broker fails, one of the replicas can be promoted to leader, ensuring continuity of data availability.\n\nRemember: RF=3 survives 2 broker failures. `min.insync.replicas=2` protects writes.\n\nGotcha: min.insync.replicas + acks=all = data safety but can reduce availability.	projects/knowledge/interview/kafka/042-discuss-the-impact-of-changing-the-kafka-replicati.txt
