=== iLO Integrated Management Log (compute-14) ===
ID   | Severity | Date/Time            | Description
-----|----------|----------------------|------------------------------------------------
1042 | Info     | 2026-03-04 22:15:03  | Server power on
1041 | Info     | 2026-03-04 22:14:58  | Online ROM flash complete. BIOS updated to v2.76
1040 | Info     | 2026-03-04 22:10:22  | Online ROM flash initiated. Current version: v2.42
1039 | Info     | 2026-03-04 22:10:01  | Server power off (graceful shutdown)
1038 | Caution  | 2026-03-04 22:15:44  | BIOS configuration reset to default values
1037 | Caution  | 2026-03-04 22:16:02  | Boot device not found
1036 | Info     | 2026-03-04 22:16:10  | Server restart (automatic - no boot device)
1035 | Caution  | 2026-03-04 22:17:01  | Boot device not found
1034 | Info     | 2026-03-04 22:17:09  | Server restart (automatic - no boot device)
1033 | Caution  | 2026-03-04 22:18:00  | Boot device not found
1032 | Info     | 2026-03-04 22:18:08  | Server restart (automatic - no boot device)
