---
tags:
- linux
- l1
- flashcard-deck
- linux-security
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Linux Hardening](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-security/0195fe8f4def	linux-security	easy	linux, permissions, system	How to recursively change permissions for all directories except files and for all files except directories?	To change all the directories e.g. to **755** (`drwxr-xr-x`):\n\n```bash\nfind /opt/data -type d -exec chmod 755 {} \;\n```\n\nTo change all the files e.g. to **644** (`-rw-r--r--`):\n\n```bash\nfind /opt/data -type f -exec chmod 644 {} \;\n```\n\nRemember: 4=read, 2=write, 1=execute. 755=rwxr-xr-x. SUID=4000, SGID=2000, sticky=1000.\n\nGotcha: SUID runs as owner(root). Find: `find / -perm -4000`. Security audit must-check.	projects/knowledge/interview/linux/014-how-to-recursively-change-permissions-for-all-dire.txt
linux-security/0aff37c3ea5a	linux-security	easy	linux, security, logging, users	How to see a list of who logged in to the system?	Several commands show login history:\n\nCurrent users:\n- who - Currently logged in users\n- w - Logged in users with activity\n- users - Simple list of usernames\n\nLogin history:\n- last - Recent logins from /var/log/wtmp\n- last username - Specific user history\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/400-how-to-see-a-list-of-who-logged-in-to-the-system.txt
linux-security/0c931984d913	linux-security	medium	linux, permissions, users	What does the following permissions mean?:	\n777 - You give the owner, group and other: Execute (1), Write (2) and Read (4); 4+2+1 = 7.\n644 - Owner has Read (4), Write (2), 4+2 = 6; Group and Other have Read (4).\n750 - Owner has x+r+w, Group has Read (4) and Execute (1); 4+1 = 5. Other have no permissions.\n\n\nRemember: 4=read, 2=write, 1=execute. 755=rwxr-xr-x. SUID=4000, SGID=2000, sticky=1000.\n\nGotcha: SUID runs as owner(root). Find: `find / -perm -4000`. Security audit must-check.	projects/knowledge/interview/linux/159-what-does-the-following-permissions-mean-777-644-7.txt
linux-security/0df2c620be10	linux-security	easy	audit, linux, system, users	Why do we use `sudo su -` and not just `sudo su`?	`sudo` is in most modern Linux distributions where (but not always) the root user is disabled and has no password set. Therefore you cannot switch to the root user with `su` (you can try). You have to call `sudo` with root privileges: `sudo su`.\n\n`su` just switches the user, providing a normal shell with an environment nearly the same as with the old user.\n\n`su -` invokes a login shell after switching the user. A login shell resets most environment variables, providing a clean base.	projects/knowledge/interview/linux/028-why-do-we-use-codesudo-su-code-and-not-just-codesu.txt
linux-security/0ec2a01cbed7	linux-security	hard	chroot, linux, system, users	What is the main advantage of using `chroot`? When and why do we use it? What is the purpose of the mount dev, proc, sys in a chroot environment?	An advantage of having a chroot environment is the file-system is totally isolated from the physical host. `chroot` has a separate file-system inside the file-system, the difference is its uses a newly created root(/) as its root directory.\n\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/095-what-is-the-main-advantage-of-using-codechrootcode.txt
linux-security/15f3f61120b9	linux-security	medium	linux, permissions, users	Explain what are ACLs. For what use cases would you recommend to use them?	ACL stands for Access Control Lists. We can use ACL to have more granular control over accesses to certain files for certain users specifically. For instance, we can return the ACL of a particular file with the command `getfacl /absolute/file/path` and modify ACLs for a specific file with `setfacl -m`.\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/165-explain-what-are-acls-for-what-use-cases-would-you.txt
linux-security/222489455093	linux-security	hard	encryption, linux, system	What is the difference between encryption and hashing?	**Hashing**: Finally, hashing is a form of cryptographic security which differs from **encryption** whereas **encryption** is a two step process used to first encrypt and then decrypt a message, **hashing** condenses a message into an irreversible fixed-length value, or hash.\n\nRemember: LUKS = disk encryption. `cryptsetup luksFormat /dev/sdb1`.	projects/knowledge/interview/linux/112-what-is-the-difference-between-encryption-and-hash.txt
linux-security/228a560407a1	linux-security	medium	encryption, linux, users	Which file stores users passwords? Is it visible for everyone?	`/etc/shadow` file holds the passwords of the users in encrypted format. NO, it is only visible to the `root` user\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/393-which-file-stores-users-passwords-is-it-visible-fo.txt
linux-security/22a625090378	linux-security	medium	linux, security, selinux, mac	SELinux enforcing vs permissive?	Enforcing blocks violations.\n\nPermissive logs AVC denials but allows execution—used for debugging and policy development.\n\nRemember: SELinux: Enforcing, Permissive, Disabled. Check: `getenforce`. "EPD."\n\nGotcha: `setenforce 0` is temporary. Permanent: `/etc/selinux/config`. Disabling breaks compliance.	projects/knowledge/interview/linux/548-selinux-enforcing-vs-permissive.txt
linux-security/2489baf2ac20	linux-security	medium	linux, permissions	How to change the permissions of a file?	Using the `chmod` command.\n\nRemember: 4=read, 2=write, 1=execute. 755=rwxr-xr-x. SUID=4000, SGID=2000, sticky=1000.\n\nGotcha: SUID runs as owner(root). Find: `find / -perm -4000`. Security audit must-check.	projects/knowledge/interview/linux/158-how-to-change-the-permissions-of-a-file.txt
linux-security/25c2978c59a3	linux-security	medium	linux, chroot, security, isolation	What is chroot? In what scenarios would you consider using it?	chroot changes the apparent root directory for a process.\n\nHow it works:\n- chroot /newroot /bin/bash\n- Process sees /newroot as /\n- Can't access files outside\n\nUse cases:\n1. System recovery - Boot from live CD, chroot to repair\n2. Build environments - Isolated compilation\n3. Legacy applications - Run with old libraries\n4. Basic isolation - Simple sandboxing\n5.\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/364-what-is-chroot-in-what-scenarios-would-you-conside.txt
linux-security/25c86c53bb4f	linux-security	medium	encryption, linux, ssh	How do you create a private key for a CA (certificate authority)?	One way is using openssl this way:\n\n`openssl genrsa -aes256 -out ca-private-key.pem 4096`\n\nRemember: TLS port 443. Chain: Root CA→Intermediate→Server. Let's Encrypt=free, 90-day.	projects/knowledge/interview/linux/246-how-do-you-create-a-private-key-for-a-ca-certifica.txt
linux-security/267c84b9a0bf	linux-security	medium	linux, users	How to switch to another user? How to switch to the root user?	su command.\nUse su - to switch to root\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/271-how-to-switch-to-another-user-how-to-switch-to-the.txt
linux-security/2ec2eccd1de2	linux-security	easy	linux, permissions, security, sticky-bit, filesystem	"How does ""Sticky Bit"" work on a directory?"	The sticky bit restricts file deletion in shared directories to owners only.\n\nHow it works:\n- When set on a directory (not files), only the file owner, directory owner, or root can delete/rename files within\n- Other users with write permission to the directory cannot delete others' files\n- Classic use case: /tmp directory\n\n\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/531-sticky-bit-directory.txt
linux-security/360ca0895c72	linux-security	hard	audit, linux, ssh, system	What is the difference between `/sbin/nologin`, `/bin/false`, and `/bin/true`?	When `/sbin/nologin` is set as the shell, if user with that shell logs in, they'll get a polite message saying 'This account is currently not available'.\n\n`/bin/false` is just a binary that immediately exits, returning false, when it's called, so when someone who has false as shell logs in, they're immediately logged out when false exits.\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/099-what-is-the-difference-between-codesbinnologincode.txt
linux-security/37343de9840c	linux-security	medium	linux, permissions, chmod	What does chmod 755 filename do?	Sets file permissions to rwxr-xr-x (owner can read/write/execute, group and others can read/execute).\n\nRemember: 4=read, 2=write, 1=execute. 755=rwxr-xr-x. SUID=4000, SGID=2000, sticky=1000.\n\nGotcha: SUID runs as owner(root). Find: `find / -perm -4000`. Security audit must-check.	projects/knowledge/interview/linux/559-what-does-chmod-755-do.txt
linux-security/3ece6684dc3c	linux-security	easy	linux, users	What is sudo? How do you set it up?	"sudo is a command-line utility in Unix-like operating systems that allows users to run programs with the privileges of another user, usually the superuser (root). It stands for ""superuser do.\n\nThe sudo program is installed by default in almost all Linux distributions. If you need to install sudo in Debian/Ubuntu, use the command apt-get install sudo"\n\nRemember: sudo config: `/etc/sudoers`. ALWAYS edit with `visudo` — validates syntax.\n\nGotcha: Broken sudoers = locked out. visudo prevents by checking before saving.	projects/knowledge/interview/linux/164-what-is-sudo-how-do-you-set-it-up.txt
linux-security/45aed3711484	linux-security	medium	linux, firewall, firewalld, security	What is firewalld daemon responsible for?	firewalld is a dynamic firewall manager for Linux.\n\nResponsibilities:\n- Managing firewall rules\n- Zone-based configuration\n- Runtime and permanent rules\n- D-Bus interface for applications\n\nFeatures:\n- Zones: Different trust levels (public, home, trusted)\n\nRemember: Ubuntu=UFW, RHEL=firewalld. Both=iptables/nftables frontends.	projects/knowledge/interview/linux/368-what-firewalld-daemon-is-responsible-for.txt
linux-security/55299b029b4a	linux-security	medium	linux, permissions, system	Explain the differences among the following umask values: 000, 002, 022, 027, 077, and 277.	Each umask subtracts permissions from defaults (666 files, 777 dirs).\n\n- 000: files=666 (rw-rw-rw-), dirs=777 (rwxrwxrwx) -- no restrictions\n- 002: files=664 (rw-rw-r--), dirs=775 -- others can't write\n- 022: files=644 (rw-r--r--), dirs=755 -- only owner writes (common default)\n- 027: files=640, dirs=750 -- others get nothing\n- 077: files=600, dirs=700 -- only owner has access\n- 277: files=400, dirs=500 -- owner can only read\n\nRemember: umask subtracts from 666(files)/777(dirs). 022→644/755. "What to remove."	projects/knowledge/interview/linux/044-explain-the-differences-among-the-following-umask-.txt
linux-security/586b8aadca3f	linux-security	medium	linux, security, recovery, root	What can you do if you lost/forgot the root password?	Boot into single-user/rescue mode to reset:\n\nGRUB method:\n1. Reboot, edit GRUB entry (press 'e')\n2. Find linux line, append: init=/bin/bash (or single)\n3. Boot (Ctrl+X or F10)\n4. Remount root: mount -o remount,rw /\n5. Reset password: passwd root\n6. Reboot: exec /sbin/init (or reboot -f)\n\nWith systemd:\n- Append: rd.\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/398-what-can-you-do-if-you-lostforogt-the-root-passwor.txt
linux-security/58b4fe6dbc69	linux-security	easy	encryption, linux, system	Where is my password stored on Linux/Unix?	"The passwords are not stored anywhere on the system at all. What is stored in `/etc/shadow` are so called hashes of the passwords.\n\nA hash of some text is created by performing a so called one way function on the text (password), thus creating a string to check against. By design it is ""impossible"" (computationally infeasible) to reverse that process.\n"\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/013-where-is-my-password-stored-on-linuxunix.txt
linux-security/5baba54d205e	linux-security	medium	encryption, linux, ssh	How do you create a public key for a CA (certificate authority)?	`openssl req -new -x509 -days 730 -key [private key file name] -sha256 -out ca.pem`\n\nIf using the private key from the previous question then the command would be:\n\n`openssl req -new -x509 -days 730 -key ca-private-key.pem -sha256 -out ca.pem`\n\nRemember: TLS port 443. Chain: Root CA→Intermediate→Server. Let's Encrypt=free, 90-day.	projects/knowledge/interview/linux/247-how-do-you-create-a-public-key-for-a-ca-certificat.txt
linux-security/5ecac569a51c	linux-security	hard	encryption, linux, system, users	Should the root certificate go on the server?	**Self-signed root certificates** need not/should not be included in web server configuration. They serve no purpose (clients will always ignore them) and they incur a slight performance (latency) penalty because they increase the size of the SSL handshake.\n\n\nRemember: TLS port 443. Chain: Root CA→Intermediate→Server. Let's Encrypt=free, 90-day.	projects/knowledge/interview/linux/113-should-the-root-certificate-go-on-the-server.txt
linux-security/5ee48a577910	linux-security	easy	linux, permissions, users	What is the purpose of sticky bit?	Its a bit that only allows the owner or the root user to delete or modify the file.\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/162-what-is-the-purpose-of-sticky-bit.txt
linux-security/67dcdf3936be	linux-security	easy	audit, linux, system, users	Running the command as root user. It is a good or bad practices?	Running (everything) as root is bad because:\n\n- **Stupidity**: nothing prevents you from making a careless mistake. If you try to change the system in any potentially harmful way, you need to use sudo, which ensures a pause (while you're entering the password) to ensure that you aren't about to make a mistake.\n\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/010-running-the-command-as-root-user-it-is-a-good-or-b.txt
linux-security/68101f00cd83	linux-security	medium	encryption, linux, users	How do you create users? Where user information is stored?	Command to create users is `useradd` \n\nSyntax:\n`useradd [options] Username`\n\nThere are 2 configuration files, which stores users information\n\n1. `/etc/passwd` - Users information like, username, shell etc is stored in this file \n\n2. `/etc/shadow` - Users password is stored in encrypted format\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/390-how-do-you-create-users-where-user-information-is-.txt
linux-security/683ff58c849e	linux-security	medium	encryption, linux, users	What information is stored in /etc/passwd? explain each field	`/etc/passwd` is a configuration file, which contains users information. Each entry in this file has, 7 fields,\n\n`username:password:UID:GID:Comment:home directory:shell`\n\n`username` - The name of the user.\n\n\nRemember: /etc/passwd=user info(world-readable). /etc/shadow=hashes(root-only).	projects/knowledge/interview/linux/395-what-information-is-stored-in-etcpasswd-explain-ea.txt
linux-security/69b1009b3694	linux-security	easy	linux, commands, permissions	How do you change file ownership on Linux?	`chown` (change owner). Syntax: `chown user:group file`. Examples: `chown alice file.txt` (change owner), `chown alice:devs file.txt` (owner and group), `chown :devs file.txt` (group only). Use `-R` for recursive: `chown -R alice:devs /opt/app/`. Requires root or sudo unless you own the file.\n\nRemember: Security layers: perms, sudo, firewall, SELinux/AppArmor, auditing.\n\nGotcha: Defense in depth — no single layer is enough.	projects/knowledge/interview/linux/581-chown-command.txt
