from_type	from_id	relation	to_type	to_id_or_path
concept	pod	explained_in	asset	training/library/guides/troubleshooting.md
concept	pod	explained_in	asset	training/kubectl-debugging-cheatsheet.md
concept	pod	practiced_in	asset	training/interactive/exercises/levels/level-01/k8s-pods/
concept	pod	tested_by	asset	training/library/skillchecks/kubernetes.skillcheck.md
concept	pod	cards_in	asset	training/interactive/knowledge/data/cards/kubernetes.tsv
concept	pod	related_failures	failure	FP-001_crashloopbackoff
concept	pod	related_failures	failure	FP-003_imagepullbackoff
concept	pod	related_failures	failure	FP-004_oomkilled
concept	deployment	practiced_in	asset	training/interactive/exercises/levels/level-02/k8s-deployments/
concept	deployment	related_failures	failure	FP-012_rollout_stuck
concept	deployment	key_commands	command	kubectl get deploy
concept	deployment	key_commands	command	kubectl rollout status
concept	readiness_probe	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-01-rollout-probe-failure/
concept	readiness_probe	practiced_in	asset	training/interactive/exercises/levels/level-13/k8s-readiness/
concept	readiness_probe	explained_in	asset	training/library/runbooks/readiness_probe_failed.md
concept	readiness_probe	related_failures	failure	FP-002_readiness_probe_failure
concept	liveness_probe	practiced_in	asset	training/interactive/exercises/levels/level-12/k8s-liveness/
concept	liveness_probe	related_failures	failure	FP-001_crashloopbackoff
concept	horizontal_pod_autoscaler	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-02-hpa-live-scaling/
concept	horizontal_pod_autoscaler	practiced_in	asset	training/interactive/exercises/levels/level-14/k8s-hpa/
concept	horizontal_pod_autoscaler	explained_in	asset	training/library/runbooks/hpa_not_scaling.md
concept	horizontal_pod_autoscaler	related_failures	failure	FP-005_hpa_not_scaling
concept	horizontal_pod_autoscaler	key_commands	command	kubectl get hpa
concept	resource_limits	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-08-resource-limits-oom/
concept	resource_limits	explained_in	asset	training/library/runbooks/oomkilled.md
concept	resource_limits	related_failures	failure	FP-004_oomkilled
concept	resource_limits	key_commands	command	kubectl top pods
concept	dns	practiced_in	asset	training/interactive/exercises/levels/level-23/k8s-dns/
concept	dns	explained_in	asset	training/library/runbooks/dns_resolution.md
concept	dns	related_failures	failure	FP-006_dns_resolution_failure
concept	dns	key_commands	command	kubectl run dns-test
concept	networkpolicy	practiced_in	asset	training/interactive/exercises/levels/level-25/k8s-networkpolicy/
concept	networkpolicy	explained_in	asset	training/library/runbooks/networkpolicy_block.md
concept	networkpolicy	related_failures	failure	FP-007_networkpolicy_block
concept	service	practiced_in	asset	training/interactive/exercises/levels/level-06/k8s-ports/
concept	service	practiced_in	asset	training/interactive/exercises/levels/level-21/k8s-service-selector/
concept	service	related_failures	failure	FP-008_service_selector_mismatch
concept	service	key_commands	command	kubectl get svc
concept	service	key_commands	command	kubectl get endpoints
concept	ingress	practiced_in	asset	training/interactive/exercises/levels/level-24/k8s-ingress/
concept	ingress	explained_in	asset	training/library/runbooks/ingress_404.md
concept	ingress	related_failures	failure	FP-013_ingress_404
concept	rbac	practiced_in	asset	training/interactive/exercises/levels/level-41/k8s-rbac-permission/
concept	rbac	explained_in	asset	training/library/runbooks/rbac_forbidden.md
concept	rbac	related_failures	failure	FP-014_rbac_forbidden
concept	rollout	practiced_in	asset	training/interactive/exercises/levels/level-15/k8s-rollout/
concept	rollout	practiced_in	asset	training/interactive/exercises/levels/level-11/k8s-rollback/
concept	rollout	related_failures	failure	FP-012_rollout_stuck
concept	rollout	key_commands	command	kubectl rollout status
concept	helm_upgrade	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-05-helm-upgrade-rollback/
concept	helm_upgrade	explained_in	asset	training/library/runbooks/helm_upgrade_failed.md
concept	helm_upgrade	related_failures	failure	FP-011_helm_upgrade_failure
concept	helm_upgrade	key_commands	command	helm upgrade
concept	helm_upgrade	key_commands	command	helm history
concept	helm_rollback	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-05-helm-upgrade-rollback/
concept	helm_rollback	related_failures	failure	FP-011_helm_upgrade_failure
concept	helm_rollback	key_commands	command	helm rollback
concept	prometheus	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-03-observability-target-down/
concept	prometheus	explained_in	asset	training/library/guides/observability.md
concept	prometheus	related_failures	failure	FP-009_prometheus_target_down
concept	servicemonitor	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-03-observability-target-down/
concept	servicemonitor	explained_in	asset	training/library/runbooks/prometheus_target_down.md
concept	servicemonitor	related_failures	failure	FP-009_prometheus_target_down
concept	loki_logging	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-04-loki-no-logs/
concept	loki_logging	explained_in	asset	training/library/runbooks/loki_no_logs.md
concept	loki_logging	related_failures	failure	FP-010_loki_no_logs
concept	promtail	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-04-loki-no-logs/
concept	promtail	related_failures	failure	FP-010_loki_no_logs
concept	tempo	explained_in	asset	training/library/runbooks/tempo_no_traces.md
concept	tempo	related_failures	failure	FP-015_tempo_no_traces
concept	trivy	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-06-trivy-fail-to-green/
concept	trivy	explained_in	asset	training/library/guides/security-scanning.md
concept	trivy	key_commands	command	trivy image
concept	gitops	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-07-gitops-sync-and-drift/
concept	gitops	explained_in	asset	training/library/guides/gitops-example.md
concept	argocd	explained_in	asset	training/library/guides/gitops-example.md
concept	argocd	cards_in	asset	training/interactive/knowledge/data/cards/argo.tsv
concept	config_drift	practiced_in	asset	training/interactive/runtime-labs/lab-runtime-07-gitops-sync-and-drift/
concept	docker	practiced_in	asset	training/interactive/exercises/levels/level-*/docker-*
concept	docker	tested_by	asset	training/library/skillchecks/docker.skillcheck.md
concept	docker	cards_in	asset	training/interactive/knowledge/data/cards/docker.tsv
concept	bash_scripting	practiced_in	asset	training/interactive/exercises/levels/level-*/bash-*
concept	bash_scripting	tested_by	asset	training/library/skillchecks/bash.skillcheck.md
concept	bash_scripting	cards_in	asset	training/interactive/knowledge/data/cards/bash.tsv
concept	ansible	practiced_in	asset	training/interactive/exercises/levels/level-*/ansible-*
concept	ansible	explained_in	asset	training/library/guides/ansible-cluster-management.md
concept	ansible	tested_by	asset	training/library/skillchecks/ansible.skillcheck.md
concept	ansible	cards_in	asset	training/interactive/knowledge/data/cards/ansible.tsv
concept	python	practiced_in	asset	training/interactive/exercises/levels/level-*/python-*
concept	python	tested_by	asset	training/library/skillchecks/python.automation.md
concept	python	cards_in	asset	training/interactive/knowledge/data/cards/python.tsv
concept	terraform	explained_in	asset	training/library/skillchecks/terraform.iac.md
concept	terraform	cards_in	asset	training/interactive/knowledge/data/cards/terraform.tsv
concept	linux	tested_by	asset	training/library/skillchecks/linux.fundamentals.md
concept	linux	cards_in	asset	training/interactive/knowledge/data/cards/linux.tsv
concept	networking	tested_by	asset	training/library/skillchecks/networking.fundamentals.md
concept	networking	cards_in	asset	training/interactive/knowledge/data/cards/networking.tsv
concept	git	tested_by	asset	training/library/skillchecks/git.skillcheck.md
concept	git	cards_in	asset	training/interactive/knowledge/data/cards/git.tsv
concept	cloud	tested_by	asset	training/library/skillchecks/cloud.basics.md
concept	cloud	cards_in	asset	training/interactive/knowledge/data/cards/cloud.tsv
concept	continuous_integration	explained_in	asset	training/library/guides/ci-pipeline.md
concept	continuous_integration	tested_by	asset	training/library/skillchecks/cicd.skillcheck.md
concept	chaos_engineering	practiced_in	asset	training/interactive/chaos/scripts/
concept	chaos_engineering	cards_in	asset	training/interactive/knowledge/data/cards/chaos-engineering.tsv
failure	FP-001_crashloopbackoff	investigated_via	command	kubectl logs --previous
failure	FP-001_crashloopbackoff	investigated_via	command	kubectl describe pod
failure	FP-002_readiness_probe_failure	investigated_via	command	kubectl describe pod
failure	FP-002_readiness_probe_failure	investigated_via	command	kubectl get endpoints
failure	FP-003_imagepullbackoff	investigated_via	command	kubectl describe pod
failure	FP-004_oomkilled	investigated_via	command	kubectl describe pod
failure	FP-004_oomkilled	investigated_via	command	kubectl top pods
failure	FP-005_hpa_not_scaling	investigated_via	command	kubectl get hpa
failure	FP-005_hpa_not_scaling	investigated_via	command	kubectl describe hpa
failure	FP-006_dns_resolution_failure	investigated_via	command	kubectl run dns-test
failure	FP-007_networkpolicy_block	investigated_via	command	kubectl get networkpolicy
failure	FP-008_service_selector_mismatch	investigated_via	command	kubectl get endpoints
failure	FP-009_prometheus_target_down	investigated_via	command	kubectl get servicemonitor -o yaml
failure	FP-010_loki_no_logs	investigated_via	command	kubectl get pods promtail
failure	FP-011_helm_upgrade_failure	investigated_via	command	helm history
failure	FP-011_helm_upgrade_failure	investigated_via	command	helm rollback
failure	FP-012_rollout_stuck	investigated_via	command	kubectl rollout status
failure	FP-013_ingress_404	investigated_via	command	kubectl get ingress -o yaml
failure	FP-014_rbac_forbidden	investigated_via	command	kubectl auth can-i
failure	FP-015_tempo_no_traces	investigated_via	command	kubectl get pods tempo
