id	category	tags	topic_text	trivia_fact	source
firewalls/t001	firewalls	history,dec,origin	First Network Firewall	The first commercial network firewall was DEC SEAL (Screened External Access Link), developed by Digital Equipment Corporation in 1991. However, the conceptual work started with Jeff Mogul's 1989 paper on packet filtering at DEC's Western Research Lab. The technology was a direct response to the Morris Worm of 1988.	Mogul 1989, DEC history
firewalls/t002	firewalls	naming,construction,metaphor	Why "Firewall"	The term "firewall" comes from building construction — a fire-resistant wall designed to prevent fire from spreading between sections of a building. The metaphor was borrowed because network firewalls prevent dangerous traffic from spreading between network segments. The term was first used in the networking context in the 1987 film "WarGames" script discussions.	building-code history, networking etymology
firewalls/t003	firewalls	iptables,nftables,linux	iptables to nftables History	Linux has had four generations of firewall tools: ipfwadm (1994, Linux 1.x), ipchains (1998, Linux 2.2), iptables (2001, Linux 2.4), and nftables (2014, Linux 3.13). Each was a complete rewrite. Despite nftables being the successor, iptables remains more widely used due to its massive ecosystem of documentation and tooling.	netfilter.org history
firewalls/t004	firewalls	stateful,stateless,evolution	Stateful Firewall Evolution	Early firewalls were stateless — they examined each packet independently. Check Point introduced stateful inspection in 1994 with FireWall-1, tracking connection state so return traffic could be automatically allowed. This was revolutionary: administrators no longer needed rules for both directions of every connection.	Check Point FireWall-1 history
firewalls/t005	firewalls	default-deny,principle,security	Why Default Deny	"Default deny" (block everything, then allow specific traffic) became the standard after painful experience with "default allow" firewalls in the 1990s. The principle mirrors the security concept of "least privilege" — it's safer to start closed and open selectively than to start open and try to block everything bad.	NIST firewall guidelines
firewalls/t006	firewalls	pf,openbsd,poetry	OpenBSD's PF Firewall	OpenBSD's PF (Packet Filter) was written from scratch in 2001 after the IPFilter license became contentious. PF's configuration syntax is remarkably readable — Daniel Hartmeier designed it to read almost like English prose. PF's "scrub" directive, which normalizes packets to prevent OS fingerprinting, was innovative at the time.	OpenBSD PF documentation
firewalls/t007	firewalls	great-firewall,china,censorship	The Great Firewall Name	China's internet censorship system is informally called the "Great Firewall of China" — a pun on the Great Wall. The name was coined by Geremie Barmé in a 1997 Wired article. The system, officially the Golden Shield Project, uses deep packet inspection, DNS poisoning, and IP blocking at scale.	Wired 1997, Barmé
firewalls/t008	firewalls	waf,application,layer	Web Application Firewall Origin	Web Application Firewalls (WAFs) emerged in the early 2000s because network firewalls couldn't inspect HTTP content. ModSecurity (2002) was the first major open-source WAF, created by Ivan Ristić. WAFs operate at Layer 7 and can detect SQL injection and XSS — attacks that look like normal HTTP to a network firewall.	ModSecurity history, OWASP
firewalls/t009	firewalls	zone,dmz,military	DMZ From Military Term	The "DMZ" (Demilitarized Zone) in networking borrows its name from the military term for a buffer zone between hostile territories, most famously the Korean DMZ. In networking, it's a subnet between the external firewall and internal network where public-facing servers live — exposed to the internet but isolated from internal resources.	military-networking terminology
firewalls/t010	firewalls	microsegmentation,zero-trust,modern	Microsegmentation Shift	Traditional firewalls guard the network perimeter — inside is trusted, outside is not. Microsegmentation (popularized around 2015) puts firewalls around individual workloads, assuming the internal network is already compromised. This "zero trust" approach was validated by breaches like Target (2013), where attackers moved laterally through a flat internal network.	zero-trust architecture, NIST SP 800-207
