id	category	tags	topic_text	trivia_fact	source
ipmi/t001	ipmi	ipmi,history,intel	IPMI Is a 1998 Spec	The Intelligent Platform Management Interface (IPMI) was developed by Intel, HP, NEC, and Dell in 1998 for server management. Despite being nearly three decades old, IPMI 2.0 (2004) is still the most widely deployed out-of-band management protocol in datacenters. It is gradually being replaced by Redfish.	intel-ipmi-spec
ipmi/t002	ipmi	bmc,always-on,power	The BMC Never Sleeps	The Baseboard Management Controller (BMC) that implements IPMI runs on its own ARM processor with its own OS (often Linux), its own network port, and its own power supply (standby power from the PSU). It operates even when the server is completely powered off, as long as it has standby power from the wall.	datacenter-ops
ipmi/t003	ipmi	ipmi,security,vulnerability	IPMI's Security Nightmare	IPMI has severe security issues: default credentials on most BMCs, authentication bypass vulnerabilities (CVE-2013-4786 allows offline password cracking), cleartext IPMI 1.5 traffic, and the cipher 0 bug that bypasses authentication entirely. Never expose IPMI/BMC on public networks — always use a dedicated management VLAN.	dan-farmer-ipmi-research
ipmi/t004	ipmi	ipmitool,commands,basics	ipmitool: The Swiss Army Knife	ipmitool is the CLI for IPMI. Key commands: power status/on/off/cycle (remote power control), sensor list (hardware sensors), sel list (system event log), mc info (BMC info), sol activate (serial over LAN for console access). Remote: ipmitool -I lanplus -H bmc-ip -U admin -P pass <command>.	ipmitool-docs
ipmi/t005	ipmi	sol,console,serial	Serial Over LAN: Console Without KVM	IPMI's Serial Over LAN (SOL) redirects the server's serial console over the network, giving you BIOS-level access without a physical KVM or virtual media. Configure BIOS to redirect console to serial port, then use ipmitool sol activate. This is how sysadmins fix GRUB issues and kernel panics remotely.	datacenter-ops
ipmi/t006	ipmi	sel,event-log,diagnostics	The System Event Log	IPMI's System Event Log (SEL) records hardware events: temperature thresholds, fan failures, power supply faults, memory ECC errors, and CPU thermal events. It persists across reboots and OS reinstalls because it is stored in BMC firmware. Check it first when diagnosing hardware issues: ipmitool sel list.	ipmi-spec-chapter-32
ipmi/t007	ipmi	redfish,replacement,api	Redfish: IPMI's Modern Replacement	Redfish is an open standard RESTful API for server management, developed by DMTF to replace IPMI. It uses HTTPS/JSON instead of IPMI's binary UDP protocol, supports proper authentication (session tokens), provides schema-based discovery, and is extensible. Major vendors (Dell, HP, Lenovo, Supermicro) ship Redfish on current BMCs.	dmtf-redfish-spec
ipmi/t008	ipmi	idrac,ilo,vendor	iDRAC, iLO, and IMM: The Vendor BMCs	Dell's iDRAC, HP's iLO, Lenovo's IMM/XCC, and Supermicro's BMC are all vendor-specific BMC implementations built on top of IPMI. Each adds proprietary features: virtual media (mount ISO remotely), Lifecycle Controller (firmware updates), web GUI, and hardware inventory. They all still support base IPMI commands.	vendor-docs
ipmi/t009	ipmi	sensor,monitoring,hardware	IPMI Sensors for Monitoring	IPMI exposes hardware sensors — CPU temperature, inlet/outlet temperature, fan RPM, voltage rails, power consumption, and drive status. Monitoring tools (Prometheus ipmi_exporter, Zabbix IPMI checks, Nagios check_ipmi_sensor) poll these via IPMI to detect hardware issues before they cause outages.	ipmi-monitoring
ipmi/t010	ipmi	fru,asset,inventory	FRU Data: Hardware Identity	IPMI stores Field Replaceable Unit (FRU) data in the BMC: serial number, manufacturer, model, part number, and build date for the chassis, board, and product. ipmitool fru print reads this data. It is invaluable for asset management, warranty claims, and automated hardware inventory in large datacenters.	ipmi-spec-chapter-28
