---
tags:
- networking
- l1
- flashcard-deck
- load-balancing
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Load Balancing](../../../../library/portal/topics.md) | **Domain:** Networking
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
load-balancing/a1b2c3d4e5f6	load-balancing	easy	load-balancing, haproxy, architecture	What are the two main configuration sections in HAProxy that define how traffic flows?	Frontend (binds to addresses, applies ACLs and routing rules) and Backend (defines server pools, health checks, and balancing algorithms).\n\nRemember: LB distributes for availability+performance. Key: algorithm + L4 vs L7.\n\nExample: HAProxy, nginx (open-source). Cloud: AWS ALB/NLB, GCP LB.	training/library/topics/load-balancing/primer.md
load-balancing/b2c3d4e5f6a7	load-balancing	easy	load-balancing, nginx, reverse-proxy	In Nginx, what directive is used to define a pool of backend servers for load balancing?	The upstream block (e.g., upstream app_backend { server 10.0.1.10:8080; server 10.0.1.11:8080; }).\n\nRemember: LB distributes for availability+performance. Key: algorithm + L4 vs L7.\n\nExample: HAProxy, nginx (open-source). Cloud: AWS ALB/NLB, GCP LB.	training/library/topics/load-balancing/primer.md
load-balancing/c3d4e5f6a7b8	load-balancing	easy	load-balancing, algorithms	What is the difference between roundrobin and leastconn load-balancing algorithms?	Roundrobin distributes requests evenly across servers in rotation. Leastconn sends each new request to the server with the fewest active connections, which is better for long-running requests.\n\nRemember: Algorithms: Round Robin, Least Connections, IP Hash, Weighted. "RLIW."	training/library/topics/load-balancing/primer.md
load-balancing/d4e5f6a7b8c9	load-balancing	medium	load-balancing, haproxy, health-checks	In HAProxy, what do the parameters "inter 5s fall 3 rise 2" mean on a server health check line?	inter 5s means check every 5 seconds. fall 3 means mark the server unhealthy after 3 consecutive failures. rise 2 means mark it healthy again after 2 consecutive successes.\n\nRemember: Active(LB polls) vs passive(monitor responses). Failed=removed from pool.	training/library/topics/load-balancing/primer.md
load-balancing/e5f6a7b8c9d0	load-balancing	medium	load-balancing, haproxy, session-persistence	How does HAProxy implement session persistence (sticky sessions) using cookies?	By adding a cookie directive in the backend (cookie SERVERID insert indirect nocache) and assigning each server a cookie value (server app1 ... cookie s1). HAProxy inserts a cookie that ties the client to a specific backend server.\n\nRemember: Sticky sessions pin client→server. Breaks LB but needed for stateful apps.	training/library/topics/load-balancing/primer.md
load-balancing/f6a7b8c9d0e1	load-balancing	medium	load-balancing, tls, architecture	What are the three TLS termination patterns for load balancers, and what is the trade-off of each?	1) TLS at LB: simple cert management but backend traffic is unencrypted. 2) TLS passthrough (mode tcp): end-to-end encryption but no L7 routing. 3) TLS re-encryption: end-to-end encryption with L7 routing but double TLS overhead and two cert sets.\n\nRemember: LB distributes for availability+performance. Key: algorithm + L4 vs L7.\n\nExample: HAProxy, nginx (open-source). Cloud: AWS ALB/NLB, GCP LB.	training/library/topics/load-balancing/primer.md
load-balancing/07a8b9c0d1e2	load-balancing	medium	load-balancing, nginx, rate-limiting	How do you configure rate limiting in Nginx using limit_req_zone?	Define a zone in the http block (limit_req_zone $binary_remote_addr zone=general:10m rate=10r/s) then apply it in a location block (limit_req zone=general burst=20 nodelay). The burst parameter allows temporary spikes; nodelay processes burst requests immediately.\n\nRemember: LB distributes for availability+performance. Key: algorithm + L4 vs L7.\n\nExample: HAProxy, nginx (open-source). Cloud: AWS ALB/NLB, GCP LB.	training/library/topics/load-balancing/primer.md
load-balancing/18b9c0d1e2f3	load-balancing	hard	load-balancing, haproxy, operations	How do you gracefully drain a backend server in HAProxy without dropping active connections?	Use the runtime API via the stats socket: echo "set server app_servers/app1 state drain" | socat stdio /var/run/haproxy.sock. This stops new connections while allowing existing ones to complete. Use "state maint" for full disable and "state ready" to re-enable.\n\nRemember: LB distributes for availability+performance. Key: algorithm + L4 vs L7.\n\nExample: HAProxy, nginx (open-source). Cloud: AWS ALB/NLB, GCP LB.	training/library/topics/load-balancing/primer.md
load-balancing/29c0d1e2f3a4	load-balancing	hard	load-balancing, haproxy, stick-tables	How can HAProxy stick tables be used for rate limiting, and what happens when the limit is exceeded?	Define a stick-table on the frontend (stick-table type ip size 100k expire 30s store http_req_rate(10s)), track source IPs (http-request track-sc0 src), and deny requests exceeding the threshold (http-request deny deny_status 429 if { sc_http_req_rate(0) gt 100 }). Clients exceeding the rate get HTTP 429 responses.\n\nRemember: LB distributes for availability+performance. Key: algorithm + L4 vs L7.\n\nExample: HAProxy, nginx (open-source). Cloud: AWS ALB/NLB, GCP LB.	training/library/topics/load-balancing/primer.md
load-balancing/3ad1e2f3a4b5	load-balancing	hard	load-balancing, deployment, canary	How do you implement a canary deployment using HAProxy weight shifting via the runtime API?	Start with blue at weight 100 and green at weight 0. Gradually shift traffic using the stats socket: "set weight app_servers/green 10", then 50, then 100, and finally "set weight app_servers/blue 0". This progressively routes traffic to the new version without config reload.\n\nRemember: LB distributes for availability+performance. Key: algorithm + L4 vs L7.\n\nExample: HAProxy, nginx (open-source). Cloud: AWS ALB/NLB, GCP LB.	training/library/topics/load-balancing/primer.md
