id	category	tags	topic_text	trivia_fact	source
terraform-basics/t001	terraform-basics	hashicorp,founding,origin	HashiCorp Founding	HashiCorp was founded in 2012 by Mitchell Hashimoto and Armon Dadgar while they were still students at the University of Washington. They started the company to solve infrastructure automation problems they encountered in their own projects.	hashicorp.com
terraform-basics/t002	terraform-basics	hcl,language,design	HCL Creation	HashiCorp Configuration Language (HCL) was created because JSON was too verbose and error-prone for humans, and YAML's significant whitespace caused too many subtle bugs. HCL aimed to be both human-readable and machine-friendly.	hashicorp.com
terraform-basics/t003	terraform-basics	terraform,naming,etymology	Terraform Etymology	"Terraform" literally means "earth-shaping" — from Latin "terra" (earth) and "formare" (to shape). In science fiction, terraforming means making a planet habitable. HashiCorp chose it to evoke the idea of shaping infrastructure to your needs.	hashicorp.com
terraform-basics/t004	terraform-basics	state-file,danger,infrastructure	The State File	Terraform's state file is often called the most dangerous file in your infrastructure. It contains a complete mapping of your real resources to your configuration. Losing or corrupting it can orphan cloud resources or cause Terraform to recreate existing infrastructure.	terraform-docs
terraform-basics/t005	terraform-basics	provider,plugin,architecture	Provider Plugin Model	Terraform's provider plugin architecture was a deliberate design choice to separate core logic from cloud-specific API calls. There are now over 3,000 providers in the Terraform Registry, covering everything from major clouds to pizza delivery APIs.	registry.terraform.io
terraform-basics/t006	terraform-basics	plan,apply,blast-radius	Plan Before Apply	The "plan before apply" workflow was designed specifically for blast radius control. By showing exactly what will change before any mutation occurs, operators can catch destructive changes before they happen. This was inspired by database migration dry-run patterns.	terraform-docs
terraform-basics/t007	terraform-basics	license,bsl,controversy	License Controversy	In August 2023, HashiCorp changed Terraform's license from the Mozilla Public License (MPL) to the Business Source License (BSL), restricting commercial use by competitors. This sparked major controversy in the open-source community and led directly to the OpenTofu fork.	hashicorp-blog
terraform-basics/t008	terraform-basics	opentofu,fork,community	OpenTofu Fork	OpenTofu was forked from Terraform in September 2023 in response to the BSL license change. It was adopted by the Linux Foundation and backed by companies including Gruntwork, Spacelift, and Env0. It remains MPL-licensed and aims for drop-in compatibility.	opentofu.org
terraform-basics/t009	terraform-basics	declarative,vs-imperative,philosophy	Declarative Philosophy	Terraform's declarative approach — describing the desired end state rather than the steps to get there — was influenced by configuration management tools like Puppet. You say "I want 3 servers" and Terraform figures out whether to create, modify, or destroy resources.	terraform-docs
terraform-basics/t010	terraform-basics	graph,dag,execution	Dependency Graph	Terraform builds a Directed Acyclic Graph (DAG) of all resources and their dependencies, then creates or modifies resources in parallel where possible. You can visualize this graph with `terraform graph`, which outputs DOT format for Graphviz.	terraform-docs
terraform-basics/t011	terraform-basics	modules,reuse,design	Module System	Terraform modules were inspired by software engineering's function/library concept — encapsulate reusable infrastructure patterns with defined inputs and outputs. The Terraform Registry hosts thousands of community modules, with the AWS VPC module being the most downloaded.	registry.terraform.io
terraform-basics/t012	terraform-basics	workspaces,environments	Workspaces Origin	Terraform workspaces (originally called "environments") allow multiple state files from a single configuration. They were designed for managing dev/staging/prod from one codebase, though many practitioners prefer separate directories for environment isolation instead.	terraform-docs
terraform-basics/t013	terraform-basics	remote-backend,collaboration	Remote State	Terraform's remote backend support was added because teams quickly discovered that sharing a local state file via Git caused merge conflicts and race conditions. Remote backends like S3+DynamoDB provide state locking to prevent concurrent modifications.	terraform-docs
terraform-basics/t014	terraform-basics	import,existing,resources	Terraform Import	`terraform import` was added to bring existing infrastructure under Terraform management without recreating it. This solved the "brownfield" problem — most organizations already have cloud resources they can't destroy and rebuild from scratch.	terraform-docs
terraform-basics/t015	terraform-basics	sentinel,policy,compliance	Policy as Code	HashiCorp introduced Sentinel as a policy-as-code framework in 2017, allowing organizations to enforce compliance rules (like "no public S3 buckets") before Terraform applies changes. The open-source alternative OPA (Open Policy Agent) serves a similar role.	hashicorp.com
