---
tags:
- cloud
- l1
- flashcard-deck
- aws-database
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Database Operations](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-database/09e318c50560	aws-database	medium	aws, rds	What AWS service would you use for a managed SQL database?	AWS RDS (Relational Database Service). It supports MySQL, PostgreSQL, MariaDB, Oracle, SQL Server, and Aurora. RDS handles provisioning, patching, backups, and failover. Key features: automated daily snapshots, Multi-AZ deployments for high availability, read replicas for scaling reads, and encryption at rest with KMS. For serverless SQL, consider Aurora Serverless.\n\nGotcha: always enable Multi-AZ for production databases. The small cost increase prevents hours of downtime during AZ failures or maintenance.	projects/knowledge/interview/aws/278-what-would-you-use-for-sql-database.txt
aws-database/15bc4d537853	aws-database	medium	aws, elasticache	Which service would you use if you need store frequently used data for low latency access?	Amazon ElastiCache — a managed in-memory caching service (Redis or Memcached) designed for sub-millisecond latency on frequently accessed data such as session state, query results, or leaderboard scores.\n\nGotcha: always enable Multi-AZ for production databases. The small cost increase prevents hours of downtime during AZ failures or maintenance.	projects/knowledge/interview/aws/295-which-service-would-you-use-if-you-need-store-freq.txt
aws-database/1ba95fdcdb97	aws-database	medium	aws, rds, replication	What are some use cases for using RDS read replicas?	You have a main application which works against your database but you would like to add additional app, one used for logging, analytics, ... so you prefer it won't use the same database. In this case, you create a read replica instance and the second application works against that instance.\n\nRemember: RDS = Relational Database Service. Manages backups, patching, replication, failover. Supports MySQL, PostgreSQL, MariaDB, Oracle, SQL Server, Aurora.\n\nGotcha: RDS is not serverless by default. Use Aurora Serverless for auto-scaling compute, or RDS Proxy for connection pooling.	projects/knowledge/interview/aws/237-what-are-some-use-cases-for-using-rds-read-replica.txt
aws-database/1cd6531f461c	aws-database	medium	aws, backup, failover, performance	Describe AWS RDS and its benefits.	* Amazon RDS (Relational Database Service): It's a managed database service that makes it easy to set up, operate, and scale a relational database in the cloud. It supports various engines like MySQL, PostgreSQL, Oracle, and SQL Server.\n* Benefits: Automated backups, scaling, patches, and high availability are some advantages of RDS.\n\nGotcha: always enable Multi-AZ for production databases. The small cost increase prevents hours of downtime during AZ failures or maintenance.	projects/knowledge/interview/aws/427-describe-aws-rds-and-its-benefits.txt
aws-database/1da7f9b5b4ba	aws-database	hard	aws, backup, failover, rds	How AWS RDS switches from single AZ to multi AZ?	1. Snapshot is taken by RDS\n2. The snapshot is restored to another, standby, RDS instance\n3. Synchronization is enabled between the two instances\n\nGotcha: always enable Multi-AZ for production databases. The small cost increase prevents hours of downtime during AZ failures or maintenance.	projects/knowledge/interview/aws/240-how-aws-rds-switches-from-single-az-to-multi-az.txt
aws-database/2aad69fd1257	aws-database	easy	aws, rds, redshift	What is AWS Redshift and how is it different than RDS?	cloud data warehouse\n\nRemember: RDS = Relational Database Service. Manages backups, patching, replication, failover. Supports MySQL, PostgreSQL, MariaDB, Oracle, SQL Server, Aurora.\n\nGotcha: RDS is not serverless by default. Use Aurora Serverless for auto-scaling compute, or RDS Proxy for connection pooling.	projects/knowledge/interview/aws/263-what-is-aws-redshift-and-how-is-it-different-than-.txt
aws-database/32f676bc681e	aws-database	medium	aws, backup, rds	What do you know about RDS backups?	* Automated backups\n* Full daily backup (done during maintenance window)\n* Transactions logs backup every 5 minutes\n* Retention can be increased and by default it's 7 days\n\nRemember: RDS = Relational Database Service. Manages backups, patching, replication, failover. Supports MySQL, PostgreSQL, MariaDB, Oracle, SQL Server, Aurora.\n\nGotcha: RDS is not serverless by default. Use Aurora Serverless for auto-scaling compute, or RDS Proxy for connection pooling.	projects/knowledge/interview/aws/232-what-do-you-know-about-rds-backups.txt
aws-database/36ba643e72ef	aws-database	medium	aws, backup, dynamodb	"Explain ""Point-in-Time Recovery"" feature in DynamoDB"	"Amazon definition: ""You can create on-demand backups of your Amazon DynamoDB tables, or you can enable continuous backups using point-in-time recovery. For more information about on-demand backups, see On-Demand Backup and Restore for DynamoDB.""\n\nLearn more [here](https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/PointInTimeRecovery.html)\n\nRemember: DynamoDB = fully managed NoSQL. Single-digit millisecond latency at any scale. Pay per request or provisioned capacity.\n\nGotcha: DynamoDB pricing can surprise you — on-demand mode charges per read/write. Design your access patterns first, not your schema."	projects/knowledge/interview/aws/252-explain-point-in-time-recovery-feature-in-dynamodb.txt
aws-database/3b4d49337c79	aws-database	hard	aws, redshift	What do you if you suspect AWS Redshift performs slowly?	* You can confirm your suspicion by going to AWS Redshift console and see running queries graph. This should tell you if there are any long-running queries.\n* If confirmed, you can query for running queries and cancel the irrelevant queries\n* Check for connection leaks (query for running connections and include their IP)\n* Check for table locks and kill irrelevant locking sessions\n\nGotcha: always enable Multi-AZ for production databases. The small cost increase prevents hours of downtime during AZ failures or maintenance.	projects/knowledge/interview/aws/264-what-do-you-if-you-suspect-aws-redshift-performs-s.txt
aws-database/3de0ea838cb1	aws-database	medium	aws, elasticache	Describe the workflow of an application using the cache in AWS	"1. The application performs a query against the DB. There is a check to see if the data is in the cache\n  1. If it is, it's a ""cache hit"" and the data is retrieved from there\n  2. If it's not in there, it's a ""cache miss"" and the data is pulled from the database\n   1. The data is then also written to the cache (assuming it is often accessed) and next time the user queries for the same data, it might be retrieved from the cache (depends on how much time passed and whether this specific data was invalidated or not)"	projects/knowledge/interview/aws/256-describe-the-workflow-of-an-application-using-the-.txt
