---
tags:
- k8s
- l1
- flashcard-deck
- k8s-services
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Services & Ingress](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-services/052f9c3bc724	k8s-services	easy	k8s-services, loadbalancer, clusterip	How to create a service for an existing deployment called "alle" on port 8080 so the Pod(s) accessible via a Load Balancer?	The imperative way:\n\n`kubectl expose deployment alle --type=LoadBalancer --port 8080`\n\nExample: `kubectl expose deployment web --port=80 --target-port=8080 --type=ClusterIP`\n\nRemember: `--port`=Service port, `--target-port`=container port. Two distinct values.	projects/knowledge/interview/kubernetes/090-how-to-create-a-service-for-an-existing-deployment.txt
k8s-services/0b70c33828a0	k8s-services	easy	k8s-services, clusterip, nodeport	How to create a service that exposes a deployment?	kubectl expose deploy some-deployment --port=80 --target-port=8080\n\nExample: `kubectl expose deployment web --port=80 --target-port=8080 --type=ClusterIP`\n\nRemember: `--port`=Service port, `--target-port`=container port. Two distinct values.	projects/knowledge/interview/kubernetes/193-how-to-create-a-service-that-exposes-a-deployment.txt
k8s-services/0f16012c808b	k8s-services	easy	k8s-services, ingress, clusterip	How to list Ingress in your namespace?	`kubectl get ingress` lists all Ingress resources in the current namespace showing hosts, paths, and backends. Add `-o wide` for additional details like the ingress class and address. \nGotcha: Ingress requires an Ingress Controller (nginx, traefik, ALB) to be installed — without one, Ingress resources exist but do not route traffic.	projects/knowledge/interview/kubernetes/119-how-to-list-ingress-in-your-namespace.txt
k8s-services/0f4b1772d6e1	k8s-services	hard	k8s-services, dns, clusterip	How does Kubernetes handle DNS resolution for services and pods?	**DNS Resolution in Kubernetes:**\n* Pods are assigned a DNS name based on their name and namespace.\n* The internal DNS service in Kubernetes resolves these names to corresponding pod IP addresses.\n* Services also have DNS names based on their name and namespace, enabling easy service discovery.\n* Kubernetes has an internal DNS service that automatically assigns DNS names to pods and services. This allows for easy and dynamic DNS-based service discovery within the cluster.\n\nRemember: Services use label selectors to find pods. Change labels→change which pods get traffic.	projects/knowledge/interview/kubernetes/351-how-does-kubernetes-handle-dns-resolution-for-serv.txt
k8s-services/0ff9537f7315	k8s-services	easy	k8s-services, clusterip, nodeport	What is ClusterIP service type in Kubernetes?	ClusterIP is the default Kubernetes service that provides a service inside a cluster (with no external access) that other apps inside your cluster can access. It exposes the service on an internal IP in the cluster, making the service only reachable from within the cluster.\n\nRemember: ClusterIP = default, internal only. "Cluster Internal Protocol."\n\nUnder the hood: kube-proxy programs iptables/IPVS to load-balance to pods.	projects/knowledge/interview/kubernetes/400-what-is-clusterip.txt
k8s-services/10cc503f959d	k8s-services	medium	k8s-services, clusterip, nodeport, loadbalancer	What are the different services within Kubernetes?	Different types of Kubernetes services include:\n\n* ClusterIP service - Exposes the service on a cluster-internal IP\n* NodePort service - Exposes the service on each Node's IP at a static port\n* LoadBalancer service - Exposes the service externally using a cloud provider's load balancer\n* ExternalName service - Maps the service to the contents of the externalName field\n\nRemember: Services use label selectors to find pods. Change labels→change which pods get traffic.	projects/knowledge/interview/kubernetes/399-what-are-the-different-services-within.txt
k8s-services/10e779410f93	k8s-services	medium	k8s-services, clusterip, nodeport	How readiness probe status affect Services when they are combined?	Only containers whose state set to Success will be able to receive requests sent to the Service.\n\nRemember: Services use label selectors to find pods. Change labels→change which pods get traffic.	projects/knowledge/interview/kubernetes/046-how-readiness-probe-status-affect-services-when-th.txt
k8s-services/11adcb673804	k8s-services	medium	k8s-services, ingress, clusterip	How to configure TLS with Ingress?	Add tls and secretName entries.\n\n```\nspec:\n  tls:\n  - hosts:\n    - some_app.com\n    secretName: someapp-secret-tls\n```\n\nRemember: Services use label selectors to find pods. Change labels→change which pods get traffic.	projects/knowledge/interview/kubernetes/122-how-to-configure-tls-with-ingress.txt
k8s-services/12fc15a0deea	k8s-services	medium	k8s-services, clusterip, nodeport	How make an app accessible on private or external network?	Using a Kubernetes Service, which provides a stable virtual IP and DNS name that routes traffic to a set of pods matched by label selectors. Four types: ClusterIP (internal), NodePort (external via node ports), LoadBalancer (cloud LB), ExternalName (DNS alias). Services decouple consumers from individual pod IPs, which change on restart.	projects/knowledge/interview/kubernetes/081-how-make-an-app-accessible-on-private-or-external-.txt
k8s-services/19226050e8c9	k8s-services	medium	k8s-services, clusterip, nodeport	How would you map a service to an external address?	Use the ExternalName service type, which maps a service to an external DNS name (e.g., an RDS endpoint or external API). \nExample: `type: ExternalName` with `externalName: my.database.example.com`. This creates a CNAME record in cluster DNS. \nGotcha: ExternalName services do not proxy traffic — they only provide DNS resolution.	projects/knowledge/interview/kubernetes/105-how-would-you-map-a-service-to-an-external-address.txt
