---
tags:
- datacenter
- l1
- flashcard-deck
- storage
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Storage (SAN/NAS/DAS)](../../../../library/portal/topics.md) | **Domain:** Datacenter & Hardware
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
storage/93e1d543e236	storage	easy	storage, san, nas, nfs, filesystems	Tell me about your storage background.	"I've managed enterprise SAN/NAS systems, NFS infrastructure, iSCSI, and distributed storage like Portworx and MinIO. I've handled provisioning, performance tuning, failover, and debugging throughput/latency issues. I also have deep experience with Linux filesystems like XFS, EXT4, and BTRFS.\n\nInterview tip: Lead with the most relevant storage experience for the role. Mention specific technologies AND scale (number of hosts, capacity managed).\n\nRemember: ""Block = raw disk (SAN/EBS), File = shared filesystem (NFS/EFS), Object = HTTP blobs (S3/GCS)."""	projects/knowledge/interview/storage/001-tell-me-about-your-storage-background.txt
storage/baf5cb802e88	storage	medium	storage, troubleshooting, performance	How do you troubleshoot storage latency?	"Check I/O wait, iostat, dmesg for disk errors, network paths for NFS/iSCSI, and confirm the backend array is healthy. Then isolate: system-level? network-level? storage-level?\n\nRemember: ""Block = raw disk (SAN/EBS), File = shared filesystem (NFS/EFS), Object = HTTP blobs (S3/GCS).""\n\nExample: Database needs block storage (IOPS). Web assets need object storage (scalability). Shared configs need file storage (NFS).\n\nDebug clue: Start with `iostat -xz 1` to identify which device is slow, then check `await` (I/O latency) and `%util` (saturation)."	projects/knowledge/interview/storage/002-how-do-you-troubleshoot-storage-latency.txt
storage/001	storage	easy	storage, raid, redundancy	What is the difference between RAID 1 and RAID 5?	"RAID 1 mirrors data across two disks (50% capacity, tolerates one disk failure, fast reads). RAID 5 stripes data with parity across three or more disks (loses one disk worth of capacity to parity, tolerates one disk failure, but write performance suffers due to parity calculation). RAID 1 is simpler to rebuild; RAID 5 rebuild times grow with disk size and stress surviving disks.\n\nRemember: ""RAID 1 = mirror (2 disks, 50% capacity). RAID 5 = striping + parity (3+ disks, N-1 capacity)."" RAID is not backup.\n\nGotcha: RAID 5 rebuild times grow with disk size. A 10TB disk rebuild can take 24+ hours, during which a second failure = total data loss."	training/interactive/knowledge/data/cards/storage.tsv
storage/002	storage	medium	storage, raid, failure, rebuild	Why is RAID 5 considered risky with large modern disks?	With multi-TB disks, RAID 5 rebuild times can exceed 24 hours. During rebuild, the array is degraded with zero redundancy. A second disk failure or an unrecoverable read error (URE) during rebuild causes total data loss. RAID 6 (dual parity) or RAID 10 are safer alternatives for large disks.\n\nNumber anchor: With 10TB disks at 10^14 URE (Unrecoverable Read Error) rate, there\'s a ~5% chance of hitting an unrecoverable error during rebuild.	training/interactive/knowledge/data/cards/storage.tsv
storage/003	storage	easy	storage, raid, performance	When would you choose RAID 10 over RAID 5?	"RAID 10 is preferred for write-heavy workloads (databases, transactional systems) because it avoids the parity write penalty. It also rebuilds faster since only a mirror copy needs to be re-synced rather than recalculating parity across all disks. The tradeoff is 50% usable capacity vs roughly 75-80% for RAID 5.\n\nRemember: ""RAID 10 = mirror first, then stripe. RAID 01 = stripe first, then mirror."" RAID 10 is preferred because it survives more failure combinations."	training/interactive/knowledge/data/cards/storage.tsv
storage/004	storage	easy	storage, filesystem, ext4, xfs	What are the key differences between ext4 and XFS?	"ext4 supports volumes up to 1 EB and files up to 16 TB; it is mature, well-tested, and supports online resize (grow only). XFS excels at large file sequential I/O and parallel writes, supports online defragmentation, and scales better on high-core-count systems. ext4 is generally better for small-file workloads; XFS is preferred for large data volumes and enterprise use (default in RHEL).\n\nFun fact: XFS was created by Silicon Graphics (SGI) in 1993 for IRIX. It became the default filesystem in RHEL 7 (2014), replacing ext4.\n\nRemember: ""XFS for large files, ext4 for general purpose."" XFS cannot be shrunk; ext4 can (offline only)."	training/interactive/knowledge/data/cards/storage.tsv
storage/005	storage	medium	storage, filesystem, btrfs, snapshots	What are the advantages and risks of btrfs?	"Btrfs offers copy-on-write snapshots, built-in checksumming (detects silent corruption), transparent compression, subvolumes, and send/receive for incremental backups. Risks include RAID 5/6 implementation being historically unreliable (the ""write hole""), performance degradation with heavy random writes and snapshots, and less maturity than ext4/XFS for production database workloads.\n\nRemember: ""IOPS = random I/O speed, throughput = sequential I/O speed, latency = time per operation."" All three matter but for different workloads.\n\nFun fact: Btrfs (""butter-FS"" or ""better-FS"") was started by Oracle in 2007. Facebook was its largest production user before switching to XFS for database workloads."	training/interactive/knowledge/data/cards/storage.tsv
storage/006	storage	hard	storage, filesystem, zfs, checksumming	How does ZFS protect against silent data corruption?	"ZFS checksums every block (data and metadata) using SHA-256 or fletcher4 in a Merkle tree structure. On read, it verifies the checksum and, if using a redundant vdev (mirror or raidz), automatically repairs corrupted blocks from a good copy (self-healing). This catches bit rot, firmware bugs, and phantom writes that traditional RAID cannot detect.\n\nFun fact: ZFS was created by Sun Microsystems (Jeff Bonwick and team) in 2005. The name originally stood for ""Zettabyte File System.""\n\nRemember: ""ZFS: checksums + redundancy = self-healing storage."" It detects AND repairs corruption automatically."	training/interactive/knowledge/data/cards/storage.tsv
storage/007	storage	medium	storage, inodes, troubleshooting, disk-full	A disk shows 0% space used but you cannot create files. What is the likely cause?	"The filesystem has run out of inodes. Each file (including tiny files, symlinks, sockets) consumes one inode. Check with ""df -i"". Common causes: millions of small files (mail queues, session files, cache dirs). Fix by cleaning up files, or reformat with a higher inode count (mke2fs -N). XFS dynamically allocates inodes so this is rarer on XFS.\n\nDebug clue: `df -i` shows inode usage. If inodes are at 100% but space is available, the fix is to delete many small files or reformat.\n\nRemember: ""Each file = one inode."" Millions of tiny cache or session files exhaust inodes before space."	training/interactive/knowledge/data/cards/storage.tsv
storage/008	storage	easy	storage, disk-full, troubleshooting	A disk shows 100% full but du reports less usage than df. What could explain the discrepancy?	"Deleted files still held open by running processes. The kernel does not free the disk blocks until the file descriptor is closed. Use ""lsof +L1"" to find processes holding deleted files. Restarting or signaling those processes releases the space. Another cause: reserved blocks (typically 5% on ext4) visible to df but not to du.\n\nDebug clue: `lsof +L1` finds processes holding deleted files. Common culprit: rotated log files still open by the application.\n\nRemember: ""Deleted but held open = space not freed."" The kernel waits until all file descriptors close."	training/interactive/knowledge/data/cards/storage.tsv
