---
tags:
- devops
- l1
- flashcard-deck
- rhce
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [RHCE (EX294) Exam](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
rhce/001-ansible-cfg-precedence	rhce	medium	rhce, ansible, configuration	What is the precedence order for ansible.cfg files (highest to lowest)?	1. ANSIBLE_CONFIG environment variable\n2. ./ansible.cfg (current directory)\n3. ~/.ansible.cfg (home directory)\n4. /etc/ansible/ansible.cfg (system-wide)\n\nRemember: "RHCE = Red Hat Certified Engineer." It builds on RHCSA with advanced system administration, automation, and Ansible.\n\nFun fact: RHCE is a performance-based exam — no multiple choice, you must actually configure systems.	training/library/topics/rhce/primer.md
rhce/002-control-node-install	rhce	easy	rhce, ansible, installation	How do you install Ansible on a RHEL 9 control node?	sudo dnf install ansible-core\nVerify with: ansible --version\n\nExample: systemctl enable --now httpd starts httpd immediately AND sets it to start on boot.\n\nRemember: "enable = boot, start = now, enable --now = both."	training/library/topics/rhce/primer.md
rhce/003-managed-node-reqs	rhce	easy	rhce, ansible, managed-nodes	What are the requirements for an Ansible managed node?	1. Python 3 installed\n2. SSH access from the control node\n3. A user with sudo privileges (for become)\n4. SSH key-based authentication (recommended)\n\nExample: nmcli con mod eth0 ipv4.addresses 192.168.1.10/24 ipv4.gateway 192.168.1.1 ipv4.method manual && nmcli con up eth0\n\nRemember: "nmcli = NetworkManager CLI. con mod = modify, con up = activate."	training/library/topics/rhce/primer.md
rhce/004-inventory-ini-format	rhce	easy	rhce, ansible, inventory	How do you define host groups and nested groups in an INI inventory?	[webservers]\nweb1.example.com\nweb2.example.com\n\n[dbservers]\ndb1.example.com\n\n[datacenter:children]\nwebservers\ndbservers\n\nRemember: "firewalld uses zones." Default zone is public. Common commands: firewall-cmd --add-service=http --permanent && firewall-cmd --reload.\n\nExample: firewall-cmd --list-all shows current zone rules.	training/library/topics/rhce/primer.md
rhce/005-inventory-yaml-format	rhce	medium	rhce, ansible, inventory	How do you define a YAML-format inventory with groups and variables?	all:\n  children:\n    webservers:\n      hosts:\n        web1.example.com:\n        web2.example.com:\n      vars:\n        http_port: 80\n    dbservers:\n      hosts:\n        db1.example.com:\n\nExample: timedatectl set-timezone America/New_York && chronyc tracking shows sync status.\n\nRemember: "chrony replaced ntpd in RHEL 7+." It syncs faster and handles intermittent connectivity better.	training/library/topics/rhce/primer.md
rhce/006-ad-hoc-commands	rhce	easy	rhce, ansible, ad-hoc	What is the syntax for running an Ansible ad hoc command?	ansible <host-pattern> -m <module> -a "<arguments>"\nExample: ansible all -m ping\nExample: ansible webservers -m dnf -a "name=httpd state=present" --become\n\nRemember: "RHEL 8+ uses dnf (replaces yum)." Key commands: dnf install, dnf update, dnf module list.\n\nExample: dnf module enable php:8.1 && dnf install php selects the PHP 8.1 stream.	training/library/topics/rhce/primer.md
rhce/007-fqcn	rhce	medium	rhce, ansible, collections, fqcn	What is FQCN and why should you always use it in playbooks?	FQCN = Fully Qualified Collection Name. Format: namespace.collection.module (e.g., ansible.builtin.copy, ansible.posix.firewalld). Required to avoid ambiguity when multiple collections provide modules with the same name. Always use FQCN on the exam.\n\nGotcha: The RHCE exam is time-limited — practice speed. Know how to use man pages quickly (man -k keyword).\n\nRemember: "man -k = apropos = search manual page descriptions."	training/library/topics/rhce/primer.md
rhce/008-playbook-structure	rhce	easy	rhce, ansible, playbook	What are the key components of an Ansible playbook?	A playbook is a YAML file containing one or more plays. Each play has:\n- name: description\n- hosts: target pattern\n- become: privilege escalation\n- vars/vars_files: variables\n- tasks: ordered list of module calls\n- handlers: triggered by notify	training/library/topics/rhce/primer.md
rhce/009-handlers	rhce	medium	rhce, ansible, handlers	When do Ansible handlers run, and how do you trigger them?	Handlers run at the end of a play, only when notified by a task that reported "changed". Trigger with:\n  notify: Handler Name\nFlush mid-play with:\n  ansible.builtin.meta: flush_handlers\nHandlers run only once even if notified multiple times.	training/library/topics/rhce/primer.md
rhce/010-tags	rhce	medium	rhce, ansible, tags	How do you use tags to selectively run tasks in a playbook?	Add tags to tasks:\n  tags: [install, packages]\nRun tagged tasks: ansible-playbook site.yml --tags "install"\nSkip tagged tasks: ansible-playbook site.yml --skip-tags "configure"\nSpecial tags: 'always' (always runs), 'never' (skipped unless explicitly tagged)	training/library/topics/rhce/primer.md
rhce/011-when-conditional	rhce	medium	rhce, ansible, conditionals	How do you use the 'when' conditional in Ansible tasks?	when: ansible_facts['os_family'] == "RedHat"\nMultiple conditions (AND): list items under when:\nwhen:\n  - condition1\n  - condition2\nOR condition: when: "'web' in group_names or 'proxy' in group_names"\nCheck defined: when: my_var is defined	training/library/topics/rhce/primer.md
rhce/012-loops	rhce	medium	rhce, ansible, loops	How do you iterate over items in Ansible using loops?	Simple loop:\nloop:\n  - httpd\n  - php\nDict loop:\nloop:\n  - { name: alice, group: devs }\n  - { name: bob, group: admins }\nAccess with {{ item }} or {{ item.name }}\nFor packages, prefer passing a list directly to the name parameter instead of looping.	training/library/topics/rhce/primer.md
