---
tags:
- devops
- l1
- flashcard-deck
- terraform-workflow
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Terraform Deep Dive](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
terraform-workflow/00ef76ea2655	terraform-workflow	hard	terraform, apply	Why workspaces might not be the best solution for managing states for different environments? like staging and production	One reason is that all the workspaces are stored in one location (as in one backend) and usually you don't want to use the same access control and authentication for both staging and production for obvious reasons. Also working in workspaces is quite prone to human errors as you might accidentally think you are in one workspace, while you are working a completely different one.	projects/knowledge/interview/terraform/091-why-workspaces-might-not-be-the-best-solution-for-.txt
terraform-workflow/0b2ab0e3d5ba	terraform-workflow	hard	terraform, fmt, secrets, apply	How do you handle sensitive information like API keys or passwords in Terraform configurations?	Handling sensitive information in Terraform involves:\n* Variables: Use input variables and prompt for sensitive values during runtime.\n* Environment Variables: Leverage environment variables to store sensitive data.\n* Secret Management Tools: Integrate with tools like HashiCorp Vault or external secret management systems.\n* Terraform Vault Provider: Utilize the Vault provider for direct integration with HashiCorp Vault.\n* Secure File Storage: Store sensitive files separately and reference them securely.	projects/knowledge/interview/terraform/262-how-do-you-handle-sensitive-information-like-api-k.txt
terraform-workflow/16ecc63fb2f9	terraform-workflow	easy	terraform, plan	What is one reason why manual processes can be helpful?	For learning a platform when first starting out\n\nRemember: "init → plan → apply = the Terraform workflow." init downloads providers, plan previews, apply executes.	projects/knowledge/interview/terraform/006-what-is-one-reason-why-manual-processes-can-be-hel.txt
terraform-workflow/191eafad8370	terraform-workflow	hard	terraform, secrets, apply	What are the pros and cons of using environment variables for managing secrets in Terraform configurations?	Pros:\n\n- You avoid using secrets directly in configurations in plain text\n- free (no need to pay for secret management platforms/solutions)\n- Straightforward to use\n\nCons:\n\n- Configurations might not be usable without the environment variables which may make impact the user experience as the user has to know what environment variables he should pass for everything to work properly\n- Mostly managed outside of Terraform mechanisms which makes it hard to enforce, track, ... anything that is related to secrets when it depends on the user to pass environment variables	projects/knowledge/interview/terraform/163-what-are-the-pros-and-cons-of-using-environment-va.txt
terraform-workflow/1b25a25e9271	terraform-workflow	easy	terraform, fundamentals, iac	What is Terraform and what is infrastructure as code?	Terraform is an open-source Infrastructure as Code tool that lets you define cloud and on-prem infrastructure resources in declarative configuration files, then build and manage those resources safely and efficiently.\n\nRemember: "CI/CD for Terraform: PR triggers plan, merge triggers apply." Atlantis and Terraform Cloud automate this.	projects/knowledge/interview/terraform/273-what-is-terraform.txt
terraform-workflow/30571d9d9deb	terraform-workflow	hard	terraform, ci-cd, secrets	How does Terraform handle secret rotation for resources like database passwords?	Terraform doesn't handle secret rotation directly but can integrate with external tools. Strategies include:\n* External Tools: Use secret management tools like HashiCorp Vault or AWS Secrets Manager for rotation.\n* Variable Updates: Manually update secret variables in Terraform configurations.\n* CI/CD Pipelines: Integrate secret rotation into CI/CD pipelines for automated updates.\n* Custom Scripts: Employ custom scripts or Terraform provisioners for rotation.\n* Rolling Updates: Rotate secrets in a rolling fashion to minimize downtime.	projects/knowledge/interview/terraform/268-how-does-terraform-handle-secret-rotation-for-reso.txt
terraform-workflow/3ae8eb4e4f42	terraform-workflow	medium	terraform, fmt, secrets, apply	How do you handle secrets and sensitive information in Terraform configurations?	Managing secrets in Terraform involves avoiding hardcoding sensitive information directly in configuration files. Best practices include:\n* Use Variables: Define variables for sensitive information and set them externally.\n* Environment Variables: Utilize environment variables to pass sensitive data securely.\n* Secret Management Tools: Integrate with secret management tools like HashiCorp Vault or AWS Secrets Manager.\n* Avoid Hardcoding: Refrain from hardcoding passwords, API keys, or other sensitive data in plain text.\nProper handling of secrets is crucial for security and compliance.	projects/knowledge/interview/terraform/229-how-do-you-handle-secrets-and-sensitive-informatio.txt
terraform-workflow/3dc5622bd21d	terraform-workflow	easy	terraform, apply	How to identify which workspace are you using?	`terraform workspace show` displays the name of the currently active workspace. Workspaces let you manage multiple environments (dev, staging, prod) from the same configuration. Each workspace has its own state file. List all with `terraform workspace list`. \nGotcha: save plans with `terraform plan -out=plan.tfplan` — plans expire if state changes between plan and apply.	projects/knowledge/interview/terraform/097-how-to-identify-which-workspace-are-you-using.txt
terraform-workflow/3eb09e902e38	terraform-workflow	hard	terraform, apply, plan	What's the difference between Terraform and technologies such as Ansible, Puppet, Chef, etc.	Terraform is considered to be an IaC technology. It's used for provisioning resources, for managing infrastructure on different platforms.\n\nAnsible, Puppet and Chef are Configuration Management technologies. They are used once there is an instance running and you would like to apply some configuration on it like installing an application, applying security policy, etc.\n\nRemember: "Workspaces separate state, not code." Same config, different state files.	projects/knowledge/interview/terraform/011-whats-the-difference-between-terraform-and-technol.txt
terraform-workflow/43a4186085e3	terraform-workflow	easy	terraform, ci-cd, plan, apply	What are the advantages in using Terraform or IaC in general?	- Full automation: In the past, resource creation, modification and removal were handled manually or by using a set of tooling. With Terraform or other IaC technologies, you manage the full lifecycle in an automated fashion. \n- Modular and Reusable: Code that you write for certain purposes can be used and assembled in different ways. You can write code to create resources on a public cloud and it can be shared with other teams who can also use it in their account on the same (or different) cloud> \n- Improved testing: Concepts like CI can be easily applied on IaC based projects and code snippets. This allow you to test and verify operations beforehand\n-	projects/knowledge/interview/terraform/005-what-are-the-advantages-in-using-terraform-or-iac-.txt
terraform-workflow/47849a66aba6	terraform-workflow	medium	terraform, apply	How to manage multiple AWS accounts?	One way is to define multiple different provider blocks, each with its own "assume_role"\n\n```\nprovider "aws" {\n  region = "us-west-1"\n  alias = "some-region"\n\n  assume_role {\n    role_arn = "arn:aws:iam::<SOME_ACCOUNT_ID>:role/<SOME_ROLE_NAME>"\n  }\n}\n```\n\nGotcha: Atlantis auto-plans on every PR update. Merge = apply. Make sure PR reviewers understand the plan output.	projects/knowledge/interview/terraform/158-how-to-manage-multiple-aws-accounts.txt
