id	category	difficulty	tags	question	answer	source_path	arc_id	arc_position	prerequisite_card_id
arc-pod-001	kubernetes	easy	arc-pod-lifecycle, api-server, creation	A developer runs "kubectl apply -f deployment.yaml". What is the first thing that happens inside the Kubernetes control plane?	The kubectl client sends the Deployment manifest to the API server via HTTPS. The API server authenticates the request (via kubeconfig credentials), authorizes it (RBAC), runs admission controllers (mutating and validating webhooks), and then persists the Deployment object in etcd. The Deployment controller notices the new object and creates a ReplicaSet, which in turn creates Pod objects in etcd with status "Pending".	training/library/topics/k8s-ops	arc-pod-lifecycle	1	
arc-pod-002	kubernetes	easy	arc-pod-lifecycle, scheduler, binding	The Pod object exists in etcd with status Pending. How does it get assigned to a specific node?	The kube-scheduler watches for unscheduled Pods. It evaluates all available nodes through filtering (does the node have enough CPU/memory? does it match nodeSelector/affinity/tolerations?) and scoring (which node is the best fit based on resource balance, locality, and spreading?). The scheduler then creates a Binding object that assigns the Pod to the chosen node.	training/library/topics/k8s-pods-and-scheduling	arc-pod-lifecycle	2	arc-pod-001
arc-pod-003	kubernetes	medium	arc-pod-lifecycle, kubelet, image-pull	The Pod is bound to a node. How does the kubelet begin creating the Pod?	The kubelet on the assigned node watches the API server and sees the new Pod binding. It first creates the Pod's network namespace via the CNI plugin (allocating an IP), then pulls the container images. The pull policy (Always, IfNotPresent, Never) determines whether the kubelet checks the registry. Image pull may require imagePullSecrets for private registries. If the pull fails, the Pod enters ImagePullBackOff.	training/library/topics/containers-deep-dive	arc-pod-lifecycle	3	arc-pod-002
arc-pod-004	kubernetes	medium	arc-pod-lifecycle, init-containers, setup	Images are pulled. Before the main containers start, what runs first and why?	Init containers run sequentially before any main containers start. Each init container must complete successfully (exit 0) before the next one begins. They are used for setup tasks: waiting for a database to be ready, populating a shared volume with config files, running database migrations, or fetching secrets. If any init container fails, the kubelet retries it according to the Pod's restartPolicy.	training/library/topics/k8s-pods-and-scheduling	arc-pod-lifecycle	4	arc-pod-003
arc-pod-005	kubernetes	medium	arc-pod-lifecycle, container-start, entrypoint	Init containers have completed. How does the kubelet start the main application container?	The kubelet instructs the container runtime (containerd) to create the container from the image. It sets up the container's cgroup limits (CPU, memory), mounts volumes (emptyDir, configMap, secret, PVC), injects environment variables, and executes the container's entrypoint command. The container is now running, but not yet considered "ready" to receive traffic. A postStart lifecycle hook runs asynchronously if defined.	training/library/topics/cgroups-namespaces	arc-pod-lifecycle	5	arc-pod-004
arc-pod-006	kubernetes	medium	arc-pod-lifecycle, probes, readiness	The container process is running. How does Kubernetes determine that the Pod is ready to serve traffic?	The kubelet begins executing the readiness probe (HTTP GET, TCP connect, gRPC, or exec command) at the configured initialDelaySeconds. The probe runs every periodSeconds. Once it returns success for successThreshold consecutive checks, the Pod is marked Ready in its status. Only then does the Endpoints controller add the Pod's IP to the Service's Endpoints list, allowing traffic to reach it.	training/library/topics/k8s-ops	arc-pod-lifecycle	6	arc-pod-005
arc-pod-007	kubernetes	easy	arc-pod-lifecycle, serving, steady-state	The Pod is Ready and serving traffic. What ongoing checks does Kubernetes perform during the Pod's steady-state operation?	The kubelet continuously runs both the liveness probe (detects if the app is stuck/deadlocked — if it fails, the container is restarted) and the readiness probe (detects if the app can handle requests — if it fails, the Pod is removed from Endpoints). Optionally, a startup probe runs during initial startup for slow-starting apps, disabling liveness checks until the app is fully initialized.	training/library/topics/k8s-ops	arc-pod-lifecycle	7	arc-pod-006
arc-pod-008	kubernetes	hard	arc-pod-lifecycle, prestop, graceful-shutdown	The Deployment is scaled down and this Pod must be terminated. What is the graceful shutdown sequence?	1) The API server sets the Pod's deletionTimestamp. 2) The Endpoints controller immediately removes the Pod from Service endpoints (no new traffic). 3) The kubelet runs the preStop hook (e.g., sleep 5 to let in-flight requests drain). 4) After the preStop hook completes, the kubelet sends SIGTERM to PID 1 in the container. 5) The app has terminationGracePeriodSeconds (default 30s) to finish in-flight work and exit cleanly.	training/library/topics/k8s-pods-and-scheduling	arc-pod-lifecycle	8	arc-pod-007
arc-pod-009	kubernetes	hard	arc-pod-lifecycle, sigkill, termination	What happens if the container does not exit within the terminationGracePeriodSeconds after receiving SIGTERM?	After the grace period expires, the kubelet sends SIGKILL to all processes in the container, which cannot be caught or ignored — the process is forcefully terminated. The container runtime then cleans up the container's resources (network namespace, cgroup, filesystem). The Pod enters the Terminated/Succeeded or Failed state. If there are persistent volume claims, they are detached according to the reclaim policy.	training/library/topics/linux-signals-and-process-control	arc-pod-lifecycle	9	arc-pod-008
arc-pod-010	kubernetes	hard	arc-pod-lifecycle, garbage-collection, cleanup	The Pod is terminated. How does Kubernetes clean up the Pod object and its resources?	The garbage collector removes completed Pod objects based on the controller's policy. For Jobs, terminated pods are kept until the Job's ttlSecondsAfterFinished expires. For Deployments, old ReplicaSets (and their pods) are retained up to revisionHistoryLimit (default 10). The kubelet cleans up container logs, the CNI plugin releases the Pod's IP, and ephemeral volumes (emptyDir) are deleted. PersistentVolumeClaims persist independently of the Pod lifecycle.	training/library/topics/k8s-ops	arc-pod-lifecycle	10	arc-pod-009
