---
tags:
- networking
- l1
- flashcard-deck
- linux-networking
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Linux Networking Tools](../../../../library/portal/topics.md) | **Domain:** Networking
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-networking/08e08dc8e94a	linux-networking	easy	interfaces, iptables, linux, ss, system	You typing `CTRL + C` but your script still running. How do you stop it?	In most cases, you can stop a running script by using the `CTRL + C` keyboard combination. This sends an interrupt signal (SIGINT) to the script, which terminates its execution. If this does not work and the script is still running, you can try using the `CTRL + \` combination, which sends a quit signal (SIGQUIT) to the script, which may terminate it immediately.\n\n\nRemember: ping = ICMP Echo. No reply ≠ host down — firewalls block ICMP.	projects/knowledge/interview/linux/016-you-typing-codectrl-ccode-but-your-script-still-ru.txt
linux-networking/0f59e4dd6ea7	linux-networking	medium	iptables, linux, ss	What are you using for troubleshooting and debugging network issues?	`dstat -t` is great for identifying network and disk issues.\n`netstat -tnlaup` can be used to see which processes are running on which ports.\n`lsof -i -P` can be used for the same purpose as netstat.\n`ngrep -d any metafilter` for matching regex against payloads of packets.\n`tcpdump` for capturing packets\n`wireshark` same concept as tcpdump but with GUI (optional).\n\nRemember: ss replaces netstat. `ss -tulnp` = TCP+UDP listening, numeric, process.\n\nExample: `ss -tulnp | grep :80` — find what listens on port 80.	projects/knowledge/interview/linux/178-what-are-you-using-for-troubleshooting-and-debuggi.txt
linux-networking/1145c6d245ad	linux-networking	medium	dns, iptables, linux, networking, services, ss	What can you find in /etc/services?	/etc/services maps service names to port numbers.\n\nFormat:\nservice-name  port/protocol  [aliases]\n\nExamples:\nssh     22/tcp\nhttp    80/tcp    www\nhttps   443/tcp\ndns     53/udp\n\nPurpose:\n- Human-readable service names\n- Used by netstat, ss, lsof for display\n- getservbyname() library function\n\nNot a firewall:\n- Doesn't control access\n- Just name-to-port mapping\n- Informational only\n\nStandard file across Unix systems (IANA assignments).\n\nRemember: Key tools: ip(config), ss(connections), dig(DNS), ping/traceroute(reach).\n\nGotcha: Check iptables and ss when debugging connectivity.	projects/knowledge/interview/linux/386-what-can-you-find-in-etcservices.txt
linux-networking/166829a6b981	linux-networking	hard	linux, performance, interrupts, networking, troubleshooting	Server shows high interrupt CPU usage (irq% in top). How do you troubleshoot?	High interrupt CPU indicates hardware generating excessive interrupts, often network-related.\n\nDiagnostic steps:\n1. Identify the IRQ source: `cat /proc/interrupts` - look for rapidly increasing counters\n2. Per-CPU breakdown: `mpstat -P ALL 1` - see which CPUs handle interrupts\n3. Check for interrupt storms on specific device (e.g.\n\nRemember: Key tools: ip(config), ss(connections), dig(DNS), ping/traceroute(reach).\n\nGotcha: Check iptables and ss when debugging connectivity.	projects/knowledge/interview/linux/519-high-interrupt-cpu-troubleshooting.txt
linux-networking/16d93b952364	linux-networking	easy	linux, ntp, time, networking	What is NTP? What is it used for?	NTP (Network Time Protocol) synchronizes system clocks over network.\n\nPurpose:\n- Accurate timekeeping\n- Synchronized time across servers\n- Critical for: logs, certificates, distributed systems, auth\n\nComponents:\n- ntpd or chronyd - NTP daemons\n- NTP servers - Time sources (stratum levels)\n\nRemember: Key tools: ip(config), ss(connections), dig(DNS), ping/traceroute(reach).\n\nGotcha: Check iptables and ss when debugging connectivity.	projects/knowledge/interview/linux/362-what-is-ntp-what-is-it-used-for.txt
linux-networking/1774b5603200	linux-networking	medium	linux, ss, ssh, system	You must run command that will be performed for a very long time. How to prevent killing this process after the ssh session drops?	Use `nohup` to make your process ignore the hangup signal:\n\n```bash\nnohup long-running-process &\nexit\n```\n\nor you want to be using **GNU Screen**:\n\n```bash\nscreen -d -m long-running-process\nexit\n```\n\nRemember: ss replaces netstat. `ss -tulnp` = TCP+UDP listening, numeric, process.\n\nExample: `ss -tulnp | grep :80` — find what listens on port 80.	projects/knowledge/interview/linux/073-you-must-run-command-that-will-be-performed-for-a-.txt
linux-networking/1b041e66e15b	linux-networking	hard	bridge, interfaces, linux, routing	True or False? By default, when creating two separate network namespaces, a ping from one namespace to another will work fine	False. Network namespace has its own interfaces and routing table. There is no way (without creating a bridge for example) for one network namespace to reach another.\n\nRemember: ping = ICMP Echo. No reply ≠ host down — firewalls block ICMP.	projects/knowledge/interview/linux/283-true-or-false-by-default-when-creating-two-separat.txt
linux-networking/1d1c10231228	linux-networking	easy	linux, ssh	What is stored in ~/.ssh/known_hosts?	The file stores the key fingerprints for the clients connecting to the SSH server. This fingerprint creates a trust between the client and the server for future SSH connections.\n\nRemember: ss replaces netstat. `ss -tulnp` = TCP+UDP listening, numeric, process.\n\nExample: `ss -tulnp | grep :80` — find what listens on port 80.	projects/knowledge/interview/linux/199-what-is-stored-in-sshknownhosts.txt
linux-networking/1e69fa35eb84	linux-networking	easy	interfaces, linux, troubleshooting	What is the loopback (lo) interface?	The loopback interface is a special, virtual network interface that your computer uses to communicate with itself. It is used mainly for diagnostics and troubleshooting, and to connect to servers running on the local machine.\n\nRemember: Key tools: ip(config), ss(connections), dig(DNS), ping/traceroute(reach).\n\nGotcha: Check iptables and ss when debugging connectivity.	projects/knowledge/interview/linux/250-what-is-the-loopback-lo-interface.txt
linux-networking/22dbd34cc837	linux-networking	hard	linux, boot, control-flow, kernel	You would like to enable IPv4 forwarding in the kernel, how would you do it?	`sudo sysctl net.ipv4.ip_forward=1`\n\nTo make it persistent (applied after reboot for example): insert `net.ipv4.ip_forward = 1` into `/etc/sysctl.conf`\n\nAnother way to is to run `echo 1 | sudo tee /proc/sys/net/ipv4/ip_forward`\n\nRemember: Key tools: ip(config), ss(connections), dig(DNS), ping/traceroute(reach).\n\nGotcha: Check iptables and ss when debugging connectivity.	projects/knowledge/interview/linux/193-you-would-like-to-enable-ipv4-forwarding-in-the-ke.txt
