---
tags:
- k8s
- l1
- flashcard-deck
- k8s-concept-chain
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Concept Chain](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-concept-chain/a1b2c3d401	k8s-concept-chain	easy	k8s,pods,containers	What happens when you run a container as a bare Pod in Kubernetes and it crashes?	It stays dead. Nobody restarts it. A bare Pod has no controller managing its lifecycle.\n\nRemember: Never run bare Pods in production. Always use a Deployment (or StatefulSet/DaemonSet).	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d402	k8s-concept-chain	easy	k8s,deployment,self-healing	What problem does a Deployment solve that bare Pods cannot?	A Deployment ensures a desired number of replicas are always running. If a Pod dies, the Deployment controller creates a replacement automatically.\n\nRemember: Deployment → ReplicaSet → Pods. The Deployment manages ReplicaSets for rolling updates.	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d403	k8s-concept-chain	easy	k8s,service,networking	Why can't you hardcode Pod IPs to let services communicate?	Pods get a new IP every time they restart or reschedule. At scale, IPs change constantly. A Service provides one stable ClusterIP that routes to healthy Pods using label selectors.\n\nRemember: Services use labels, not IPs. Pods die and come back — the Service does not care.	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d404	k8s-concept-chain	easy	k8s,service,types	What are the four Kubernetes Service types, from most to least restrictive?	1. ClusterIP — internal only (default)\n2. NodePort — static port on every node (30000-32767)\n3. LoadBalancer — provisions an external cloud LB\n4. ExternalName — DNS CNAME redirect, no proxying\n\nRemember: ClusterIP is the default. Each type builds on the previous one.	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d405	k8s-concept-chain	easy	k8s,ingress,routing	What problem does Ingress solve that Services alone cannot?	With Services, each externally-exposed service needs its own LoadBalancer (one cloud LB each, at ~$18-20/month). Ingress provides L7 routing (hostname + path) so one load balancer can serve many services.\n\nRemember: Ingress = one LB, many services, smart routing by host/path.	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d406	k8s-concept-chain	easy	k8s,ingress-controller	Why do Ingress resources do nothing by themselves?	Ingress is just a set of routing rules. An Ingress Controller (nginx, Traefik, AWS LB Controller) must be deployed to watch Ingress resources and actually configure traffic routing.\n\nGotcha: No Ingress Controller deployed = Ingress resources are completely inert. No errors, no warnings — just silence.	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d407	k8s-concept-chain	easy	k8s,configmap,configuration	What problem does a ConfigMap solve?	Hardcoding config inside the container image means rebuilding for every config change and risking wrong values per environment. A ConfigMap externalizes config so the same image runs in dev, staging, and prod with different settings injected at runtime.	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d408	k8s-concept-chain	easy	k8s,secret,security	Why should you use a Secret instead of a ConfigMap for passwords?	ConfigMaps have no special access controls — anyone who can read ConfigMaps in the namespace sees the data. Secrets have separate RBAC controls and are meant for sensitive data like passwords, tokens, and TLS certs.\n\nGotcha: Secrets are base64-encoded, NOT encrypted. Enable etcd encryption at rest for real protection.	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d409	k8s-concept-chain	medium	k8s,hpa,autoscaling	What does HPA do and what problem remains after you enable it?	HPA (Horizontal Pod Autoscaler) watches metrics (CPU, memory, custom) and adjusts Deployment replica count automatically. But HPA only creates Pods — if nodes are full, new Pods sit in Pending state.\n\nRemember: HPA scales Pods. Karpenter/Cluster Autoscaler scales nodes. You often need both.	training/library/topics/k8s-concept-chain/primer.md
k8s-concept-chain/a1b2c3d410	k8s-concept-chain	medium	k8s,karpenter,node-autoscaling	How does Karpenter differ from Cluster Autoscaler?	Cluster Autoscaler adjusts node group sizes (ASGs/MIGs) — slower, constrained to predefined instance types. Karpenter provisions right-sized nodes directly based on pending Pod requirements — faster, more flexible.\n\nRemember: Karpenter = fast, right-sized nodes. Cluster Autoscaler = adjusts existing node groups.	training/library/topics/k8s-concept-chain/primer.md
