---
tags:
- networking
- l1
- flashcard-deck
- firewalls
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Firewalls](../../../../library/portal/topics.md) | **Domain:** Networking
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
firewalls/a1b2c3d4e5f6	firewalls	easy	firewalls, iptables, basics	What are the three built-in chains in the iptables filter table?	INPUT (packets destined for the local host), OUTPUT (packets originating from the local host), and FORWARD (packets routed through the host).\n\nRemember: IOF — Input (TO me), Output (FROM me), Forward (THROUGH me). Three iptables filter chains.\n\nExample: web server uses INPUT (requests) and OUTPUT (responses). Router uses FORWARD for pass-through traffic.	training/library/topics/firewalls/primer.md
firewalls/b2c3d4e5f6a7	firewalls	easy	firewalls, iptables, targets	What is the difference between DROP and REJECT targets in iptables?	DROP silently discards the packet (sender gets no response), while REJECT discards the packet and sends an ICMP error back to the sender.\n\nGotcha: DROP = stealth (timeout). REJECT = immediate error. Use DROP externally, REJECT internally for faster debugging.	training/library/topics/firewalls/primer.md
firewalls/c3d4e5f6a7b8	firewalls	easy	firewalls, ufw	How do you allow SSH traffic using ufw?	ufw allow ssh (or equivalently, ufw allow 22/tcp).\n\nName origin: ufw = Uncomplicated Firewall. Created by Canonical for Ubuntu to simplify iptables.\n\nGotcha: ufw is a frontend to iptables/nftables. Rules are persistent by default (unlike raw iptables).\n\nExample: `ufw allow from 10.0.0.0/8 to any port 22` — allow SSH only from internal network.\n\nRemember: `ufw enable` activates the firewall. `ufw status verbose` shows active rules with defaults.	training/library/topics/firewalls/primer.md
firewalls/d4e5f6a7b8c9	firewalls	easy	firewalls, iptables, persistence	How do you save iptables rules so they survive a reboot on Debian/Ubuntu?	Run iptables-save > /etc/iptables/rules.v4 and install the iptables-persistent package, which restores rules from that file on boot.\n\nGotcha: Without iptables-persistent, all rules are lost on reboot — a common production surprise.\n\nRemember: On RHEL/CentOS, use `firewall-cmd --runtime-to-permanent` or `iptables-save > /etc/sysconfig/iptables`.\n\nDebug clue: After reboot, run `iptables -L -n` to verify rules were restored.	training/library/topics/firewalls/primer.md
firewalls/e5f6a7b8c9d0	firewalls	medium	firewalls, iptables, stateful	Why is the ESTABLISHED,RELATED rule critical in an iptables INPUT chain?	Without it, the host can initiate outbound connections but never receive the responses. This rule allows return traffic for connections the host itself started, and is typically placed near the top of the INPUT chain.\n\nRemember: this rule goes FIRST in INPUT chain. Without it, outbound requests succeed but responses are dropped.	training/library/topics/firewalls/primer.md
firewalls/f6a7b8c9d0e1	firewalls	medium	firewalls, nftables	Name two advantages nftables has over iptables.	Atomic rule replacement (load an entire ruleset at once with no window of partial rules) and native set support (no need for the separate ipset tool). It also unifies iptables, ip6tables, arptables, and ebtables into a single framework.	training/library/topics/firewalls/primer.md
firewalls/a7b8c9d0e1f2	firewalls	medium	firewalls, firewalld, zones	What is the difference between runtime and permanent rules in firewalld?	Runtime rules take effect immediately but are lost on reload/reboot. Adding --permanent saves the rule to disk but does not apply it until you run firewall-cmd --reload. You typically need both flags or --permanent followed by --reload.	training/library/topics/firewalls/primer.md
firewalls/b8c9d0e1f2a3	firewalls	medium	firewalls, iptables, debugging	How do you use the LOG target to debug dropped packets in iptables?	Insert a LOG rule before the DROP rule: iptables -I INPUT 1 -j LOG --log-prefix "FW-DEBUG: " --log-level \n4. Then watch /var/log/kern.log or journalctl -k -f for entries with that prefix. Remove the rule when done to avoid log flooding.	training/library/topics/firewalls/primer.md
firewalls/c9d0e1f2a3b4	firewalls	hard	firewalls, kubernetes, iptables	Why is running iptables -F on a Kubernetes node catastrophic?	It flushes ALL rules including the thousands of kube-proxy Service routing rules (KUBE-SVC-*, KUBE-SEP-*, KUBE-SERVICES chains). All Service ClusterIPs stop working immediately, breaking pod-to-service communication. Flushing the nat table also breaks NodePort and LoadBalancer services.	training/library/topics/firewalls/primer.md
firewalls/d0e1f2a3b4c5	firewalls	hard	firewalls, conntrack, performance	What is conntrack table exhaustion and how do you detect it?	When the connection tracking table (nf_conntrack) reaches its maximum size, new connections are silently dropped even if firewall rules allow them. Detect it by checking dmesg for "nf_conntrack: table full" or comparing /proc/sys/net/netfilter/nf_conntrack_count against nf_conntrack_max. Fix by increasing the max with sysctl.	training/library/topics/firewalls/primer.md
firewalls/e1f2a3b4c5d6	firewalls	hard	firewalls, iptables, rule-order	A host has an iptables rule that DROPs all traffic to port 22, followed by a rule that ACCEPTs port 22 from 10.0.0.0/8. Will the internal network be able to SSH in? Why?	No. iptables uses first-match-wins processing. The DROP rule matches all port 22 traffic before the more specific ACCEPT rule is evaluated. The ACCEPT for the internal subnet must be placed before the general DROP rule.	training/library/topics/firewalls/primer.md
firewalls/f2a3b4c5d6e7	firewalls	hard	firewalls, docker, iptables, security	How does Docker bypass host INPUT chain firewall rules when publishing ports?	Docker creates DNAT rules in the nat PREROUTING chain and ACCEPT rules in the FORWARD chain. Published ports (-p 8080:80) route traffic through FORWARD, not INPUT, so INPUT DROP rules do not block access to Docker-published ports. This is a common security surprise.	training/library/topics/firewalls/primer.md
firewalls/a3b4c5d6e7f8	firewalls	medium	firewalls, iptables, nftables, comparison	What are the key differences between iptables and nftables?	iptables: legacy, separate tools per protocol family (iptables, ip6tables, ebtables), rules applied one at a time (non-atomic), requires ipset for IP sets.\nnftables: modern replacement (kernel 3.13+), single tool (nft) for all families, atomic rule replacement, native sets and maps, better performance with large rulesets. RHEL 9+ and Debian 11+ default to nftables. Migration: iptables-translate converts rules.	
firewalls/b4c5d6e7f8a9	firewalls	easy	firewalls, stateful, stateless	What is the difference between stateful and stateless firewalls?	Stateless firewalls evaluate each packet independently against rules — you must explicitly allow both request and response traffic. Stateful firewalls track connections (using conntrack) so return traffic for established connections is automatically allowed. \nExample: with stateful, allowing outbound port 443 automatically permits the response. Almost all modern host firewalls (iptables, nftables, firewalld) are stateful.	
firewalls/c5d6e7f8a9b0	firewalls	medium	firewalls, conntrack, tuning	How does connection tracking work and what are the key tuning parameters?	The conntrack subsystem tracks every connection through the firewall in a hash table. Key parameters: nf_conntrack_max (max entries, default ~65536), nf_conntrack_tcp_timeout_established (default 432000s = 5 days), nf_conntrack_buckets (hash table size). For high-traffic servers, increase max to 256K+ and set buckets to max/4. Monitor with conntrack -C (current count) or /proc/sys/net/netfilter/nf_conntrack_count.	
