---
tags:
- cli
- l1
- flashcard-deck
- fzf
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [fzf](../../../../library/portal/topics.md) | **Domain:** CLI Tools
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
fzf/a1b2c3d4e5f6	fzf	easy	fzf, search, basics	What is fzf and how does it enhance command-line workflows?	fzf is a command-line fuzzy finder that reads lines from stdin and presents an interactive, filterable selection menu. It turns any list into a searchable picker.\n\nWho made it: Junegunn Choi created fzf in 2013. Written in Go, ~65K GitHub stars.\n\nName origin: fzf = FuZzy Finder. The double-z is intentional branding.\n\nAnalogy: fzf is to text lists what Spotlight is to macOS — instant fuzzy search over any content.	training/library/topics/fzf/primer.md
fzf/b2c3d4e5f6a7	fzf	easy	fzf, search, syntax	How do you perform an exact (non-fuzzy) match in fzf?	"Prefix the search term with a single quote, e.g., typing 'error will only match lines containing the exact string ""error""."\n\nRemember: 'exact, ^start, end$, !exclude, | or. Space = AND. Compose: ^src !test .py$	training/library/topics/fzf/primer.md
fzf/c3d4e5f6a7b8	fzf	easy	fzf, multi-select	How do you select multiple items in fzf?	Use the --multi (or -m) flag, then press Tab to select/deselect individual items before pressing Enter.\n\nExample: git log --oneline | fzf -m | cut -d' ' -f1 — pick commits with Tab, output SHAs.	training/library/topics/fzf/primer.md
fzf/d4e5f6a7b8c9	fzf	medium	fzf, preview	How do you show a live preview of the selected item in fzf?	Use the --preview flag with a command, e.g., fzf --preview 'bat --color=always {}'. The {} placeholder is replaced by the currently highlighted line.\n\nExample: fzf --preview 'bat --color=always {}' shows syntax-highlighted content live as you navigate.	training/library/topics/fzf/primer.md
fzf/e5f6a7b8c9d0	fzf	medium	fzf, shell, integration	What three default keybindings does fzf provide after shell integration?	Ctrl-R for fuzzy command history search, Ctrl-T for fuzzy file path insertion, and Alt-C for fuzzy directory navigation (cd into selection).\n\nRemember: R=Recall history, T=Take file, C=Change directory. Three shell-transforming keybindings.	training/library/topics/fzf/primer.md
fzf/f6a7b8c9d0e1	fzf	medium	fzf, environment	What does the FZF_DEFAULT_COMMAND environment variable control?	It sets the command used to generate the input list when fzf is invoked without stdin. For example, setting it to 'fd --type f' uses fd instead of the default find.\n\nExample: export FZF_DEFAULT_COMMAND='fd --type f --hidden' — uses fd instead of find. Faster, gitignore-aware.	training/library/topics/fzf/primer.md
fzf/a7b8c9d0e1f2	fzf	medium	fzf, search, syntax	How do you combine inverse matching with prefix matching in fzf's search syntax?	"Use the ! prefix for inverse and ^ for prefix. For example, !^test excludes lines starting with ""test"". Tokens are space-separated and combined with AND logic."\n\nExample: !^test .py$ = Python files NOT starting with test. Operators compose for precise filtering.	training/library/topics/fzf/primer.md
fzf/b8c9d0e1f2a3	fzf	hard	fzf, keybindings, customization	How do you bind a custom action to a key inside fzf?	Use the --bind flag with the syntax 'key:action', e.g., --bind 'ctrl-y:execute-silent(echo {} | pbcopy)' copies the selection to clipboard on Ctrl-Y.\n\nExample: --bind 'ctrl-y:execute-silent(echo {} | xclip)' copies to clipboard on Ctrl-Y.	training/library/topics/fzf/primer.md
fzf/c9d0e1f2a3b4	fzf	hard	fzf, git, integration	How would you build an interactive git branch checkout using fzf?	Pipe git branch output through fzf and pass the selection to git checkout: git branch -a | fzf | xargs git checkout. Add --preview 'git log --oneline {1}' for commit preview.\n\nGotcha: add --preview 'git log --oneline -20 {1}' to see commits before switching branches.	training/library/topics/fzf/primer.md
fzf/d0e1f2a3b4c5	fzf	hard	fzf, kubectl, integration	How would you interactively switch Kubernetes namespaces using fzf?	kubectl get ns -o name | sed 's|namespace/||' | fzf | xargs kubectl config set-context --current --namespace. This lists namespaces, lets you pick one, and sets it as the current context namespace.	training/library/topics/fzf/primer.md
