---
tags:
- cli
- l1
- flashcard-deck
- modern-cli
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Modern CLI Tools](../../../../library/portal/topics.md) | **Domain:** CLI Tools
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
modern-cli/fd-001	modern-cli	easy	modern-cli, fd	What does fd replace and what is its key advantage?	"fd replaces find. Key advantages: respects .gitignore by default, regex patterns, colorized output, simpler syntax. Example: fd -e yaml finds all YAML files vs find . -name '*.yaml' -type f"\n\nRemember: fd = modern find. Smart case, colorized, .gitignore-aware. Simpler syntax.	training/library/topics/modern-cli/primer.md
modern-cli/fd-002	modern-cli	medium	modern-cli, fd	How do you find and execute a command on matching files with fd?	"fd -e py -x wc -l (count lines in each Python file). fd -e log -X rm (delete all .log files — -X batches into one command, -x runs per file). Add -H to include hidden files."\n\nRemember: fd = modern find. Smart case, colorized, .gitignore-aware. Simpler syntax.	training/library/topics/modern-cli/primer.md
modern-cli/rg-001	modern-cli	easy	modern-cli, rg, ripgrep	What does rg (ripgrep) replace and why is it faster?	"rg replaces grep -r. Faster because: multi-threaded, respects .gitignore, uses optimized regex engine (Rust). Automatically skips binary files and .git directories."\n\nRemember: rg = faster grep. .gitignore-aware, recursive default, highlights. Rust-powered.	training/library/topics/modern-cli/primer.md
modern-cli/rg-002	modern-cli	medium	modern-cli, rg, ripgrep	How do you search only specific file types with rg?	"rg 'pattern' -t yaml (built-in type filter). rg 'pattern' -g '*.yaml' (glob filter). rg -t py -g '!test*' 'pattern' (Python files excluding tests). rg --type-list shows all built-in types."\n\nRemember: rg = faster grep. .gitignore-aware, recursive default, highlights. Rust-powered.	training/library/topics/modern-cli/primer.md
modern-cli/rg-003	modern-cli	hard	modern-cli, rg, ripgrep	How do you use rg to find files containing a string and show context?	"rg 'error_handler' -C 3 (3 lines before and after). rg -l 'error_handler' (file names only). rg -c 'error_handler' (count per file). --stats flag adds summary totals."\n\nRemember: rg = faster grep. .gitignore-aware, recursive default, highlights. Rust-powered.	training/library/topics/modern-cli/street_ops.md
modern-cli/fzf-001	modern-cli	easy	modern-cli, fzf	What is fzf and what problem does it solve?	"fzf is an interactive fuzzy finder. Turns any list into a searchable, selectable menu. Pipe anything into it: kubectl get pods | fzf, git branch | fzf, history | fzf. Transforms CLI workflows from recall-based to recognition-based."\n\nRemember: fzf = fuzzy finder. Pipe anything: `history | fzf`. Ctrl+R = game-changer.\n\nExample: `FZF_DEFAULT_COMMAND='fd --type f'` uses fd for file search.	training/library/topics/modern-cli/primer.md
modern-cli/fzf-002	modern-cli	medium	modern-cli, fzf	What are the three key fzf shell keybindings?	"Ctrl-R: fuzzy search command history. Ctrl-T: fuzzy find and insert a file path. Alt-C: fuzzy cd into a subdirectory. Enable with: eval \"$(fzf --bash)\" in .bashrc (or --zsh/--fish)."\n\nRemember: fzf = fuzzy finder. Pipe anything: `history | fzf`. Ctrl+R = game-changer.\n\nExample: `FZF_DEFAULT_COMMAND='fd --type f'` uses fd for file search.	training/library/topics/modern-cli/primer.md
modern-cli/fzf-003	modern-cli	hard	modern-cli, fzf	How do you combine fzf with file preview?	"rg --files | fzf --preview 'bat --color=always {}' — browse files with syntax-highlighted preview. For git: git log --oneline | fzf --preview 'git show {1}' — preview commits interactively."\n\nRemember: fzf = fuzzy finder. Pipe anything: `history | fzf`. Ctrl+R = game-changer.\n\nExample: `FZF_DEFAULT_COMMAND='fd --type f'` uses fd for file search.	training/library/topics/modern-cli/street_ops.md
modern-cli/jq-001	modern-cli	easy	modern-cli, jq	What is jq and when do you reach for it?	"jq is a command-line JSON processor. Use whenever you get JSON output: kubectl -o json, AWS CLI, Terraform state, API responses. Basic patterns: jq '.' (pretty-print), jq '.key' (extract), jq '.[] | .name' (iterate)."\n\nRemember: jq = JSON processor. Essential for APIs. `curl url | jq '.data[] | .name'`.\n\nExample: `jq -r '.items[] | [.name, .status] | @tsv'` — JSON to TSV.	training/library/topics/modern-cli/primer.md
modern-cli/jq-002	modern-cli	medium	modern-cli, jq	How do you filter and reshape JSON with jq?	"Filter: jq '.items[] | select(.status == \"running\")'. Reshape: jq '{name: .metadata.name, phase: .status.phase}'. Raw output: jq -r '.name' (no quotes). Slurp: jq -s '.' (read all inputs into array)."\n\nRemember: jq = JSON processor. Essential for APIs. `curl url | jq '.data[] | .name'`.\n\nExample: `jq -r '.items[] | [.name, .status] | @tsv'` — JSON to TSV.	training/library/topics/modern-cli/primer.md
