---
tags:
- devops
- l1
- flashcard-deck
- terraform-deep-dive
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Terraform Deep Dive](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
terraform-state/0056ecf7ca12	terraform-state	medium	terraform, backend	You have a Git repository with Terraform files but no .gitignore. What would you add to a .gitignore file in Terraform repository?	```\n**/.terraform/*\n*.tfstate\n*.tfstate.*\n*.tfvars\n*.tfvars.json\n```\n\nYou don't want to store state file nor any downloaded providers in .terraform directory. It also doesn't makes sense to share/store the state backup files.\n\nRemember: "State = Terraform's map of config to real resources." Without state, Terraform can't know what it manages.\n\nGotcha: Losing state = Terraform forgets everything.	projects/knowledge/interview/terraform/153-you-have-a-git-repository-with-terraform-files-but.txt
terraform-state/07129e64f7cb	terraform-state	medium	terraform, workspaces, state	True or False? Each Terraform workspace has its own state file.	TRUE.\n\nWorkspace behavior:\n- Each workspace maintains separate state\n- Same configuration, different state\n- Useful for dev/staging/prod environments\n\nState location:\n- Local backend: terraform.tfstate.d/<workspace>/\n- Remote backend: Separate state per workspace\n\nCommands:\n- terraform workspace list\n- terraform workspace new dev\n- terraform workspace select prod\n- terraform workspace show\n\nUse cases:\n- Multiple environments from same code\n- Testing changes\n- Feature branches\n\nAlternatives:\n- Separate directories per environment\n- Terragrunt for environment management\n- Separate state backends\n\nNote: Some teams avoid workspaces, preferring explicit separation.	projects/knowledge/interview/terraform/177-true-or-false-each-workspace-has-its-own-state-fil.txt
terraform-state/0ef171f2b42e	terraform-state	medium	terraform, import	What is "Terraform Import," and when would you use it?	terraform import is a Terraform command used to import existing infrastructure into Terraform management. It is useful when resources are created outside of Terraform, and you want to bring them under Terraform control. The syntax is:\n```terraform import <resource_type>.<resource_name> <existing_resource_id>\n```\nFor example:\n```terraform import aws_instance.example i-0123456789abcdef0\n```\nAfter importing, Terraform can manage and track changes to the resource.	projects/knowledge/interview/terraform/239-what-is-terraform-import-and-when-would-you-use-it.txt
terraform-state/0ff035d00471	terraform-state	easy	terraform, backend	How to inspect current state?	`terraform show` displays the current state in a human-readable format, listing all managed resources and their attributes. Use `terraform show -json` for machine-readable output. For individual resources: `terraform state show <resource_address>`. Remote state backends (S3+DynamoDB, GCS, Azure Blob, Terraform Cloud) enable team collaboration with locking and versioning.	projects/knowledge/interview/terraform/093-how-to-inspect-current-state.txt
terraform-state/12437b603d77	terraform-state	easy	terraform, state, backend	How do you manage Terraform state?	Remote backends, usually S3 + DynamoDB locking. It avoids drift and makes collaboration safe.\n\nRemember: "terraform.tfstate is JSON." It contains resource IDs, attributes, and metadata. Treat it as sensitive — it often contains secrets.	projects/knowledge/interview/terraform/272-how-do-you-manage-terraform-state.txt
terraform-state/13ed8e12b3fd	terraform-state	hard	terraform, backend, locking, remote	How does Terraform handle the state across a team of developers working concurrently?	Terraform uses a state file to keep track of the infrastructure's current state. When working in a team, it's crucial to use a shared remote backend (like Amazon S3 or Azure Storage) to store the state file. This ensures that all team members are working with the same state. Terraform state locking mechanisms prevent concurrent modifications to the state, avoiding conflicts. Collaborative features, such as workspaces and Terraform Enterprise, provide additional tools for managing state across teams, supporting concurrent development, and maintaining consistency.	projects/knowledge/interview/terraform/222-how-does-terraform-handle-the-state-across-a-team-.txt
terraform-state/1e0debec1b2a	terraform-state	medium	terraform, backend, locking, remote	How do you configure an AWS S3 backend with DynamoDB state locking?	Use a remote backend when you need a shared, durable source of truth. A minimal configuration looks like:\n\n```hcl\nterraform {\n required_version = ">= 1.6.0"\n\n backend "s3" {\n bucket = "my-tfstate-bucket"\n key = "prod/network/terraform.tfstate"\n region = "us-east-1"\n dynamodb_table = "tf-locks"\n encrypt = true\n }\n}\n```\n\n- Create the S3 bucket with versioning, default encryption, and block public access before enabling the backend. \n- Provision a DynamoDB table with the primary key `LockID` so Terraform can acquire locks. \n- Use IAM least privilege policies that allow only state operations on the bucket and table to reduce blast radius.	projects/knowledge/interview/terraform/081-how-do-you-configure-an-aws-s3-backend-with-dynamo.txt
terraform-state/2079c2dc40ab	terraform-state	hard	terraform, locking, import, backend	Why storing state file locally on your computer may be problematic?	In general, storing state file on your computer isn't a problem. It starts to be a problem when you are part of a team that uses Terraform and then you would like to make sure it's shared. In addition to being shared, you want to be able to handle the fact that different teams members can edit the file and can do it at the same time, so locking is quite an important aspect as well.	projects/knowledge/interview/terraform/075-why-storing-state-file-locally-on-your-computer-ma.txt
terraform-state/22be31004e5a	terraform-state	medium	terraform, backend, remote	True or False? it's NOT possible to use variable in a backend configuration	That's true and quite a limitation as it means you'll have to go to the resources of the remote backend and copy some values to the backend configuration. \nOne way to deal with it is using partial configurations in a completely separate file from the backend itself and then load them with `terraform init -backend-config=some_backend_partial_conf.hcl`.	projects/knowledge/interview/terraform/087-true-or-false-its-not-possible-to-use-variable-in-.txt
terraform-state/24593cb1869c	terraform-state	medium	terraform, backend, remote	What would be the process of switching back from remote backend to local?	1. You remove the backend code and perform `terraform init` to switch back to `local` backend. \n2. You remove the resources that are the remote backend itself. \n3. Archive the latest remote state file so you can recover if the local copy gets corrupted.	projects/knowledge/interview/terraform/086-what-would-be-the-process-of-switching-back-from-r.txt
terraform-state/2587aac7aea5	terraform-state	medium	terraform, workspace, backend	How do you manage different environments (dev, staging, prod) in Terraform?	Managing different environments in Terraform can be achieved using workspaces or by maintaining separate configuration files for each environment. Workspaces provide a cleaner approach, allowing you to switch between environments easily using commands like terraform workspace select or terraform workspace new. Alternatively, you can use separate directories or naming conventions for environment-specific configurations, each with its own Terraform state file.	projects/knowledge/interview/terraform/216-how-do-you-manage-different-environments-dev-stagi.txt
terraform-state/270caf86822f	terraform-state	hard	terraform, backend, locking	Why storing the state in versioned control repo is not a good idea?	- Sensitive data: some resources may specify sensitive data (like passwords and tokens) and everything in a state file is stored in plain text. \n- Prone to errors: when working with Git repos, you mayo often find yourself switch branches, checkout specific commits, perform rebases, ... all these operations may end up in you eventually performing `terraform apply` on non-latest version of your Terraform code. Keeping state outside Git eliminates that risk. \n- Lack of locking and audit trails compared to managed backends.	projects/knowledge/interview/terraform/079-why-storing-the-state-in-versioned-control-repo-is.txt
terraform-state/29b2a340139c	terraform-state	medium	terraform, locking, remote, workspace	What is "Terraform Cloud," and how does it enhance Terraform workflows?	Terraform Cloud is a fully managed service by HashiCorp that provides collaboration, automation, and governance features for Terraform workflows. Key features include:\n* Remote Execution: Run Terraform operations in a managed environment.\n* Remote State Management: Store and share Terraform state securely.\n* Collaboration: Enable multiple team members to work concurrently on the same configuration.\n* Policy as Code: Enforce policies and compliance through Sentinel policies.\n* Private Module Registry: Host and version private Terraform modules.	projects/knowledge/interview/terraform/227-what-is-terraform-cloud-and-how-does-it-enhance-te.txt
terraform-state/31322ba6a679	terraform-state	hard	terraform, secrets, security	How do you handle sensitive data (like passwords) in Terraform?	Avoid putting secrets in plaintext in .tf files. Use Terraform variables (mark them sensitive in 0.15+), use environment variables or .tfvars files that aren't committed, or integrate with secret managers. Terraform also supports vault and other providers for secrets, and the state can be encrypted by the backend (e.g., using secure backend or not storing state locally).	projects/knowledge/interview/terraform/286-handle-sensitive-data.txt
terraform-state/3bb93f5d9ce4	terraform-state	medium	terraform, import, backend	What is "Terraform Import," and what considerations should be taken when using it?	terraform import is used to import existing resources into Terraform. Considerations include:\n* Resource Structure: Understanding the structure of the resource to be imported.\n* ID Specification: Providing the existing resource's ID for accurate import.\n* State File Update: Ensuring that the Terraform state file is updated post-import.\n* Reversibility: Verifying that the imported resource can be managed by Terraform going forward.	projects/knowledge/interview/terraform/255-what-is-terraform-import-and-what-considerations-s.txt
terraform-state/41bf718ac8ee	terraform-state	medium	terraform, backend	Explain the purpose of a Terraform state file.	The Terraform state file (.tfstate) is a crucial component that stores the current state of the infrastructure managed by Terraform. It contains information about the resources, their configurations, and the relationships between them. The state file is essential for Terraform to understand the existing infrastructure and track changes over time. It serves as a source of truth, enabling Terraform to determine what needs to be added, modified, or destroyed to align the actual infrastructure state with the desired state defined in the Terraform configuration.	projects/knowledge/interview/terraform/196-explain-the-purpose-of-a-terraform-state-file.txt
terraform-state/4766f8b9a27f	terraform-state	medium	terraform, import, backend	State two use cases where you would use terraform import	1. You have existing resources in one of the providers and they are not managed by Terraform (as in not included in the state)\n2. You lost your tfstate file and need to rebuild it\n\nRemember: "State locking = no concurrent modifications." DynamoDB for S3 backend. terraform force-unlock for stuck locks.	projects/knowledge/interview/terraform/152-state-two-use-cases-where-you-would-use-terraform-.txt
terraform-state/4a75ab32e979	terraform-state	hard	terraform, refresh	Discuss the role of Terraform in managing infrastructure drift.	Infrastructure drift occurs when the actual infrastructure deviates from the defined configuration. Terraform helps mitigate drift by enforcing the desired state defined in the configuration. When infrastructure is modified outside of Terraform (manual changes or other tools), Terraform detects drift during subsequent runs. It then plans and applies changes to bring the infrastructure back to the desired state. Managing drift ensures consistency and prevents unintended changes.	projects/knowledge/interview/terraform/230-discuss-the-role-of-terraform-in-managing-infrastr.txt
terraform-state/5ac356efc281	terraform-state	hard	terraform, remote, backend	Mention some best practices related to tfstate	- Don't edit it manually. tfstate was designed to be manipulated by terraform and not by users directly. \n- Store it in secured location (since it can include credentials and sensitive data in general). \n- Backup it regularly so you can roll-back easily when needed. \n- Store it in remote shared storage. This is especially needed when working in a team and the state can be updated by any of the team members. \n- Enabled versioning if the storage where you store the state file, supports it.	projects/knowledge/interview/terraform/076-mention-some-best-practices-related-to-tfstate.txt
terraform-state/5e34b63d3e7e	terraform-state	medium	terraform, iac, experience	What's your Terraform experience?	I've used Terraform for provisioning core AWS resources — EC2, IAM roles, VPC components, and security groups. I'm comfortable with modules, variables, and remote backends. If a team uses deeper patterns like workspaces, Terragrunt, or custom providers, I adapt quickly by reviewing examples and building small test modules. My strength is understanding infrastructure patterns and applying them consistently.	projects/knowledge/interview/terraform/271-whats-your-terraform-experience.txt
terraform-state/5f5a37391892	terraform-state	easy	terraform, backend, remote, workspace	What are the best practices for organizing Terraform code?	Some best practices for organizing Terraform code include:\n* Use a modular structure with reusable modules.\n* Separate environments using workspaces or directory structures.\n* Leverage variables for flexibility and parameterization.\n* Utilize version control (e.g., Git) for code management.\n* Implement code review processes for collaboration.\n* Use remote backends for state management and collaboration.\n* Follow naming conventions for resources, variables, and modules.\n* Document configurations with comments and README files.	projects/knowledge/interview/terraform/217-what-are-the-best-practices-for-organizing-terrafo.txt
terraform-state/60a650389857	terraform-state	easy	terraform, backend, state	What is a Terraform backend?	A backend in Terraform determines how state is loaded and how operations like state locking are handled. For instance, using an S3 backend means your state file is stored in an S3 bucket (often with DynamoDB for locking), enabling team collaboration.\n\nRemember: "terraform state mv moves resources between state addresses." Use for refactoring without destroy/recreate.	projects/knowledge/interview/terraform/285-what-is-backend.txt
terraform-state/629eaffd71db	terraform-state	medium	terraform, backend, locking, remote	How does Terraform handle remote backends, and why are they important?	Terraform remote backends store the Terraform state file remotely, outside the local working directory. Remote backends provide benefits such as collaboration, locking, and centralized state management. Examples of remote backends include Amazon S3, Azure Storage, or HashiCorp Consul. By using remote backends, multiple team members can work collaboratively on the same infrastructure, and state locking prevents concurrent modifications, ensuring consistency.	projects/knowledge/interview/terraform/213-how-does-terraform-handle-remote-backends-and-why-.txt
terraform-state/636692dc8aad	terraform-state	medium	terraform, commands, import	What does terraform import do?	It brings an existing external resource under Terraform management by importing its current state into the Terraform state file. For example, you can run terraform import aws_instance.myvm i-0123456789 to map an existing EC2 instance into your Terraform config (after you've defined the resource in code).	projects/knowledge/interview/terraform/284-terraform-import.txt
terraform-state/64394a844fa9	terraform-state	hard	terraform, backend, locking, remote	Discuss the challenges and best practices of managing Terraform state in a team.	Challenges:\n* Concurrency: Avoid concurrent modifications by using state locking mechanisms.\n* Visibility: Ensure visibility into state changes, modifications, and who made them.\n* Consistency: Use remote backends for centralized state storage to maintain consistency.\n**Best Practices:**\n* Shared Remote Backend: Use a shared backend to store the state centrally.\n* Access Controls: Implement fine-grained access controls for state files.\n* Audit Logging: Enable audit logging to track changes and modifications.\n* Backup and Recovery: Implement regular backups of state files for recovery.	projects/knowledge/interview/terraform/226-discuss-the-challenges-and-best-practices-of-manag.txt
terraform-state/65b6428970f6	terraform-state	medium	terraform, taint, backend	What terraform taint does?	`terraform taint` is deprecated since Terraform 1.0. Use `terraform apply -replace=resource.id` instead — it marks the resource for destroy-and-recreate in a single plan/apply cycle.\n\nLegacy: `terraform taint resource.id` manually marked the resource as tainted in the state file, requiring a separate `terraform apply`.\n\nRemember: "terraform state rm removes a resource from state WITHOUT destroying it." The resource still exists in the cloud.	projects/knowledge/interview/terraform/064-what-terraform-taint-does.txt
terraform-state/6eba677d2e3d	terraform-state	easy	terraform, remote	What are output variables and what terraform output does?	Output variables are named values that are sourced from the attributes of a module. They are stored in terraform state, and can be used by other modules through `remote_state`\n\nRemember: "terraform import adds existing infrastructure to state." Write the HCL first, then import.	projects/knowledge/interview/terraform/066-what-are-output-variables-and-what-terraform-outpu.txt
terraform-state/74fe84b53638	terraform-state	medium	terraform, backend, remote	Is there a way to obtain information from a remote backend/state using Terraform?	Yes, using the concept of data sources. There is a data source for a remote state called "terraform_remote_state". \nYou can use it the following syntax `data.terraform_remote_state.<NAME>.outputs.<ATTRIBUTE>`\n\nRemember: "State file contains sensitive data." Encrypt the backend, restrict access, never commit to git.	projects/knowledge/interview/terraform/088-is-there-a-way-to-obtain-information-from-a-remote.txt
terraform-state/76e00558a785	terraform-state	hard	terraform, refresh, backend	How does Terraform support infrastructure drift detection and correction?	Infrastructure drift occurs when the actual state deviates from the expected state. Terraform addresses this by:\n* Regular Validation: Running terraform plan to detect discrepancies.\n* State Comparison: Comparing the expected state with the actual state in the Terraform state file.\n* Rollback Strategies: Implementing rollback in case of unexpected changes.\n* Automation: Incorporating drift detection into automated workflows.	projects/knowledge/interview/terraform/259-how-does-terraform-support-infrastructure-drift-de.txt
terraform-state/7935f57e18ec	terraform-state	medium	terraform, backend	Can you name three different things included in the state file?	- The representation of resources - JSON format of the resources, their attributes, IDs, ... everything that required to identify the resource and also anything that was included in the .tf files on these resources\n- Terraform version\n- Outputs	projects/knowledge/interview/terraform/071-can-you-name-three-different-things-included-in-th.txt
terraform-state/7a9b0ca9f479	terraform-state	medium	terraform, backend, locking, remote	Explain the concept of "remote backends" and their importance in Terraform.	Remote backends in Terraform refer to external storage locations for the Terraform state file. Instead of storing the state file locally, remote backends store it in a shared and centralized location, often in cloud object storage or a dedicated service. This is important for several reasons:\n* Collaboration: Enables teams to work concurrently on the same infrastructure.\n* Locking: Supports state locking to prevent conflicts during simultaneous updates.\n* Consistency: Ensures that all team members have a consistent and up-to-date view of the infrastructure state.\n* Security: Centralized and secure storage mitigates the risk of state file loss or unauthorized access.	projects/knowledge/interview/terraform/224-explain-the-concept-of-remote-backends-and-their-i.txt
terraform-state/7dbaa66aafa7	terraform-state	hard	terraform, backend, locking, remote	What best practices keep Terraform state secure and reliable?	- Encrypt and version your remote backend (for example `aws_s3_bucket_versioning` plus SSE-KMS on S3). \n- Enforce locking (DynamoDB, GCS locking, or Terraform Cloud workspaces) and monitor stuck locks. \n- Grant IAM minimum privileges and rotate access keys; automation should assume roles with short-lived credentials. \n- Schedule automated backups of the backend (S3 replication, DynamoDB PITR) and periodically test restores. \n- Document "state owner" responsibility, incident response, and break-glass steps for unlocks or manual edits (should be last resort).	projects/knowledge/interview/terraform/083-what-best-practices-keep-terraform-state-secure-an.txt
terraform-state/7e411c42e598	terraform-state	medium	terraform, backend, locking, remote	Why does Terraform keep state and how do local and remote state differ?	Terraform stores state to map real infrastructure objects to the resources declared in code, keep track of dependencies, detect drift, and speed up planning by caching attribute data. \n\n- Local state is stored in a `terraform.tfstate` file on disk and is suitable for quick experiments or single-operator workflows. \n- Remote state lives in a backend (such as S3, GCS, Terraform Cloud) that can enforce locking, access controls, and versioning so teams share a single source of truth. \n Always choose a remote backend once there is more than one operator or automation pipeline touching the configuration.	projects/knowledge/interview/terraform/072-why-does-terraform-keep-state-and-how-do-local-and.txt
terraform-state/81db074c6375	terraform-state	medium	terraform, backend, locking, remote	How does a remote state backend improve collaboration for a Terraform project?	By storing the state file in a shared location enabling multiple people or processes to work with the same state.\nA remote state backend improves collaboration on Terraform projects by addressing the core challenge of sharing infrastructure state. When a team works on infrastructure, everyone needs access to the current state to safely make changes, and locking prevents clashing applies.	projects/knowledge/interview/terraform/089-how-does-a-remote-state-backend-improve-collaborat.txt
terraform-state/8dfe9d23f862	terraform-state	easy	state, backend, basics	What is the Terraform state file and why is it important?	The state file (terraform.tfstate) is a JSON file that maps your Terraform\nconfiguration to real-world resources. It's the source of truth for Terraform.\n\nWhat it stores:\n- Resource IDs and attributes from the cloud provider\n- Dependencies between resources\n- Metadata about the Terraform version used\n\nWhy it's critical:\n- Terraform uses it to determine what changes to make\n- Without it, Terraform would try to recreate everything\n- Enables plan/apply workflow to show differences	projects/knowledge/interview/terraform/001-state-file.txt
terraform-state/92a68e8b818b	terraform-state	medium	terraform, backend	Discuss the use of "Terraform State Migrations" and when they might be necessary.	Terraform State Migrations are necessary when:\n* Resource Changes: Resources are modified, added, or removed, requiring state updates.\n* Schema Changes: Terraform configuration schema evolves, necessitating state adjustments.\n* Module Updates: Module versions change, impacting the structure of the state.\n* Infrastructure Refactoring: Refactoring the infrastructure layout or dependencies.\n* State Upgrades: Upgrading Terraform versions may require state format changes.\n* Collaborative Development: Multiple developers or teams collaborate, necessitating state synchronization.	projects/knowledge/interview/terraform/269-discuss-the-use-of-terraform-state-migrations-and-.txt
terraform-state/95eaa99ef75e	terraform-state	easy	terraform, backend	What is the effect of setting variable as "sensitive"?	It doesn't show its value when you run `terraform apply` or `terraform plan` but eventually it's still recorded in the state file.\n\nRemember: "Workspaces create separate state files in the same backend." Default workspace is "default."	projects/knowledge/interview/terraform/037-what-is-the-effect-of-setting-variable-as-sensitiv.txt
terraform-state/96d9763f41be	terraform-state	hard	terraform, backend, locking, remote	Describe how you manage state file(s) when you have multiple environments (e.g. development, staging and production)	Probably no right or wrong answer here, but it seems, based on different source, that the overall preferred way is to have a dedicated state file per environment. \nCommon patterns: \n\n- Separate backend configurations per environment (different S3 prefixes or even different buckets and DynamoDB tables). \n- Distinct workspaces or directories when you need isolated state plus different credentials. \n- Terraform Cloud organizations/workspaces mapped to environments with role-based access control.	projects/knowledge/interview/terraform/078-describe-how-you-manage-state-files-when-you-have-.txt
terraform-state/96ec5ca06701	terraform-state	medium	terraform, backend	How do you apply changes using Terraform?	After reviewing the execution plan using terraform plan, you can apply the changes by running the terraform apply command. This command executes the planned changes and prompts for confirmation before making any modifications to the infrastructure. During the apply process, Terraform updates the state file to reflect the current state of the infrastructure based on the applied changes. The terraform apply command is a critical step in deploying or modifying infrastructure resources.	projects/knowledge/interview/terraform/200-how-do-you-apply-changes-using-terraform.txt
