id	category	tags	topic_text	trivia_fact	source
bash/t001	bash	bash,naming,gnu	Bash Name Origin	"Bash" stands for "Bourne Again SHell" — a pun on "born again" and a nod to Stephen Bourne, author of the original Bourne shell (sh) at Bell Labs in 1979.	gnu.org
bash/t002	bash	shebang,syntax,history	Shebang Etymology	The "#!" at the start of scripts is called a "shebang" — likely a contraction of "sharp" (#) and "bang" (!). Dennis Ritchie added kernel support for the #! mechanism in 1980, making scripts directly executable without explicitly invoking an interpreter.	unix-history
bash/t003	bash	exit-codes,conventions	Why $? For Exit Codes	The `$?` variable for exit status was inherited from the Bourne shell. The question mark was chosen because checking a program's result is literally "asking a question" about what happened. Exit code 0 means success because there's only one way to succeed but many ways to fail (1-255).	bourne-shell-manual
bash/t004	bash	pipes,history,unix	Invention of Pipes	Doug McIlroy conceived of Unix pipes in 1964, but they weren't implemented until 1973 when Ken Thompson added them to Unix V3 — reportedly in a single night. The vertical bar `|` was chosen because it visually suggests a conduit between commands.	bell-labs-history
bash/t005	bash	dev-null,unix,devices	/dev/null Origin	/dev/null has existed since Unix V1 (1971). Its Unix V5 man page (1974) described it simply: "useful for playing the role of an empty file." The device was so useful it inspired /dev/zero (returns infinite null bytes) and /dev/full (always returns "disk full").	unix-v5-manual
bash/t006	bash	glob,pattern-matching,etymology	Glob Etymology	"Glob" comes from the Unix V1 program `/etc/glob` (1971), short for "global command." It expanded wildcard patterns in arguments before passing them to commands. The glob program was separate from the shell — pattern expansion didn't move into the shell itself until later versions.	unix-history
bash/t007	bash	cron,etymology,scheduling	Cron Etymology	"Cron" comes from the Greek word "chronos" (χρόνος) meaning time. Ken Thompson wrote it for Unix V7 (1979). The modern Vixie cron by Paul Vixie (1987) is what most Linux systems actually run. The crontab format has remained virtually unchanged for over 45 years.	unix-v7-manual
bash/t008	bash	tty,history,hardware	TTY History	"tty" stands for "teletypewriter" — electromechanical typewriters from the 1830s that were repurposed as early computer terminals in the 1960s. The ASR-33 Teletype could print 10 characters per second, which is why early Unix commands were kept short — users literally waited for each character to print.	wikipedia
bash/t009	bash	bashrc,profile,startup	.bashrc vs .bash_profile	The split exists because of how Unix terminals worked: `.bash_profile` runs for login shells (physically logging into a terminal), while `.bashrc` runs for non-login interactive shells (opening a new terminal window). The distinction mattered when login involved a slow dial-up modem connection.	bash-manual
bash/t010	bash	cat,useless-use,humor	Useless Use of Cat Award	Randal Schwartz coined the "Useless Use of Cat Award" (UUOC) on Usenet in 1995, calling out patterns like `cat file | grep foo` instead of `grep foo file`. The extra cat spawns an unnecessary process and pipe. The award became a beloved Unix culture meme.	jargon-file
bash/t011	bash	heredoc,syntax,history	Heredoc Origin	Here documents (heredocs) originated in the Unix shell in the 1970s. The name means the input is "here" in the document rather than coming from a file. The `<<EOF` syntax was chosen because `<` already meant input redirection, so `<<` meant "inline input." The delimiter word (EOF) can be anything.	unix-history
bash/t012	bash	redirection,stderr,fd	Why 2>&1	File descriptor numbering (0=stdin, 1=stdout, 2=stderr) follows the order they are opened at process start. The `2>&1` syntax means "duplicate FD 1 onto FD 2." The `&` distinguishes "redirect to where FD 1 points" from "redirect to a file literally named 1."	posix-spec
bash/t013	bash	brian-fox,history,gnu	Brian Fox Created Bash	Brian Fox wrote the first version of Bash in 1989 for the GNU Project, at age 24. Richard Stallman hired him specifically for this task. Fox wrote Bash without access to AT&T source code to keep it legally clean. Chet Ramey took over as maintainer in 1993 and still maintains it today.	gnu.org
bash/t014	bash	bourne-shell,history,algol	Bourne Shell's ALGOL Style	Stephen Bourne was an ALGOL 68 enthusiast, which is why sh uses `if/fi`, `case/esac`, and `do/done` — the reversed-keyword block-ending style comes directly from ALGOL 68. Bourne even wrote the sh source code in C using macros that made it look like ALGOL, horrifying other Bell Labs programmers.	bell-labs-history
bash/t015	bash	test,brackets,command	Why [ Is a Command	The `[` used in shell tests (`if [ -f file ]`) is actually a command — originally `/usr/bin/[`. It requires a closing `]` as its last argument purely for visual symmetry. This is why spaces around `[` and `]` are mandatory: they are argument separators to a program, not syntax delimiters.	posix-spec
bash/t016	bash	fork-exec,process,unix	Fork-Exec Elegance	Every command in bash uses fork() then exec(). Rather than one complex "create process" call, Thompson split it into "copy myself" (fork) and "replace myself" (exec). This turned out to be brilliantly composable — the child can set up redirections, change directories, or drop privileges between fork and exec.	unix-history
bash/t017	bash	dash,posix,debian	Dash Replaced Bash	Debian switched `/bin/sh` from Bash to Dash (Debian Almquist Shell) in 2006. Dash is ~4x faster for script execution because it implements only POSIX features. Ubuntu's boot time improved measurably. This broke countless scripts that used Bash-isms while declaring `#!/bin/sh`.	debian-wiki
bash/t018	bash	readline,editing,library	Readline Library	Bash's command-line editing (Ctrl+A, Ctrl+E, history search with Ctrl+R) comes from the GNU Readline library, also written by Brian Fox. Readline defaults to Emacs keybindings, but `set -o vi` switches to vi-mode. Over 100 programs — from Python's REPL to gdb — use Readline.	gnu.org
bash/t019	bash	set-e,errexit,controversy	set -e Is Misunderstood	`set -e` (errexit) is one of the most misunderstood shell features. It doesn't exit on every error — it silently ignores failures in `if` conditions, `&&`/`||` chains, subshells of negated commands, and command substitutions. This behavior is so confusing that some experts recommend avoiding it entirely.	wooledge-wiki
bash/t020	bash	ifs,field-splitting,default	The IFS Variable	The Internal Field Separator (IFS) defaults to space+tab+newline. Changing IFS is a classic trick: `IFS=: read -ra dirs <<< "$PATH"` splits PATH by colons. Forgetting to reset IFS after changing it is a legendary source of subtle bugs that can break scripts hours later.	bash-manual
bash/t021	bash	pipes,subshell,gotcha	Pipes Create Subshells	Each segment of a pipeline runs in a subshell (separate process). This means `echo "hello" | read var` sets var in a child process that immediately exits — the parent shell never sees it. This trips up even experienced scripters. Bash 4.2+ added `shopt -s lastpipe` to mitigate this.	bash-manual
bash/t022	bash	brace-expansion,csh,history	Brace Expansion Origin	Brace expansion (`{a,b,c}` and `{1..10}`) was borrowed from Bill Joy's csh (C shell, ~1978). Unlike globs, brace expansion doesn't match files — it's pure string generation that happens before any other expansion. `mkdir -p project/{src,test,docs}` creates three directories in one command.	csh-history
bash/t023	bash	trap,signals,cleanup	Trap Command Origin	The `trap` builtin catches signals and runs cleanup code. `trap cleanup EXIT` is the idiomatic pattern for temporary file cleanup. The name comes from hardware CPU "traps" — a mechanism where the processor interrupts normal execution to handle exceptional conditions like division by zero.	posix-spec
bash/t024	bash	macos,gplv3,licensing	macOS Stuck on Bash 3.2	Apple shipped Bash 3.2 (from 2007) for over 12 years because Bash 4.0+ was relicensed under GPLv3, which requires patent grants Apple refused to make. macOS users missed out on associative arrays, globstar, and many features. Apple finally replaced Bash with Zsh as the default shell in macOS Catalina (2019).	apple-dev
bash/t025	bash	posix,portability,standard	POSIX Shell Standard	POSIX (Portable Operating System Interface) was created in the 1980s to unify the Unix wars — competing AT&T System V and BSD Unix flavors. The "X" was suggested by Richard Stallman to sound like Unix. The POSIX shell standard is based on the Korn shell (ksh88), not Bash or the Bourne shell.	ieee-posix
