concept	docs_count	runbooks_count	labs_count	incidents_count	skillchecks_count	cards_count	total
pod	2	0	1	0	1	1	5
deployment	1	0	0	1	1	1	4
service	1	0	1	2	1	1	6
readiness_probe	0	1	1	1	1	1	5
liveness_probe	0	0	1	1	1	1	4
horizontal_pod_autoscaler	1	1	1	1	1	1	6
resource_limits	0	1	1	1	1	1	5
oomkilled	0	1	1	1	0	1	4
crashloopbackoff	1	1	0	1	0	1	4
imagepullbackoff	0	1	0	1	0	1	3
dns	1	1	0	1	0	1	4
coredns	0	1	0	0	0	0	1
networkpolicy	1	1	0	1	0	1	4
ingress	1	1	0	0	1	1	4
rbac	1	1	0	0	1	1	4
rollout	1	0	0	0	1	1	3
labels	0	0	0	0	1	1	2
namespace	1	0	0	0	1	1	3
configmap	1	0	0	0	1	1	3
secret	1	0	0	0	1	1	3
statefulset	0	0	0	0	1	1	2
daemonset	0	0	0	0	1	1	2
replicaset	0	0	0	0	1	1	2
persistent_volume	0	0	0	0	1	1	2
pod_disruption_budget	0	0	0	0	1	1	2
init_container	0	0	0	0	0	1	1
multicontainer	0	0	0	0	0	1	1
container_logs	1	0	0	0	0	1	2
pending_pod	0	0	0	0	0	1	1
blue_green_deployment	0	0	0	0	0	1	1
canary_deployment	0	0	0	0	0	1	1
helm_chart	1	0	0	0	0	0	1
helm_upgrade	1	1	1	1	0	0	4
helm_rollback	0	1	1	0	0	0	2
helm_values	1	0	0	0	0	0	1
helm_template	1	0	0	0	0	0	1
prometheus	1	1	1	1	1	1	6
servicemonitor	1	1	1	1	0	1	5
grafana	1	0	0	0	1	1	3
loki_logging	1	1	1	1	1	1	6
promtail	1	1	1	0	0	1	4
tempo	1	1	0	1	1	1	5
opentelemetry	0	1	0	0	1	0	2
trivy	2	0	1	0	0	1	4
container_scanning	2	0	1	0	1	0	4
gitops	1	0	1	0	1	1	4
argocd	1	0	1	0	0	1	3
config_drift	0	0	1	0	0	0	1
github_actions	1	0	0	0	1	1	3
continuous_integration	1	0	0	0	1	1	3
continuous_delivery	1	0	0	0	1	1	3
docker	1	0	0	0	1	1	3
dockerfile	0	0	0	0	1	1	2
multistage_build	1	0	0	0	1	0	2
container_image	0	0	0	0	1	1	2
docker_compose	0	0	0	0	0	1	1
terraform	1	0	0	0	1	1	3
ansible	1	0	0	0	1	1	3
ansible_playbook	1	0	0	0	1	0	2
k3s_cluster	2	0	0	0	0	0	2
cordon_drain	1	0	0	0	0	0	1
bash_scripting	0	0	0	0	1	1	2
linux	0	0	0	0	1	1	2
networking	0	0	0	0	1	1	2
python	0	0	0	0	1	1	2
git	0	0	0	0	1	1	2
cloud	0	0	0	0	1	1	2
security	1	0	0	0	1	1	3
chaos_engineering	0	0	0	0	0	1	1
kubernetes_internals	0	0	0	0	1	1	2
metrics_server	0	1	0	0	0	0	1
resource_requests	0	1	0	0	1	0	2
