---
tags:
- cloud
- l1
- flashcard-deck
- cloud-deep-dive
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Cloud Deep Dive](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
azure/027dbe10b84d	azure	hard	azure,identity,security	How does Azure Key Vault manage and safeguard cryptographic keys and secrets?	Azure Key Vault is a cloud service that allows the secure storage and management of sensitive information, such as cryptographic keys, secrets, and certificates.\nCentralized Key Management: It provides a centralized location for managing and safeguarding cryptographic assets used by cloud applications and services.\nKey Management:\n\nRemember: Key Vault = Azure's secrets manager. Stores keys, secrets, and certificates. Integrates with RBAC and managed identities for zero-secret deployments.	projects/knowledge/interview/azure/074-how-does-azure-key-vault-manage-and-safeguard-cryp.txt
azure/04c609af017b	azure	easy	azure,compute	"What ""Azure Functions"" service is used for?"	Azure Functions is the serverless compute service of Azure.\n\nRemember: Azure Functions = AWS Lambda equivalent. Serverless compute, pay per execution. Consumption plan auto-scales to zero.	projects/knowledge/interview/azure/011-what-azure-functions-service-is-used-for.txt
azure/06186ba3156b	azure	medium	azure, control-flow	Describe the differences between Azure Service Bus and Azure Event Grid.	Azure Service Bus:\n* Messaging Service: Azure Service Bus is a messaging service that facilitates communication between different components of applications or services.\n* Queues and Topics: It supports both queues, for point-to-point communication, and topics, for publish-subscribe scenarios.\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/068-describe-the-differences-between-azure-service-bus.txt
azure/092021286657	azure	medium	azure,compute	Explain the purpose of Azure Availability Zones.	Azure Availability Zones:\n\nRemember: Availability Set = distributes VMs across fault domains (racks) and update domains. Availability Zone = physically separate datacenters. Zones > Sets for HA.	projects/knowledge/interview/azure/025-explain-the-purpose-of-azure-availability-zones.txt
azure/10bb2dbf3902	azure	medium	azure,networking	What is Azure Traffic Manager, and how does it work?	Azure Traffic Manager: Azure Traffic Manager is a DNS-based traffic load balancer that enables the distribution of user traffic across multiple Azure services or global data centers. It enhances application availability, responsiveness, and resiliency by directing user requests to the most suitable endpoint based on routing methods and health probes.\n\nRemember: Traffic Manager is DNS-based (Layer 7), not a proxy. It returns the best endpoint IP; clients connect directly. Routing methods: Priority, Weighted, Performance, Geographic, Multivalue, Subnet.	projects/knowledge/interview/azure/024-what-is-azure-traffic-manager-and-how-does-it-work.txt
azure/138180415947	azure	medium	azure,compute	Explain availability sets and availability zones	An availability set is a logical grouping of VMs that allows Azure to understand how your application is built to provide redundancy and availability. It is recommended that two or more VMs are created within an availability set to provide for a highly available application and to meet the 99.95% Azure SLA.\n\nRemember: Availability Set = distributes VMs across fault domains (racks) and update domains. Availability Zone = physically separate datacenters. Zones > Sets for HA.	projects/knowledge/interview/azure/003-explain-availability-sets-and-availability-zones.txt
azure/1500471910f7	azure	medium	azure,compute,networking,storage	Explain the concept of Azure Resource Groups.	Azure Resource Groups are logical containers that hold related resources for an Azure solution. These resources can include virtual machines, storage accounts, virtual networks, and more. The main purpose of resource groups is to manage and organize resources, making it easier to deploy, monitor, and maintain solutions.\n\nRemember: resource group = logical container for Azure resources. Every resource must belong to exactly one group. Think 'folder for your cloud stuff.'\n\nGotcha: deleting a resource group deletes ALL resources inside it. Use resource locks to prevent accidental deletion.	projects/knowledge/interview/azure/021-explain-the-concept-of-azure-resource-groups.txt
azure/15b35a42aab2	azure	medium	azure, control-flow	How does Azure Cognitive Services enhance AI capabilities in applications?	Azure Cognitive Services are a set of APIs and services provided by Microsoft to enable developers to incorporate AI capabilities into their applications without the need for extensive expertise in machine learning.\n\nRemember: Azure Cognitive Services = pre-built AI APIs for Vision, Speech, Language, and Decision. No ML expertise needed — just API calls.	projects/knowledge/interview/azure/070-how-does-azure-cognitive-services-enhance-ai-capab.txt
azure/15be6ee3e90b	azure	easy	azure,identity,security,monitoring	What is Azure Active Directory Privileged Identity Management (PIM)?	Azure AD PIM is a service in Azure Active Directory that helps manage, control, and monitor access within an organization by providing just-in-time privileged access. PIM helps organizations mitigate security risks by limiting the time administrators and users have privileged access, reducing the window of vulnerability.\nKey Points:\n\nRemember: PIM = just-in-time privileged access. Users request elevated roles for a time window, with approval workflows. Reduces standing admin access — a key Zero Trust principle.	projects/knowledge/interview/azure/045-what-is-azure-active-directory-privileged-identity.txt
azure/17bb2c061572	azure	medium	azure,networking	Describe the difference between Azure Load Balancer and Application Gateway.	Azure Load Balancer and Application Gateway are both networking services in Azure, but they serve different purposes.\nAzure Load Balancer:\n* Purpose: Azure Load Balancer distributes network traffic across multiple servers to ensure that no single server is overwhelmed with too much traffic.<\n\nRemember: Azure LB (Layer 4) vs. Application Gateway (Layer 7). LB for TCP/UDP, AppGW for HTTP/HTTPS with WAF, URL routing, and TLS termination.	projects/knowledge/interview/azure/026-describe-the-difference-between-azure-load-balance.txt
azure/299e7b3253f5	azure	medium	azure,storage,governance,cost-management	Explain Azure Blob Storage lifecycle management.	Azure Blob Storage lifecycle management is a policy-based mechanism to automatically manage the lifecycle of Blob Storage data. It helps optimize storage costs by transitioning and deleting data based on specified rules.\nKey Features:\n\nRemember: Blob Storage = Azure's S3 equivalent. Three types: Block blobs (files), Append blobs (logs), Page blobs (disks).	projects/knowledge/interview/azure/033-explain-azure-blob-storage-lifecycle-management.txt
azure/2b8eea6f7b93	azure	medium	azure,governance	Discuss the benefits and use cases of Azure Resource Graph.	Azure Resource Graph is a service that allows you to explore and query Azure resources at scale using a query language. It provides a unified way to query and analyze resources across multiple subscriptions.\nBenefits:\n* Fast and Scalable Queries:\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/055-discuss-the-benefits-and-use-cases-of-azure-resour.txt
azure/2c2fbf0990eb	azure	medium	azure,compute,identity	Explain the role of Azure Functions in serverless automation and event-driven scenarios.	Azure Functions is a serverless compute service that allows developers to run event-triggered functions without provisioning or managing servers. It supports a variety of programming languages, and functions can be triggered by various Azure services and external events.\nRole in Serverless Automation:\n\nRemember: Azure Functions = AWS Lambda equivalent. Serverless compute, pay per execution. Consumption plan auto-scales to zero.	projects/knowledge/interview/azure/093-explain-the-role-of-azure-functions-in-serverless-.txt
azure/2f01a22c7365	azure	hard	azure,devops,governance	Explain what's Azure Resource Manager	"From [Azure docs](https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/overview): ""Azure Resource Manager is the deployment and management service for Azure. It provides a management layer that enables you to create, update, and delete resources in your Azure account. You use management features, like access control, locks, and tags, to secure and organize your resources after deployment.""\n\nRemember: Azure Cognitive Services = pre-built AI APIs for Vision, Speech, Language, and Decision. No ML expertise needed — just API calls."	projects/knowledge/interview/azure/005-explain-whats-azure-resource-manager.txt
azure/2fcd9ce1635b	azure	easy	azure,compute,containers	"What ""Azure Container Instances"" service is used for?"	Running containerized applications (without the need to provision virtual machines).\n\nRemember: Azure Cognitive Services = pre-built AI APIs for Vision, Speech, Language, and Decision. No ML expertise needed — just API calls.	projects/knowledge/interview/azure/013-what-azure-container-instances-service-is-used-for.txt
azure/319a63c0639c	azure	easy	azure,governance	What is Azure Portal?	"[Microsoft Docs](https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-fundamentals/what-is-microsoft-azure): ""The Azure portal is a web-based, unified console that provides an alternative to command-line tools. With the Azure portal, you can manage your Azure subscription by using a graphical user interface.""\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs."	projects/knowledge/interview/azure/001-what-is-azure-portal.txt
azure/35894a811534	azure	easy	azure, kernel, user-management	What is Azure Marketplace?	"[Microsoft Docs](https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-fundamentals/what-is-microsoft-azure): ""Azure marketplace helps connect users with Microsoft partners, independent software vendors, and startups that are offering their solutions and services, which are optimized to run on Azure.""\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs."	projects/knowledge/interview/azure/002-what-is-azure-marketplace.txt
azure/360a21fe4a95	azure	medium	azure, networking	How does Azure Storage replication work, and what are the options available?	Azure Storage replication is a mechanism to ensure data durability and availability by maintaining multiple copies of data across different physical locations. Azure Storage offers several replication options:\n\nRemember: Azure Cognitive Services = pre-built AI APIs for Vision, Speech, Language, and Decision. No ML expertise needed — just API calls.	projects/knowledge/interview/azure/034-how-does-azure-storage-replication-work-and-what-a.txt
azure/3dd31c8bb98d	azure	easy	azure,devops	What is Azure DevOps Pipeline, and how does it facilitate continuous integration and deployment (CI/CD)?	Azure DevOps Pipeline is a continuous integration and continuous deployment (CI/CD) service that automates the build, test, and deployment phases of the application development lifecycle.\nPhases: It consists of build pipelines for compiling and testing code and release pipelines for deploying applications to various environments.\n\nRemember: Azure DevOps = Boards (work tracking) + Repos (Git) + Pipelines (CI/CD) + Test Plans + Artifacts. The all-in-one DevOps platform from Microsoft.	projects/knowledge/interview/azure/085-what-is-azure-devops-pipeline-and-how-does-it-faci.txt
azure/3dfe05feb836	azure	easy	azure,devops	What are the ARM template's sections ?	[Microsoft Learn](https://learn.microsoft.com/en-us/azure/azure-resource-manager/templates/overview): The template has the following sections:\nParameters - Provide values during deployment that allow the same template to be used with different environments.\n\nRemember: ARM templates = Azure's CloudFormation. JSON/Bicep templates defining infrastructure as code. Bicep is the preferred modern syntax — it compiles to ARM JSON.	projects/knowledge/interview/azure/006-what-are-the-arm-templates-sections.txt
azure/43de7d0fee6d	azure	medium	azure,security,monitoring	What is the Azure Security Center? What are some of its features?	It's a monitoring service that provides threat protection across all of the services in Azure.\nMore specifically, it:\n\n* Provides security recommendations based on your usage\n* Monitors security settings and continuously all the services\n* Analyzes and identifies potential inbound attacks\n* Detects and blocks malware using machine learning\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/018-what-is-the-azure-security-center-what-are-some-of.txt
azure/45abf2305787	azure	medium	azure,compute	What's an Azure region?	An Azure region is a set of datacenters deployed within an interval-defined and connected through a dedicated regional low-latency network.\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/016-whats-an-azure-region.txt
azure/46d4e67bd071	azure	easy	azure,compute	"What ""Azure Virtual Machine Scale Sets"" service is used for?"	Scaling Linux or Windows virtual machines; it lets you create and manage a group of load balanced VMs. The number of VM instances can automatically increase or decrease in response to demand or a defined schedule.\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/010-what-azure-virtual-machine-scale-sets-service-is-u.txt
azure/479729ebad91	azure	medium	azure,devops,governance	Discuss the importance of Azure Blueprints in ensuring compliance in automated deployments.	Azure Blueprints is a service in Azure that allows organizations to define a repeatable set of Azure resources and policies to help in deploying and managing environments with an emphasis on compliance and governance.\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/091-discuss-the-importance-of-azure-blueprints-in-ensu.txt
azure/49fa475a7a8b	azure	hard	azure,security	Explain the concept of Azure Confidential Computing and its implications for security.	Azure Confidential Computing is a set of services and technologies designed to protect data during processing by keeping it encrypted in memory.\nHardware-Based Security: It leverages hardware-based security features, such as Intel SGX (Software Guard Extensions), to create secure enclaves for processing sensitive data.\nImplications for Security:\n\nRemember: Azure Cognitive Services = pre-built AI APIs for Vision, Speech, Language, and Decision. No ML expertise needed — just API calls.	projects/knowledge/interview/azure/075-explain-the-concept-of-azure-confidential-computin.txt
azure/4a36f355f468	azure	medium	azure,compute	"What ""Durable Azure Function"" are?"	[Microsoft Learn](https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-fundamentals/what-is-microsoft-azure): Durable Functions is an extension of Azure Functions that lets you write stateful functions in a serverless compute environment.\n\nRemember: Azure Functions = AWS Lambda equivalent. Serverless compute, pay per execution. Consumption plan auto-scales to zero.	projects/knowledge/interview/azure/012-what-durable-azure-function-are.txt
azure/4b6ede961885	azure	medium	azure,identity,identity	How do you configure Single Sign-On (SSO) in Azure AD?	Single Sign-On is a feature in Azure AD that enables users to access multiple applications with a single set of credentials.\nConfiguration Steps:\n* Azure AD Application Registration: Register each application in Azure AD that you want to enable for SSO.\n\nRemember: Azure AD (now Entra ID) = identity provider for Azure. Users, groups, app registrations, conditional access, SSO.	projects/knowledge/interview/azure/058-how-do-you-configure-single-sign-on-sso-in-azure-a.txt
azure/4c19007054c3	azure	medium	azure,governance	What is Azure Policy?	"[Microsoft Learn](https://learn.microsoft.com/en-us/azure/governance/policy/overview): ""Azure Policy helps to enforce organizational standards and to assess compliance at-scale. Through its compliance dashboard, it provides an aggregated view to evaluate the overall state of the environment, with the ability to drill down to the per-resource, per-policy granularity.\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs."	projects/knowledge/interview/azure/004-what-is-azure-policy.txt
azure/52959ad364d5	azure	hard	azure,compute	How do you use Azure PowerShell and Azure CLI for automation?	Azure PowerShell is a module that provides cmdlets to manage Azure resources using PowerShell scripting.\nUsage:\n* Installation: Install the Azure PowerShell module.\n* Authentication: Connect to an Azure account using Connect-AzAccount.\n* Cmdlets: Use cmdlets like New-AzResourceGroup or New-AzVM to create and manage resources.\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/066-how-do-you-use-azure-powershell-and-azure-cli-for-.txt
azure/537f0e6b882e	azure	easy	azure,identity	What is Azure Active Directory?	Azure AD is a cloud-based identity service. You can use it as a standalone service or integrate it with existing Active Directory service you already running.\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/019-what-is-azure-active-directory.txt
azure/575c50fba3f0	azure	hard	azure	Describe the principles of Infrastructure as Code (IaC) and how it is implemented in Azure.	Declarative Configuration: IaC involves defining infrastructure configurations in a declarative manner using code, specifying the desired state of the infrastructure.\nVersion Control: Infrastructure configurations are treated as code and stored in version control systems, enabling change tracking, collaboration, and rollbacks.\n\nGotcha: Azure documentation and naming evolve rapidly (e.g., Azure AD -> Entra ID). Always verify service names and features against current docs.	projects/knowledge/interview/azure/084-describe-the-principles-of-infrastructure-as-code-.txt
