---
tags:
- security
- l1
- flashcard-deck
- disaster-recovery
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Disaster Recovery](../../../../library/portal/topics.md) | **Domain:** Security
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
disaster-recovery/4ac59e5b7b39	disaster-recovery	easy	disaster-recovery, rto, rpo	What do RPO and RTO mean?	RPO (Recovery Point Objective) is how much data you can afford to lose, measured as the time window before the disaster. RTO (Recovery Time Objective) is how long you can be down before business impact, measured as the time window after the disaster until service is restored.	training/library/topics/disaster-recovery/primer.md
disaster-recovery/5a724f492f77	disaster-recovery	easy	disaster-recovery, backup, 3-2-1	What is the 3-2-1 backup rule?	Keep 3 copies of your data, on 2 different storage media, with 1 copy offsite. For example: production database (live), local backup server (Borg repo on ZFS), and offsite S3 bucket (restic to Backblaze B2).	training/library/topics/disaster-recovery/primer.md
disaster-recovery/885e960c1c71	disaster-recovery	easy	disaster-recovery, testing, restore	Why is the statement "if you have never restored from your backups, you do not have backups" important?	The most common DR failure is backing up but never testing restores. Backups can silently fail, produce corrupt archives, or miss critical files. Only a verified restore proves the backup works. Schedule monthly restore drills.	training/library/topics/disaster-recovery/primer.md
disaster-recovery/9115f5fb6466	disaster-recovery	medium	disaster-recovery, borg, deduplication	How does Borg backup achieve space efficiency through deduplication?	Borg splits data into chunks and stores each unique chunk only once. If a 50 GB backup changes only 10 GB between runs, only the new 10 GB of changed chunks are stored. Three 50 GB logical backups might only use 80 GB of physical storage depending on the change rate.	training/library/topics/disaster-recovery/primer.md
disaster-recovery/9513a33b7c48	disaster-recovery	medium	disaster-recovery, restic, offsite	How does restic differ from Borg and when would you choose it?	Restic natively supports cloud backends (S3, B2, Azure, GCS) and is simpler to set up for offsite backups. Choose restic when your primary need is pushing backups to cloud storage. Both support deduplication and encryption, but Borg is faster for local or LAN-based backups.	training/library/topics/disaster-recovery/primer.md
disaster-recovery/d564781deb3f	disaster-recovery	medium	disaster-recovery, tiers, strategy	What are the four DR tiers and their corresponding RPO/RTO targets?	Tier 1 (critical): RPO < 1 hour, RTO < 1 hour, uses real-time replication and hot standby. Tier 2 (important): RPO < 4 hours, RTO < 4 hours, uses frequent snapshots and warm standby. Tier 3 (standard): RPO < 24 hours, RTO < 24 hours, uses daily backups and cold restore. Tier 4 (archival): RPO < 7 days, RTO < 72 hours, uses weekly offsite backups.	training/library/topics/disaster-recovery/primer.md
disaster-recovery/4cc7145235a2	disaster-recovery	medium	disaster-recovery, runbook, structure	What are the essential sections of a DR runbook?	Classification (RPO, RTO, tier, last tested, owner), Dependencies (upstream and downstream services), Backup Details (tool, schedule, retention, location, encryption), Recovery Procedure (step-by-step restore, verification, DNS cutover, notifications), Failover Procedure (promote standby, redirect traffic, verify integrity), and Post-Recovery Checklist.	training/library/topics/disaster-recovery/primer.md
disaster-recovery/077cc5d357d5	disaster-recovery	hard	disaster-recovery, pitfalls, common-mistakes	What are the most dangerous pitfalls in disaster recovery engineering?	Backing up to the same disk as production (both die together), no encryption on offsite backups, forgetting to back up config alongside data (TLS certs, secrets), backup window exceeding backup interval (creating gaps), not versioning DR runbooks (referencing decommissioned servers), single point of failure in the backup pipeline, and retention too aggressive (3 days of backups when corruption happened 4 days ago).	training/library/topics/disaster-recovery/primer.md
disaster-recovery/3f66da6bcb5f	disaster-recovery	hard	disaster-recovery, verification, automation	Describe an automated backup verification script pattern.	Extract the latest Borg archive to a temp directory. Verify critical files exist (e.g., etc/hosts, PostgreSQL PG_VERSION). Run pg_verifybackup if available. Check file sizes and counts against expected baselines. Output PASS/FAIL with details. Clean up the temp directory. Schedule this as a cron job or CI pipeline to run after each backup completes.	training/library/topics/disaster-recovery/primer.md
disaster-recovery/6afcd3fc4425	disaster-recovery	hard	disaster-recovery, offsite, replication	What key decisions must be made when designing offsite backup replication?	Bandwidth (large initial seeds may need physical media), encryption (always encrypt before leaving your network — Borg and restic do this by default), retention policy (offsite retention is usually longer than local), cost (S3 Standard vs Glacier vs B2 can differ by 10x), and restore speed (Glacier retrieval takes hours, which must be factored into your RTO).	training/library/topics/disaster-recovery/primer.md
