---
tags:
- cloud
- l1
- flashcard-deck
- gcp-compute
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [GCP Troubleshooting](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
gcp-compute/15ff93172519	gcp-compute	medium	gcp,compute	"Remove the label ""env"" from an instance called ""instance-1"""	`gcloud compute instances update instance-1 --remove-labels env`\n\nRemember: Labels are key-value metadata for organizing resources. Remove with --remove-labels, add with --update-labels.\n\nGotcha: Labels are different from network tags. Labels are for billing/organization; tags affect firewall rules and routes.	projects/knowledge/interview/gcp/016-remove-the-label-env-from-an-instance-called-insta.txt
gcp-compute/1e27d15de778	gcp-compute	hard	gcp,compute	Explain Google Cloud Billing Catalog.	It's a catalog that enables Google Cloud customers to access and download detailed billing data. It's a comprehensive, detailed breakdown of charges and costs incurred while using GCP services. This catalog is accessible through the GCP Billing Console and includes information on the usage and pricing of all services utilized by an organization. It helps users track and analyze their spending across various GCP products and services, allowing for better cost management and planning.	projects/knowledge/interview/gcp/130-explain-google-cloud-billing-catalog.txt
gcp-compute/1ef7ea96a3d7	gcp-compute	medium	gcp,compute	What is Cloud IoT Core in GCP?	Cloud IoT Core is a fully managed service for securely connecting, managing, and ingesting data from globally dispersed devices. Cloud IoT Core is a fully managed service that allows you to securely connect, manage, and ingest data from globally dispersed IoT devices. It offers a robust infrastructure to handle IoT device management and enables easy integration with other GCP services for data analysis and insights.	projects/knowledge/interview/gcp/140-what-is-cloud-iot-core-in-gcp.txt
gcp-compute/2903b4a2b6c6	gcp-compute	medium	gcp,compute,compute	What are Committed Use Discounts (CUDs) on GCP?	CUDs are cost-saving commitments for specified compute resources over a term. When committing to use specific virtual machine instances or other resources for a one- or three-year term, Google offers discounted pricing compared to pay-as-you-go pricing. These discounts are beneficial for workloads that have predictable and steady resource consumption.	projects/knowledge/interview/gcp/103-what-are-committed-use-discounts-cuds-on-gcp.txt
gcp-compute/3336cff9fb7b	gcp-compute	medium	gcp,compute,compute	What is Google Compute Engine (GCE)?	GCE is an Infrastructure as a Service (IaaS) offering by GCP, providing scalable virtual machines to run workloads. Users can select configurations for CPUs, memory, and storage, and have full control over the software running on these VMs. GCE allows users to create, start, stop, and manage instances, providing a flexible and on-demand computing infrastructure within Google Cloud.	projects/knowledge/interview/gcp/048-what-is-google-compute-engine-gce.txt
gcp-compute/38e8df9f2a09	gcp-compute	medium	gcp,compute,cloud-functions	What is Cloud Run in GCP?	Cloud Run is a fully managed serverless platform for building and running containerized applications.  Notable features include:\n* Portability: Supports containerized applications built on any language or framework.\n* Automatic Scaling: Scales up or down in response to traffic.\n* Pay-for-Usage Model: Charges are based on actual resource usage.	projects/knowledge/interview/gcp/124-what-is-cloud-run-in-gcp.txt
gcp-compute/3e42e68af785	gcp-compute	hard	gcp,compute	Describe Google Cloud Dataflow.	Cloud Dataflow is a fully managed service for stream and batch processing. It enables users to create data pipelines for transforming and enriching data, supporting real-time processing as well as processing of large datasets. It integrates with various data sources and other GCP services, providing a flexible and scalable data processing platform.	projects/knowledge/interview/gcp/144-describe-google-cloud-dataflow.txt
gcp-compute/3ee5523b4fae	gcp-compute	medium	gcp,database,compute	What is Cloud Spanner, and how is it different from other databases?	Cloud Spanner is a globally distributed, horizontally scalable database designed for mission-critical applications with strong consistency and SQL support. It combines the benefits of relational databases with the scalability of NoSQL databases.  It can automatically scale both storage and compute resources. The Data is replicated across multiple regions for high availability and low latency. It also maintains strong consistency with ACID properties for transactions.	projects/knowledge/interview/gcp/094-what-is-cloud-spanner-and-how-is-it-different-from.txt
gcp-compute/42aa5ab48fee	gcp-compute	hard	gcp,networking,compute	Explain each of the following	GCP regions are data centers hosted across different geographical locations worldwide.\n\nWithin each region, there are multiple isolated locations known as Zones. Each zone is one or more data-centers with redundant network and connectivity and power supply. Multiple zones ensure high availability in case one of them goes down	projects/knowledge/interview/gcp/001-explain-each-of-the-following-zone-region.txt
gcp-compute/42f79cb1ac06	gcp-compute	hard	gcp,compute,compute,compute	Differentiate between Preemptible VMs and Standard VMs.	Standard VMs:\n* These are regular, long-lived virtual machine instances.\n* Offered at standard pricing.\n* Ideal for workloads requiring continuous availability without interruption.\n* Guaranteed to run until manually stopped or terminated by the user.\nPreemptible VMs:\n* Short-lived and cost-effective instances.	projects/knowledge/interview/gcp/088-differentiate-between-preemptible-vms-and-standard.txt
