---
tags:
- devops
- l1
- flashcard-deck
- python-automation
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Python Automation](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
python/0dcef0bf87e5	python	easy	python, data-structures, syntax	What is "tuple unpacking"?	Assigning elements of a tuple to multiple variables in one line. \nExample: a, b, c = (1, 2, 3). You can also use \n* for catch-all: first, *rest = (1, 2, 3, \n4) gives rest = [2, 3, 4]. Works with any iterable, not just tuples.	projects/knowledge/interview/python/033-tuple-unpacking.txt
python/0f01d2d70817	python	medium	python, data-structures	What's the difference between a list and a tuple in Python?	A list is mutable (you can change, add, remove elements), while a tuple is immutable (once created, its elements cannot be changed). Tuples are hashable (usable as dict keys), slightly faster, and signal intent that data should not change. Use tuples for fixed collections like coordinates or DB rows.	projects/knowledge/interview/python/003-list-vs-tuple.txt
python/10aa82d3cb09	python	easy	python, syntax	How do you write a comment in Python?	By starting the line with a #. For multi-line explanations, use consecutive # lines. Triple-quoted strings (docstrings) serve a different purpose — they document modules, classes, and functions and are accessible at runtime via __doc__.	projects/knowledge/interview/python/016-python-comments.txt
python/1d5da375cdec	python	easy	python, modules, stdlib	What is the "math" module?	A standard library module providing mathematical functions like sqrt(), ceil(), floor(), log(), and constants like math.pi and math.e. For example, math.sqrt(16) returns 4.0. For more advanced work (arrays, stats), use numpy instead.	projects/knowledge/interview/python/020-math-module.txt
python/22915fe79481	python	easy	python, data-structures	What is a tuple and how does it differ from a list?	An immutable, ordered sequence of items defined with parentheses: t = (1, 2, 3). Because they are immutable, tuples are hashable and can be used as dictionary keys or set elements. A single-element tuple requires a trailing comma: (42,).	projects/knowledge/interview/python/023-what-is-tuple.txt
python/24e3e58de7ae	python	medium	python, functions	What is the difference between return and print?	return sends a value back to the caller and exits the function — it can be captured in a variable or used in expressions. print outputs text to the console for human reading but returns None. A common beginner mistake is using print inside a function and wondering why the result can't be reused.	projects/knowledge/interview/python/012-return-vs-print.txt
python/2a0d341f86d7	python	easy	python, syntax	What is "nested loop"?	A loop placed inside the body of another loop. The inner loop runs completely for each iteration of the outer loop. \nExample: iterating a 2D grid with for row in matrix: for cell in row. Be cautious — deeply nested loops can cause performance issues (O(n^2) or worse).	projects/knowledge/interview/python/036-nested-loop.txt
python/2a8f1c1555c9	python	easy	python, syntax	What are the three logical operators?	and, or, and not. They operate on boolean values and use short-circuit evaluation — and stops at the first False, or stops at the first True. This enables patterns like value = x or default_value to set a fallback when x is falsy.	projects/knowledge/interview/python/018-logical-operators.txt
python/2f31d0839b51	python	hard	python, functions, syntax	What does the yield keyword do?	It turns a function into a generator, allowing it to produce a sequence of values lazily over multiple invocations. Each yield outputs a value and pauses the function; calling next() resumes it. This enables memory-efficient iteration over large datasets since values are generated on demand rather than stored in a list.	projects/knowledge/interview/python/011-what-does-yield-do.txt
python/32595276c0a4	python	easy	python, syntax	What is an "integer division" operator?	// (floor division) divides and returns only the whole number part, discarding the remainder. \nExample: 7 // 2 gives \n3. It always rounds toward negative infinity, so -7 // 2 gives -4 (not -3). Pair with % (modulus) to get both quotient and remainder.	projects/knowledge/interview/python/014-integer-division.txt
python/353b1940b4c9	python	easy	python, functions	What does the input() function always return?	A string value, regardless of what the user types. If you need a number, you must explicitly cast: int(input("Enter a number: ")). Forgetting this cast is one of the most common beginner bugs — comparing input() == 5 will always be False.	projects/knowledge/interview/python/009-input-return-type.txt
python/389c288c084d	python	medium	python, functions, stdlib	What does the open() mode 'a' do?	Opens a file for appending — new writes go to the end without overwriting existing content. If the file does not exist, it is created. Contrast with 'w' which truncates the file. Use 'a' for log files or any case where you want to accumulate data across multiple writes.	projects/knowledge/interview/python/030-file-append-mode.txt
python/3c44b27b66a6	python	hard	python, functions, oop	What is a decorator in Python?	A decorator is a function that takes another function and extends its behavior without modifying it. The @decorator syntax above a function definition wraps it in additional functionality. Common uses: @staticmethod, @property, logging, access control, memoization. Decorators can be stacked and can accept arguments via a decorator factory pattern.	projects/knowledge/interview/python/013-what-is-decorator.txt
python/3ca952837353	python	medium	python, data-structures, syntax	What is a list comprehension in Python?	A concise way to create a new list by iterating over an iterable and optionally filtering. \nExample: [x**2 for x in range(5) if x % 2 == 0] creates [0, 4, 16]. Also supports nested loops and can be turned into generator expressions with parentheses for memory efficiency. Prefer comprehensions over map/filter for readability.	projects/knowledge/interview/python/009-list-comprehension.txt
python/403fa9f717fa	python	easy	python, data-structures	What is a list data type and how is it used?	A mutable, ordered sequence of items defined with square brackets: my_list = [1, 2, 3]. Lists support indexing, slicing, appending, and iteration. They can hold mixed types but in practice usually hold one type. Under the hood, Python lists are dynamic arrays, not linked lists.	projects/knowledge/interview/python/021-what-is-list.txt
python/4237c4f7a3cd	python	easy	python, modules, packaging	How do you install a package in Python?	Using pip: pip install package_name (downloads from PyPI by default). \nBest practice: always install into a virtual environment, not system Python. Use pip install -r requirements.txt for project dependencies, and pin versions for reproducibility (e.g., requests==2.31.0).	projects/knowledge/interview/python/008-install-package.txt
python/43e437b6ff5b	python	hard	python, oop, debugging	What is the purpose of garbage collection in Python?	Python manages memory using reference counting (freeing objects when their refcount hits zero) plus a cyclic garbage collector that detects reference cycles (e.g., two objects pointing at each other). The gc module lets you inspect or force collection. Memory leaks can still happen if objects are unintentionally held in global lists, caches, or closures.	projects/knowledge/interview/python/015-garbage-collection.txt
python/44f94702be08	python	medium	python, modules, syntax	What does if __name__ == "__main__": do?	It checks if the file is being run directly (as a script) vs being imported as a module. Code inside this block only executes on direct run. This idiom lets you put tests, demos, or CLI logic in a module file without it running on import. Every well-structured Python script should use this pattern.	projects/knowledge/interview/python/005-if-name-main.txt
python/47cdf1c0b37f	python	easy	python, syntax	What is Python and what makes it popular for DevOps and scripting?	Python is a high-level, interpreted programming language known for its readable syntax and broad usage in web development, automation, data analysis, AI, and DevOps scripting. Its "batteries included" standard library and large ecosystem (PyPI) make it a go-to language for rapid prototyping and production systems alike.	projects/knowledge/interview/python/001-what-is-python.txt
