---
tags:
- k8s
- l1
- flashcard-deck
- k8s-security
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [RBAC](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-security/04457adcdd92	k8s-security	easy	k8s-security, network-policy, rbac	True or False? If no network policies are applied to a pod, then no connections to or from it are allowed	False. By default, pods are non-isolated — all ingress and egress traffic is allowed. Network policies only take effect when explicitly applied, and they use a whitelist model: once any policy selects a pod, all traffic not explicitly allowed is denied. \nGotcha: NetworkPolicy requires a CNI plugin that supports it (Calico, Cilium), not all do.	projects/knowledge/interview/kubernetes/164-true-or-false-if-no-network-policies-are-applied-t.txt
k8s-security/055836c44ddf	k8s-security	hard	k8s-security, rbac, network-policy, pod-security	How does Kubernetes manage security, and what are some best practices?	**Kubernetes Security Management:**\n • Role-Based Access Control (RBAC): Defines and enforces access policies.\n • Pod Security Policies: Restricts pod behaviors for security compliance.\n • Network Policies: Controls communication between pods.\n • Secrets Management: Safely handles sensitive information.\n • Container Runtime Security: Ensures container runtime security practices.\n • Security Contexts: Defines security settings at the pod or container level.\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).	
k8s-security/0c607ddf5b07	k8s-security	easy	k8s-security, pod-security, admission-controller	What is PodSecurity and how can it be configured in a Kubernetes cluster?	* PodSecurity in Kubernetes: PodSecurity refers to policies and configurations that control the security context of pods.\n* It includes settings related to running as a privileged user, allowing privileged containers, and more.\n* PodSecurityPolicy was removed in K8s 1.25. Use the built-in Pod Security Admission controller with labels (enforce/audit/warn) and Pod Security Standards (privileged/baseline/restricted).\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).	projects/knowledge/interview/kubernetes/357-what-is-podsecurity-and-how-can-it-be-configured-i.txt
k8s-security/165d2a0d7707	k8s-security	medium	k8s-security, pod-security, admission-controller	Explain how Gatekeeper works	On every request sent to the Kubernetes cluster, Gatekeeper sends the policies and the resources to OPA (Open Policy Agent) to check if it violates any policy. If it does, Gatekeeper will return the policy error message back. If it isn't violates any policy, the request will reach the cluster.\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).	projects/knowledge/interview/kubernetes/249-explain-how-gatekeeper-works.txt
k8s-security/16f7aa6c5f03	k8s-security	medium	k8s-security, rbac, serviceaccount	Explain the role of RBAC (Role-Based Access Control) in Kubernetes.	* RBAC in Kubernetes: RBAC is a Kubernetes feature that defines roles, role bindings, and cluster roles to control access.\n* It enables administrators to grant permissions to users, groups, or service accounts based on roles.\n* RBAC enhances security by enforcing the principle of least privilege.\n\nRemember: RBAC = 4 objects: Role, ClusterRole, RoleBinding, ClusterRoleBinding. "2+2."	projects/knowledge/interview/kubernetes/356-explain-the-role-of-rbac-role-based-access-control.txt
k8s-security/1bf96461f144	k8s-security	medium	k8s-security, network-policy, rbac	What are some use cases for using Network Policies?	- Security:  You want to prevent from everyone to communicate with a certain pod for security reasons\n  - Controlling network traffic: You would like to deny network flow between two specific nodes\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).\n\nExample: Isolate a database pod so only the API pod can reach it: NetworkPolicy with ingress from pods labeled app=api.\n\nRemember: NetworkPolicies are additive — multiple policies on the same pod combine their allowed traffic.	projects/knowledge/interview/kubernetes/163-what-are-some-use-cases-for-using-network-policies.txt
k8s-security/2f06ba57c9f6	k8s-security	medium	k8s-security, pod-security, admission-controller	What is OPA Gatekeeper and how does it enforce policies in Kubernetes?	[Gatekeeper docs](https://open-policy-agent.github.io/gatekeeper/website/docs): "Gatekeeper is a validating (mutating TBA) webhook that enforces CRD-based policies executed by Open Policy Agent"\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).	projects/knowledge/interview/kubernetes/248-what-is-gatekeeper.txt
k8s-security/5671b39291d0	k8s-security	hard	k8s-security, network-policy, rbac	Explain the concept of Network Policies in Kubernetes.	* Network Policies: Network Policies in Kubernetes define how pods can communicate with each other.\n* They specify rules for ingress and egress traffic based on pod labels.\n* Network Policies help enforce security and segmentation within a cluster.\n* By defining Network Policies, administrators can control the flow of network traffic between pods. \n* This enhances security by restricting communication to only the necessary components, helping prevent unauthorized access or potential attacks within the cluster.\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).	projects/knowledge/interview/kubernetes/329-explain-the-concept-of-network-policies-in-kuberne.txt
k8s-security/5c399b8695b3	k8s-security	hard	k8s-security, pod-security, rbac	Discuss PodSecurityPolicies in Kubernetes and how they enhance security.	* PodSecurityPolicies (PSP): PSP is a cluster-level resource that controls security-sensitive aspects of pod specification.\n* It defines a set of conditions that a pod must run with.\n* PSP enhances security by restricting privilege escalation, host namespace usage, and more.\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).	projects/knowledge/interview/kubernetes/355-discuss-podsecuritypolicies-in-kubernetes-and-how-.txt
k8s-security/5faed00bd59a	k8s-security	medium	k8s-security, serviceaccount, rbac	Explain how Service Accounts are different from User Accounts	- User accounts are global while Service accounts unique per namespace\n  - User accounts are meant for humans or client processes while Service accounts are for processes which run in pods\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).	projects/knowledge/interview/kubernetes/232-explain-how-service-accounts-are-different-from-us.txt
k8s-security/78524e9a4b6a	k8s-security	easy	k8s-security, admission-controller, rbac	What is the purpose of an admission controller in Kubernetes, and how can you extend it?	* Admission Controller in Kubernetes:\n* Admission controllers validate and mutate Kubernetes resources before they are persisted. \nThey enforce policies and security measures.\n* Extending Admission Controllers:\n* Custom admission controllers can be created to enforce specific organization or application-specific policies.\n* Use the Kubernetes admission webhook mechanism to extend admission control.\n\nRemember: Admission controllers intercept API requests. Types: validating and mutating.\n\nExample: LimitRanger, PodSecurity, OPA/Gatekeeper — common admission controllers.	projects/knowledge/interview/kubernetes/369-what-is-the-purpose-of-an-admission-controller-in-.txt
k8s-security/7e7e746a558b	k8s-security	medium	k8s-security, pod-security, rbac	What is Conftest and how does it validate configuration files?	Conftest allows you to write tests against structured files. You can think of it as tests library for Kubernetes resources. \nIt is mostly used in testing environments such as CI pipelines or local hooks.\n\nRemember: K8s security layers: RBAC (who), NetworkPolicy (what), PSA (how), encryption (data).	projects/knowledge/interview/kubernetes/250-what-is-conftest.txt
