---
tags:
- devops
- l1
- flashcard-deck
- git-workflows
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Git Workflows & Branching Strategies](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
git-workflows/a1b2c3d4	git-workflows	easy	trunk-based, workflows	What is trunk-based development?	Everyone commits to main (the trunk). Feature branches live less than one day. Incomplete features are hidden behind feature flags, not long-lived branches.	training/library/topics/git-workflows/primer.md
git-workflows/b2c3d4e5	git-workflows	easy	github-flow, workflows	How does GitHub Flow differ from trunk-based development?	GitHub Flow uses feature branches with pull requests into main. Branches can live 1-3 days (vs <1 day in TBD). Both use a single main branch with no develop or release branches.	training/library/topics/git-workflows/primer.md
git-workflows/c3d4e5f6	git-workflows	easy	gitflow, workflows	What are the five branch types in GitFlow?	Develop, Feature, Release, Hotfix, and Main. Mnemonic: DFRHM. Main holds production releases, develop is the integration branch, features branch from develop, releases stabilize code, hotfixes patch production.	training/library/topics/git-workflows/primer.md
git-workflows/d4e5f6a7	git-workflows	easy	gitlab-flow, workflows	What is the core principle of GitLab Flow?	Code flows one direction through environment branches: main -> staging -> production. You never commit directly to environment branches — you merge from upstream. Mnemonic: "Water flows downhill."	training/library/topics/git-workflows/primer.md
git-workflows/e5f6a7b8	git-workflows	easy	release-branching, workflows	When should you use release branching?	When you support multiple released versions simultaneously (e.g., PostgreSQL 14/15/16/17). Each release branch is a promise to patch that version until its EOL date. Mnemonic: "Branch per promise."	training/library/topics/git-workflows/primer.md
git-workflows/f6a7b8c9	git-workflows	easy	merge, strategies	What are the three main merge strategies in Git?	1) Merge commit (--no-ff): preserves full branch history. \n2) Rebase: replays commits for linear history. \n3) Squash merge: combines all branch commits into one. Mnemonic: MRS — Merge, Rebase, Squash.	training/library/topics/git-workflows/primer.md
git-workflows/a7b8c9d0	git-workflows	easy	trunk-based, feature-flags	Why are feature flags essential for trunk-based development?	Feature flags decouple deployment from release. Code ships to production on every commit but new features are hidden behind flags until ready. Without flags, unfinished features would be visible to users.	training/library/topics/git-workflows/primer.md
git-workflows/b8c9d0e1	git-workflows	easy	branch-protection, safety	Why is branch protection the most important workflow enforcement mechanism?	Without branch protection, your workflow is just a suggestion. Any developer can push directly to main, skip CI, or force-push. Branch protection makes the rules mandatory, not optional.	training/library/topics/git-workflows/footguns.md
git-workflows/c9d0e1f2	git-workflows	easy	github-flow, deploy	What is the deployment model in GitHub Flow?	Main is always deployable. Deployments happen from main — either automatically on merge or on a schedule. There are no release branches. Rollback = revert the merge commit.	training/library/topics/git-workflows/primer.md
git-workflows/d0e1f2a3	git-workflows	easy	gitflow, origin	Who created GitFlow and when?	Vincent Driessen published "A Successful Git Branching Model" on January 5, 2010. In 2020, he added a note saying GitFlow is NOT suitable for teams practicing continuous delivery.	training/library/topics/git-workflows/primer.md
