id	category	tags	topic_text	trivia_fact	source
k8s-storage/t001	k8s-storage	kubernetes,pv,pvc,design	PV/PVC Design	The PersistentVolume (PV) and PersistentVolumeClaim (PVC) separation was inspired by cloud volume APIs. PVs represent actual storage resources (like an AWS EBS volume), while PVCs are requests for storage. This abstraction lets developers request storage without knowing the underlying infrastructure.	Kubernetes storage design docs
k8s-storage/t002	k8s-storage	kubernetes,csi,standard	CSI Standard	The Container Storage Interface (CSI) was created to standardize how container orchestrators interact with storage systems. Before CSI, storage drivers were compiled directly into Kubernetes ("in-tree"), requiring a Kubernetes release for every driver update. CSI made drivers independently deployable.	CSI specification (GitHub)
k8s-storage/t003	k8s-storage	kubernetes,ephemeral,storage	Ephemeral by Default	Container storage is ephemeral by default in Kubernetes — when a pod dies, its filesystem vanishes. This is intentional, not a limitation. It enforces the principle that pods are disposable and state should be explicitly managed through PersistentVolumes.	Kubernetes storage concepts
k8s-storage/t004	k8s-storage	kubernetes,storageclass,provisioner	StorageClass Purpose	A StorageClass acts as a "provisioner profile" that defines what kind of storage to create (SSD vs HDD, replicated vs local, etc.). When a PVC references a StorageClass, Kubernetes automatically provisions matching storage — this is called dynamic provisioning, and it eliminated manual PV creation.	Kubernetes StorageClass docs
k8s-storage/t005	k8s-storage	kubernetes,emptydir,tmpfs	EmptyDir Volume	The emptyDir volume type creates a temporary directory that exists only as long as the pod runs. It can be backed by disk or RAM (tmpfs). Its most common use is sharing files between containers in the same pod — like a sidecar writing logs that another container ships.	Kubernetes emptyDir docs
k8s-storage/t006	k8s-storage	kubernetes,configmap,secret	ConfigMap as Volume	ConfigMaps and Secrets can be mounted as volumes in pods, making configuration files appear in the container filesystem. Updates to ConfigMaps are eventually propagated to mounted volumes without pod restarts, though the propagation delay can be up to a minute.	Kubernetes ConfigMap docs
k8s-storage/t007	k8s-storage	kubernetes,reclaim,policy	Reclaim Policies	PersistentVolumes have a reclaim policy that controls what happens when a PVC is deleted. "Retain" keeps the data for manual cleanup, "Delete" removes the underlying storage (common in cloud), and "Recycle" (deprecated) used to do a basic rm -rf on the volume.	Kubernetes PV reclaim policy docs
k8s-storage/t008	k8s-storage	kubernetes,local,storage	Local Persistent Volumes	Local PersistentVolumes, added in Kubernetes 1.14 (GA), let you use local disks (NVMe SSDs, etc.) as persistent storage with the PV/PVC abstraction. The scheduler becomes topology-aware — it only schedules pods to nodes where the local volume actually exists.	Kubernetes local volumes docs
k8s-storage/t009	k8s-storage	kubernetes,volume,snapshot	Volume Snapshots	CSI Volume Snapshots (GA in Kubernetes 1.20) brought point-in-time copy capability to Kubernetes storage. Inspired by cloud provider snapshot APIs, they let you create a VolumeSnapshot object that captures the state of a PVC, which can then be used to create new volumes or restore data.	Kubernetes VolumeSnapshot docs
k8s-storage/t010	k8s-storage	kubernetes,access,modes	Access Modes	PersistentVolumes support three access modes: ReadWriteOnce (single node), ReadOnlyMany (multiple nodes read), and ReadWriteMany (multiple nodes read-write). Not all storage backends support all modes — for example, AWS EBS only supports ReadWriteOnce because it can only attach to one EC2 instance at a time.	Kubernetes PV access modes docs
