---
tags:
- devops
- l1
- flashcard-deck
- gitops
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [GitOps](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
argo/04e996e8543d	argo	medium	argo, rollouts, application	How to rollout a new version (with new container tag)?	`kubectl argo rollouts set image SOME-APP web-app=some/registry/and/image:v2.0`\n\nUnder the hood: patches the Rollout spec with the new image tag, triggering the configured strategy (canary steps, blue-green switch, or analysis run).\n\nGotcha: the image name must match exactly what is in the Rollout spec, including the full registry path.\n\nRemember: Argo Rollouts replaces Deployments with a Rollout CRD that supports canary, blue-green, and progressive delivery with automated analysis and rollback.	projects/knowledge/interview/argo/049-how-to-rollout-a-new-version-with-new-container-ta.txt
argo/0a2e9a5841f3	argo	medium	argo, rollouts, sync, application	What happens when you rollout a new version of your app with argo rollouts?	- Argo Rollouts creates a new replicaset (that is the new app version)\n  - Old version is still alive\n- ArgoCD marks the app as out-of-sync\n\nRemember: Argo Rollouts replaces Deployments with a Rollout CRD that supports canary, blue-green, and progressive delivery with automated analysis and rollback.\n\nRemember: an ArgoCD Application CRD defines: source (Git repo + path + revision), destination (cluster + namespace), and sync policy. It's the fundamental GitOps unit.	projects/knowledge/interview/argo/041-what-happens-when-you-rollout-a-new-version-of-you.txt
argo/15cb76f3e1e4	argo	easy	argo, rollouts, workflows	How to check the status of a rollout?	`kubectl argo rollouts status SOME-APP`\n\nUnder the hood: returns the phase (Progressing, Paused, Degraded, Healthy) plus replica counts and error messages if any.\n\nRemember: phases are Progressing, Paused, Degraded, Healthy. Paused = waiting for manual promote or analysis result.	projects/knowledge/interview/argo/048-how-to-check-the-status-of-a-rollout.txt
argo/16a972795619	argo	easy	argo, rollouts, workflows	True or False? You need to install ArgoCD in order to use Argo Rollouts	False. Quite common misconception today but both cab be used independency even though they work nicely together.\n\nRemember: ArgoCD = continuous delivery from Git. Argo Rollouts = progressive delivery strategies. They pair well but are independent.\n\nFun fact: the Argo project also includes Argo Workflows (DAG-based job orchestration) and Argo Events (event-driven triggers).	projects/knowledge/interview/argo/042-true-or-false-you-need-to-install-argocd-in-order-.txt
argo/214ca6dfc4cd	argo	medium	argo, cd, sync, application	True or False? If you have multiple Kubernetes clusters you want to manage sync applications to with ArgoCD then, you must have ArgoCD installed on each one of them	False, it can be deployed on one of them. ArgoCD is able to manage external clusters on which it doesn't run.\n\nRemember: an ArgoCD Application CRD defines: source (Git repo + path + revision), destination (cluster + namespace), and sync policy. It's the fundamental GitOps unit.\n\nRemember: ArgoCD sync states: Synced (cluster matches Git), OutOfSync (drift detected), Unknown (cannot determine). Use argocd app sync APP_NAME to force reconciliation.	projects/knowledge/interview/argo/029-true-or-false-if-you-have-multiple-kubernetes-clus.txt
argo/25a58dbf08a2	argo	easy	argo, rollouts, workflows	How to list rollouts?	`kubectl argo rollouts list rollouts`\n\nFun fact: Argo Rollouts extends Kubernetes with a Rollout CRD replacing Deployments for canary, blue-green, and progressive delivery strategies.\n\nRemember: Argo Rollouts extends K8s with a Rollout CRD. Use kubectl argo rollouts (plugin) to manage them, not plain kubectl.	projects/knowledge/interview/argo/046-how-to-list-rollouts.txt
argo/25f26700a695	argo	medium	argo, project, workflows	How to add an additional (external) cluster for ArgoCD to manage?	`argocd cluster add CLUSTER_ADDRESS/NAME`\n\nUnder the hood: stores cluster credentials as Kubernetes Secrets in the argocd namespace. The target cluster must be reachable from the ArgoCD controller pod.\n\nGotcha: the cluster context must exist in your local kubeconfig before running this command.\n\nRemember: ArgoCD follows the GitOps principle: Git is the single source of truth. All cluster changes go through Git commits, providing an audit trail and easy rollback via git revert.	projects/knowledge/interview/argo/023-how-to-add-an-additional-external-cluster-for-argo.txt
argo/2e075f3ec040	argo	medium	argo, cd, application, project	"You deployed a new application in a namespace called ""yay"" but when running kubectl get ns yay you see there is no such namespace. What happened?"	"Deploying applications in non-existing namespaces doesn't create the namespace. For that you have to explicitly mark ""Auto-create namespace"".\n\nTo fix it, you can simply run `kubectl create namespace NAMESPACE_NAME` but it's better of course to have it stored in Git rather than running kubectl commands.\n\nRemember: an ArgoCD Application CRD defines: source (Git repo + path + revision), destination (cluster + namespace), and sync policy. It's the fundamental GitOps unit."	projects/knowledge/interview/argo/019-you-deployed-a-new-application-in-a-namespace-call.txt
argo/30e5941d585b	argo	medium	argo, cd, gitops	True or False? A Deployment considered to be healthy if the Pods are running	Not exactly. A Deployment (as well as StatefulSet, ReplicaSet and DaemonSet) is considered healthy if the desired state equals the actual/current state (this includes the number of replicas).\n\nRemember: ArgoCD follows the GitOps principle: Git is the single source of truth. All cluster changes go through Git commits, providing an audit trail and easy rollback via git revert.	projects/knowledge/interview/argo/032-true-or-false-a-deployment-considered-to-be-health.txt
argo/32cd44ba13b8	argo	medium	argo, cd, rollouts	Scott, an engineer in your team, executes manually some smoke tests and monitors rollouts every time a new version is deployed. This way, if there is an issue he detects, he performs a rollback. What better approach you might suggest him to take?	Shift towards fully automated rollbacks. Argo Rollouts supports multiple metric providers (Datadog, NewRelic, etc.) so you can use data and metrics for automating the rollbacks based on different conditions\n\nRemember: Argo Rollouts replaces Deployments with a Rollout CRD that supports canary, blue-green, and progressive delivery with automated analysis and rollback.\n\nRemember: an ArgoCD Application CRD defines: source (Git repo + path + revision), destination (cluster + namespace), and sync policy. It's the fundamental GitOps unit.	projects/knowledge/interview/argo/043-scott-an-engineer-in-your-team-executes-manually-s.txt
