---
tags:
- cloud
- l1
- flashcard-deck
- gcp-security
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [GCP Troubleshooting](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
gcp-security/0a04e9a5656f	gcp-security	medium	gcp,networking,iam,security	What are usecases of IAP ?	Identity-Aware Proxy (IAP) is a GCP service that provides centralized access management for GCP resources. Use cases for IAP include:\nSecure Remote Access: Allows employees or users to securely access resources from anywhere without a VPN.\nWeb Application Protection: Protects web applications from unauthorized access.\nGranular Access Control: Enables fine-grained access control based on user identity rather than network location.	projects/knowledge/interview/gcp/068-what-are-usecases-of-iap.txt
gcp-security/1c44c006ad5e	gcp-security	hard	gcp,iam,compute	Explain Resource Manager in GCP.	GCP Resource Manager is a hierarchical organization tool for managing and governing resources. It allows organizations to organize and manage their GCP resources, projects, and services, offering centralized control over resource allocation, permissions, and organization policies. It provides a clear view of resource usage and access control, enabling consistent and efficient management across an organization's GCP projects.	projects/knowledge/interview/gcp/134-explain-resource-manager-in-gcp.txt
gcp-security/26a37cd2f6f2	gcp-security	hard	gcp,iam,compute	Describe Identity and Access Management (IAM) in GCP.	IAM manages access control for GCP resources, allowing setting granular permissions for users and services.\nKey Aspects:\n* Principle of Least Privilege: Grants only necessary permissions to entities based on their roles.\n* Resource Hierarchy: Manages permissions across organizations, folders, and projects.	projects/knowledge/interview/gcp/095-describe-identity-and-access-management-iam-in-gcp.txt
gcp-security/2b6e306a7930	gcp-security	medium	gcp,security,database	Explain Google Cloud SQL.	It's a fully managed relational database service supporting MySQL, PostgreSQL, and SQL Server. Provides automated backups, replication, and patches. Ideal for applications needing relational databases without the hassle of managing them.	projects/knowledge/interview/gcp/093-explain-google-cloud-sql.txt
gcp-security/388f86bb4638	gcp-security	hard	gcp,security	How does Google Cloud Key Management Service (KMS) work?	KMS is a cryptographic key management service allowing the creation, storage, and management of cryptographic keys for use by other GCP services.\n* Key Creation and Management: KMS enables the generation, rotation, and destruction of encryption keys. Customers have control over these keys and can manage their lifecycle.	projects/knowledge/interview/gcp/119-how-does-google-cloud-key-management-service-kms-w.txt
gcp-security/443d17c53a71	gcp-security	hard	gcp,iam,security	How does GCP handle data governance and compliance requirements?	GCP provides a range of compliance certifications and features for meeting data governance requirements. It provides tools and controls for data classification, access controls, encryption, and auditing to meet industry-specific compliance standards. GCP services such as Cloud IAM, Data Loss Prevention (DLP), and security tools assist in ensuring compliance with regulations and organizational policies.	projects/knowledge/interview/gcp/133-how-does-gcp-handle-data-governance-and-compliance.txt
gcp-security/4d740562b6c6	gcp-security	hard	gcp,compute	How does GCP handle compliance with various regulations?	GCP maintains a robust compliance program, aligning with global standards and regulations, ensuring that the platform meets strict standards set by different industries and regions. GCP maintains a wide array of certifications, including SOC 1, 2, and 3, ISO 27001, PCI DSS, HIPAA, and GDPR compliance. Here's how GCP handles compliance:	projects/knowledge/interview/gcp/111-how-does-gcp-handle-compliance-with-various-regula.txt
gcp-security/5c27e3044910	gcp-security	medium	gcp,iam	Explain roles and permissions	"Role is an encapsulation of set of permissions. For example an ""owner"" role has more than 3000 assigned permissions to the different components and services of GCP."\n\nRemember: Three role types: Basic (Owner/Editor/Viewer — broad), Predefined (service-specific), Custom (user-defined).\n\nGotcha: Basic roles are too broad for production. Use predefined or custom roles for least privilege.\n\nNumber anchor: Owner role has 3000+ permissions. Viewer has ~300. Use the IAM recommender to right-size.	projects/knowledge/interview/gcp/010-explain-roles-and-permissions.txt
gcp-security/69fa774f7e1a	gcp-security	medium	gcp,security,compute	What are os policies ? or How can you perform automatic patch management in GCP ? or How do you ensure a certain package in installed on all incoming VMs?	OS Policies in GCP enable administrators to define and enforce policies on operating systems across VM instances. This includes automatically managing OS patches, updating packages, and enforcing configurations to ensure consistency and security compliance across the infrastructure. Through OS policies, administrators can define rules for automatic patch management, ensuring that specific packages are installed or updated on all incoming VMs as they are provisioned.	projects/knowledge/interview/gcp/053-what-are-os-policies-or-how-can-you-perform-automa.txt
gcp-security/6aad6f4636f5	gcp-security	medium	gcp,networking,iam,security	What is Cloud Identity-Aware Proxy (IAP)?	IAP is a service that controls access to web applications running on GCP. It allows access to applications based on a user's identity and context, rather than the traditional method of using a VPN.\nIAP offers:\n* Context-Aware Access: It considers user identity and context, such as device security status and geographic location, to grant access.	projects/knowledge/interview/gcp/102-what-is-cloud-identity-aware-proxy-iap.txt
