What is ORM? What benefits it provides in regards to relational databases usage?	"[Wikipedia](https://en.wikipedia.org/wiki/Object%E2%80%93relational_mapping): ""is a programming technique for converting data between incompatible type systems using object-oriented programming languages""\n\nIn regards to the relational databases:\n\n  * Database as code\n  * Database abstraction\n  * Encapsulates SQL complexity\n  * Enables code review process\n  * Enables usage as a native OOP structure"	databases medium sql
Describe a high-availability PostgreSQL setup and its failure modes.	Typical HA setup:\n\n* Primary + synchronous standby (or Patroni-managed cluster)\n* Connection pooler (PgBouncer) in front\n* Automated failover via Patroni, repmgr, or cloud-managed (RDS Multi-AZ)\n\nFailure modes:\n* Primary crash: standby promoted, clients reconnect (brief downtime)\n* Network partition: split-brain risk if fencing misconfigured, use quorum/witness\n* Replica lag: synchronous replication prevents data loss but adds latency\n* Connection pooler failure: run multiple instances behind a VIP or DNS\n* Storage failure: RAID or cloud volume replication protects against single-disk failure	databases hard ha
What is the CAP theorem and how does it apply to database selection?	The CAP theorem states that a distributed system can guarantee at most two of three properties simultaneously:\n\n* Consistency: every read returns the most recent write\n* Availability: every request receives a response\n* Partition tolerance: the system continues operating despite network partitions\n\nIn practice, network partitions are unavoidable, so the trade-off is between consistency and availability during a partition.\nCP: etcd, ZooKeeper, HBase\nAP: Cassandra, DynamoDB (eventual consistency)\nCA: single-node PostgreSQL (no partition tolerance)	databases hard cap
When would you choose a NoSQL database over a relational database?	Choose NoSQL when:\n\n* Schema is highly variable or evolving rapidly (document stores like MongoDB)\n* You need horizontal write scaling (Cassandra, DynamoDB)\n* Data is naturally key-value or graph-shaped (Redis, Neo4j)\n* You need very low-latency lookups at massive scale\n* Eventual consistency is acceptable\n\nStick with relational when:\n* You need strong consistency and complex transactions (ACID)\n* Your data has clear relationships and you need JOINs\n* You need mature tooling for reporting and analytics	databases easy nosql
How should database schema migrations be handled in a DevOps workflow?	Best practices:\n\n* Use a migration tool (Flyway, Alembic, Liquibase) to version schema changes\n* Store migrations in version control alongside application code\n* Make migrations idempotent and reversible when possible\n* Run migrations as part of CI/CD pipeline, before application deployment\n* Avoid destructive changes in production (prefer additive: add column, backfill, remove old)\n* Test migrations against a copy of production data\n* Use transactions for DDL where supported (PostgreSQL does, MySQL mostly does not)	databases medium migrations
What strategies exist for database backup and recovery?	Common strategies:\n\n* Logical backups (pg_dump, mysqldump): SQL-level export, portable but slow for large DBs\n* Physical backups (pg_basebackup, xtrabackup): file-level copy, faster restore\n* WAL/binlog archiving: continuous archiving enables point-in-time recovery (PITR)\n* Snapshots: storage-level snapshots (EBS, ZFS) for near-instant backup\n\nBest practices:\n* Test restores regularly\n* Store backups off-site or in a different region\n* Monitor backup job success/failure\n* Document RTO and RPO targets	databases medium backup
What is an index in a database?	A database index is a data structure that improves the speed of operations in a table. Indexes can be created using one or more columns, providing the basis for both rapid random lookups and efficient ordering of access to records.	databases easy sql indexing
Explain database replication and when you would use it in production.	Database replication copies data from one database server (primary/master) to one or more replicas. Use cases:\n\n* Read scaling: route read queries to replicas to reduce primary load\n* High availability: promote a replica if the primary fails\n* Disaster recovery: maintain replicas in another region/AZ\n* Reporting: run heavy analytics queries against a replica\n\nReplication modes:\n* Synchronous: primary waits for replica acknowledgment (stronger consistency, higher latency)\n* Asynchronous: primary does not wait (lower latency, risk of data loss on failover)\n* Semi-synchronous: primary waits for at least one replica	databases medium replication
What is DDL (Data Definition Language) in SQL?	"[Wikipedia](https://en.wikipedia.org/wiki/Data_definition_language): ""In the context of SQL, data definition or data description language (DDL) is a syntax for creating and modifying database objects such as tables, indices, and users."""	databases easy sql schema
What database metrics should you monitor in production?	Key metrics by category:\n\n* Connections: active connections, pool utilization, connection wait time\n* Performance: query latency (p50/p95/p99), queries per second, slow query count\n* Resources: CPU, memory/buffer cache hit ratio, disk I/O (IOPS, latency)\n* Replication: replica lag, replication slot status\n* Storage: table size growth, WAL/binlog size, disk space remaining\n* Locks: lock wait time, deadlock count, long-running transactions\n\nTools: pg_stat_statements, Performance Schema (MySQL), CloudWatch RDS, postgres_exporter	databases medium monitoring
