id	category	tags	topic_text	trivia_fact	source
grafana/t001	grafana	kibana,fork,origin	Forked From Kibana 3	Grafana started in December 2013 as a fork of Kibana 3's dashboard panel. Torkel Odegaard wanted a better visualization tool for time-series data from Graphite and InfluxDB. He stripped out the Elasticsearch dependency and rebuilt the data source layer to be pluggable.	grafana.com/about
grafana/t002	grafana	torkel,creator,sweden	Created by Torkel Odegaard	Torkel Odegaard, a Swedish software engineer, created Grafana as a side project. He initially worked on it in his spare time before co-founding Grafana Labs (originally Raintank) in 2014. He remains the project lead and a key contributor.	grafana.com/about
grafana/t003	grafana	naming,etymology,graph	Name Origin Story	The name "Grafana" has been explained various ways — a blend of "graph" and the "-ana" suffix (evoking Kibana), or simply a name Torkel liked. It is frequently misspelled as "Graphana." The official pronunciation is "gruh-FAH-nuh."	Torkel Odegaard interviews
grafana/t004	grafana	headquarters,stockholm,global	Grafana Labs Headquarters	Grafana Labs was incorporated in New York but has strong roots in Stockholm, Sweden, where Torkel Odegaard is based. The company is fully remote-first with employees across 40+ countries and raised over $450 million in funding.	grafana.com/about
grafana/t005	grafana	loki,naming,norse	Loki Named After Norse God	Grafana Loki, the log aggregation system, is named after the Norse trickster god. The name fits because Loki is "like Prometheus, but for logs" — and in Norse mythology, Loki is Prometheus's counterpart as a fire-bringer. Loki was designed to be cost-effective by only indexing labels, not log content.	grafana.com/loki
grafana/t006	grafana	tempo,traces,simple	Tempo for Traces	Grafana Tempo is a minimal distributed tracing backend that only requires object storage. Unlike Jaeger or Zipkin, Tempo does not index traces — it relies on trace IDs from logs or metrics (via exemplars) to look up specific traces, dramatically reducing operational cost.	grafana.com/tempo
grafana/t007	grafana	dashboard-as-code,json,devops	Dashboard as Code	Grafana pioneered the "dashboard as code" movement by storing dashboards as JSON models that can be version-controlled in Git. The Grafonnet library (based on Jsonnet) and later Terraform providers let teams manage dashboards through CI/CD pipelines.	grafana.com/docs
grafana/t008	grafana	lgtm-stack,acronym,branding	LGTM Stack	Grafana Labs brands its observability suite as the "LGTM stack": Loki (logs), Grafana (visualization), Tempo (traces), and Mimir (metrics). The acronym playfully spells "LGTM" — engineer shorthand for "Looks Good To Me" in code reviews.	grafana.com
grafana/t009	grafana	mimir,cortex,fork	Mimir Forked From Cortex	Grafana Mimir, the long-term metrics storage system, was forked from the CNCF Cortex project in 2022. Named after Mimir, the Norse god of wisdom, it added horizontal scaling improvements and simplified operations. The fork was controversial in the open-source community.	grafana.com/mimir
grafana/t010	grafana	alloy,agent,collector	Grafana Alloy Collector	Grafana Alloy (formerly Grafana Agent) is an OpenTelemetry-compatible telemetry collector. It was renamed from "Grafana Agent" to "Alloy" in 2024, using a river-based configuration language. It can collect metrics, logs, traces, and profiles in a single binary.	grafana.com/alloy
