AKS pods cannot reach external services. What do you check?	1) Check if the AKS cluster uses kubenet or Azure CNI -- routing differs. 2) With kubenet, verify the UDR on the AKS subnet includes pod CIDR routes. 3) NSG on AKS subnet must allow outbound. 4) If using an egress firewall or Azure Firewall, check that required FQDNs are allowed. 5) Check CoreDNS pods for DNS resolution failures. 6) For private clusters, check that DNS resolution to the API server works.	azure-troubleshooting medium azure aks networking troubleshooting
AKS workload identity pods get 401 errors when accessing Azure resources. What do you check?	1) Verify the managed identity exists and has the correct RBAC role on the target resource. 2) Check the federated identity credential matches the service account namespace and name exactly. 3) Ensure the pod spec has the correct serviceAccountName. 4) Verify the azure-workload-identity webhook is running (kube-system). 5) Check the AZURE_CLIENT_ID, AZURE_TENANT_ID, and AZURE_FEDERATED_TOKEN_FILE environment variables are injected into the pod.	azure-troubleshooting hard azure aks identity troubleshooting
When should you use Azure Load Balancer vs Application Gateway?	Azure Load Balancer is Layer 4 (TCP/UDP) -- use for non-HTTP workloads, low latency, or internal load balancing. Application Gateway is Layer 7 (HTTP/HTTPS) -- use when you need path-based routing, SSL termination, WAF, session affinity, or URL rewriting. Common mistake: using ALB for HTTP workloads and missing out on L7 features, or using App Gateway for non-HTTP protocols where it will not work.	azure-troubleshooting easy azure load-balancer app-gateway networking
Application Gateway returns 502 Bad Gateway. What do you check?	1) Backend health -- check App Gateway backend health blade for specific errors. 2) Backend VMs/pods must be listening on the configured port. 3) NSG on the backend subnet must allow traffic from the App Gateway subnet. 4) If using HTTPS to backend, the backend certificate must be trusted or whitelisted. 5) Health probe timeout may be too short. 6) The backend response may exceed the request timeout setting.	azure-troubleshooting medium azure app-gateway troubleshooting
An application using a service principal suddenly gets AADSTS7000215 (invalid client secret). What happened?	The client secret expired. Azure AD/Entra ID secrets have configurable expiry (default max 2 years). Fix: create a new secret in App Registrations, update the application's configuration with the new secret value. Proactive fix: use managed identity where possible to avoid secret rotation issues.	azure-troubleshooting easy azure entra-id service-principal troubleshooting
A service principal can authenticate but gets 403 Forbidden accessing Azure resources. What do you check?	1) Verify the service principal has the correct RBAC role at the right scope (subscription, RG, or resource). 2) Check that you are using the correct tenant. 3) If multi-tenant app, verify the SP is provisioned in the target tenant. 4) Check Conditional Access policies that may block non-interactive logins. 5) If accessing data plane (e.g., Key Vault, Storage), RBAC vs. access policy may apply.	azure-troubleshooting medium azure entra-id service-principal troubleshooting
An application gets a 403 when reading a Key Vault secret. What do you check?	1) Determine if the vault uses Access Policies or Azure RBAC for the data plane. 2) For access policies: verify the principal has Get permission under Secrets. 3) For RBAC: verify the principal has Key Vault Secrets User role. 4) Check Key Vault firewall -- if enabled, the caller's IP or VNet must be allowed, or use a private endpoint. 5) Check if the secret is disabled or expired.	azure-troubleshooting medium azure key-vault troubleshooting
An application that was accessing a storage account fine suddenly gets connection timeouts. What changed?	Most likely the storage account firewall was enabled. Check: 1) Storage account > Networking -- if 'Enabled from selected virtual networks and IP addresses' is set, the caller must be in an allowed VNet/IP list. 2) Private endpoints may be required. 3) Check if 'Allow Azure services on the trusted services list' is enabled for Azure-to-Azure access.	azure-troubleshooting easy azure storage-account networking troubleshooting
A VM in one VNet cannot resolve records in an Azure Private DNS zone. What do you check?	1) The Private DNS zone must be linked to the VM's VNet (check Virtual Network Links). 2) Auto-registration link is only needed for automatic record creation, not resolution. 3) The VM must use Azure-provided DNS (168.63.129.16) or a custom DNS that forwards to it. 4) If using hub-spoke with custom DNS in the hub, ensure the forwarder is configured to reach Azure DNS.	azure-troubleshooting medium azure dns private-dns troubleshooting
After configuring a private endpoint for a storage account, some VMs can connect but others in a different VNet cannot. What do you investigate?	1) The private DNS zone (privatelink.blob.core.windows.net) must be linked to ALL VNets that need access. 2) VMs in unlinked VNets resolve the public IP and get blocked by the storage firewall. 3) Verify with nslookup <account>.blob.core.windows.net from failing VMs. 4) For hub-spoke, ensure DNS forwarding works from spoke to hub DNS. 5) If using custom DNS servers, they must have conditional forwarders for the privatelink zones to 168.63.129.16.	azure-troubleshooting hard azure storage-account private-endpoint dns troubleshooting
