What are the key differences between ext4 and XFS?	ext4 supports volumes up to 1 EB and files up to 16 TB; it is mature, well-tested, and supports online resize (grow only). XFS excels at large file sequential I/O and parallel writes, supports online defragmentation, and scales better on high-core-count systems. ext4 is generally better for small-file workloads; XFS is preferred for large data volumes and enterprise use (default in RHEL).	storage easy filesystem ext4 xfs
A disk shows 100% full but du reports less usage than df. What could explain the discrepancy?	"Deleted files still held open by running processes. The kernel does not free the disk blocks until the file descriptor is closed. Use ""lsof +L1"" to find processes holding deleted files. Restarting or signaling those processes releases the space. Another cause: reserved blocks (typically 5% on ext4) visible to df but not to du."	storage easy disk-full troubleshooting
An NFS mount hangs and makes the entire system unresponsive. How do you diagnose and fix this?	"NFS default is ""hard"" mount, meaning processes block indefinitely waiting for the server. Use ""mount -o soft,timeo=30,retrans=3"" for non-critical mounts so operations fail instead of hanging. For diagnosis: check NFS server availability, network path, firewall rules (ports 2049, 111), and ""nfsstat -c"" for RPC errors. Use ""umount -f"" or ""umount -l"" (lazy) to remove a stuck mount."	storage medium mount nfs troubleshooting
Explain the difference between storage latency and throughput and when each matters.	Latency is the time for a single I/O operation to complete (measured in ms or us). Throughput is the total data transferred per unit time (MB/s). Databases and OLTP workloads are latency-sensitive (many small random reads/writes). Streaming, video, and big-data analytics are throughput-sensitive (large sequential reads). Optimizing for one can hurt the other -- e.g., large block sizes improve throughput but can increase latency for small I/O.	storage medium latency throughput performance
What is the operational benefit of LVM and what is a common pitfall?	"LVM (Logical Volume Manager) provides flexible volume resizing, snapshots, and volume spanning across physical disks without downtime. Common pitfall: LVM snapshots degrade performance because every write to the original volume triggers a copy-on-write to the snapshot's COW area. A full snapshot COW area causes the snapshot to become invalid. Always monitor snapshot usage with ""lvs"" and remove snapshots promptly after use."	storage medium lvm snapshots management
What are the critical NFS export options and their security implications?	"no_root_squash allows remote root to act as root on the server -- dangerous, avoid unless required. ""root_squash"" (default) maps remote root to nobody. ""sync"" ensures writes are committed to disk before acknowledging (safe but slower). ""async"" acknowledges before disk commit (faster but risks data loss on server crash). ""no_all_squash"" preserves UID/GID mapping. Always restrict exports to specific subnets, not ""*""."	storage easy nfs exports configuration
What is the RAID write hole and how do modern systems mitigate it?	The RAID write hole occurs when a power failure interrupts a stripe write: data blocks are updated but parity is not (or vice versa). On restart, parity is inconsistent, and a subsequent disk failure causes silent data loss because parity-based reconstruction produces wrong data. Mitigations: battery-backed write cache (hardware RAID), ZFS (no traditional parity write hole due to COW), MD RAID with write-intent bitmap, or journal-based parity (btrfs plans, dm-integrity).	storage hard write-hole raid corruption
How does dm-multipath work and how do you troubleshoot path failures?	"dm-multipath aggregates multiple physical paths to a storage device into a single logical device, providing failover and optional load balancing. Use ""multipath -ll"" to list paths and their status (active, failed, ghost). Check ""multipathd show paths"" for individual path health. Common issues: path flapping (check cables, switch ports, HBA firmware), asymmetric access (ALUA) misconfiguration, and missing multipath.conf entries causing devices to not be claimed."	storage medium multipath redundancy troubleshooting
How do you use dmesg and kernel logs to diagnose disk hardware issues?	"Check ""dmesg -T | grep -i 'error\|fail\|reset\|ata'"" for disk errors. Key patterns: ""I/O error, dev sdX"" indicates read/write failures, ""ata bus reset"" suggests cable or controller issues, ""medium error"" means unreadable sectors, ""DRDY error"" points to drive firmware or hardware failure. Correlate timestamps with application errors. Repeated errors on the same device warrant immediate SMART check and proactive disk replacement."	storage medium disk-io debugging dmesg
What are the risks of thin provisioning and how do you monitor it safely?	Thin provisioning allocates storage on demand rather than upfront, allowing overcommitment. The risk: if actual usage exceeds physical capacity, I/O fails catastrophically -- applications get write errors, databases corrupt, VMs pause. Monitor the thin pool usage (lvs for LVM thin pools, storage array dashboards) and set alerts at 80% pool usage. Always maintain a reserve and have automated alerts. Thick provisioning is safer for critical workloads where write failures are unacceptable.	storage hard thin-provisioning overcommit failure
