---
tags:
- cloud
- l1
- flashcard-deck
- aws-general
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Cloud Deep Dive](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-general/016d4f331f44	aws-general	medium	aws, data-analytics	What would you use for adding image and video analysis to your application?	AWS Rekognition\n\nRemember: AWS services follow a naming pattern. Learn the core 20 services first: EC2, S3, RDS, Lambda, VPC, IAM, CloudWatch, CloudFormation, Route 53, ELB, ECS/EKS, DynamoDB, SNS, SQS, API Gateway.\n\nGotcha: AWS free tier has limits. Set up billing alerts immediately to avoid surprise charges. Even small misconfigurations (e.g., forgotten NAT Gateway) can cost money.	projects/knowledge/interview/aws/280-what-would-you-use-for-adding-image-and-video-anal.txt
aws-general/040268fb8b80	aws-general	medium	aws, regions	True or False? Each AWS region is designed to be completely isolated from the other AWS regions	True. AWS regions are geographically isolated and fully independent. Data is never automatically replicated across regions unless you explicitly configure it.\n\nRemember: the AWS Well-Architected Framework's 6 pillars (OSRCPS) should guide every architecture decision: Operational Excellence, Security, Reliability, Cost, Performance, Sustainability.	projects/knowledge/interview/aws/002-true-or-false-each-aws-region-is-designed-to-be-co.txt
aws-general/06420842b868	aws-general	medium	aws, messaging	"Which service is often referred to as ""used for decoupling applications""?"	AWS SQS. Since it's a messaging queue so it allows applications to switch from synchronous communication to asynchronous one.\n\nRemember: the AWS Well-Architected Framework's 6 pillars (OSRCPS) should guide every architecture decision: Operational Excellence, Security, Reliability, Cost, Performance, Sustainability.	projects/knowledge/interview/aws/292-which-service-is-often-referred-to-as-used-for-dec.txt
aws-general/0c2eaaa16437	aws-general	hard	aws, billing, tagging	How do you estimate AWS costs?	* TCO calculator\n* AWS simple calculator\n* Cost Explorer\n* AWS Budgets\n* Cost Allocation Tags\n\nRemember: AWS cost management: Cost Explorer (visualize), Budgets (alerts), Trusted Advisor (optimization), Savings Plans (commit for discounts), Reserved Instances (specific instance savings).	projects/knowledge/interview/aws/348-how-do-you-estimate-aws-costs.txt
aws-general/0fae2a645266	aws-general	medium	aws, messaging	Explain the following in regards to SNS:	* Topics - used for grouping multiple endpoints\n  * Subscribers - the endpoints where topics send messages to\n  * Publishers - the provider of the message (event, person, ...)\n\nRemember: the AWS Well-Architected Framework's 6 pillars (OSRCPS) should guide every architecture decision: Operational Excellence, Security, Reliability, Cost, Performance, Sustainability.	projects/knowledge/interview/aws/341-explain-the-following-in-regards-to-sns-topics-sub.txt
aws-general/11e8f7b2ceb4	aws-general	medium	aws, availability-zones, regions, tagging	Explain Availability zones.	Availability zones are like different neighborhoods within a city. Each zone is in a separate area, making it less likely for a single event, like a power outage or a storm, to affect all the zones. So, if something happens in one zone, your services in other zones remain unaffected.\nIn context with cloud environment, these are distinct locations within a region, designed to be isolated from failures in other zones. They provide high availability and redundancy.\n\nRemember: AZs are physically separate data centers with independent power, cooling, and networking. Connected via low-latency links within a region.\n\nGotcha: AZ names are randomized per account — us-east-1a in your account might be a different physical AZ than in another account. Use AZ IDs for consistency.	projects/knowledge/interview/aws/402-explain-availability-zones.txt
aws-general/120da0c3365f	aws-general	medium	aws, messaging	"What it means ""best effort ordering"" in regards to SQS?"	It means messages in the queue can be out of order.\n\nRemember: the AWS Well-Architected Framework's 6 pillars (OSRCPS) should guide every architecture decision: Operational Excellence, Security, Reliability, Cost, Performance, Sustainability.	projects/knowledge/interview/aws/336-what-it-means-best-effort-ordering-in-regards-to-s.txt
aws-general/24e5ab936526	aws-general	easy	aws, availability-zones, billing	What is Amazon Connect?	"Amazon definition: ""Amazon Connect is an easy to use omnichannel cloud contact center that helps companies provide superior customer service at a lower cost.""\n\nLearn more [here](https://aws.amazon.com/connect)\n\nRemember: the AWS Well-Architected Framework's 6 pillars (OSRCPS) should guide every architecture decision: Operational Excellence, Security, Reliability, Cost, Performance, Sustainability."	projects/knowledge/interview/aws/350-what-is-amazon-connect.txt
aws-general/29d867b09e93	aws-general	easy	aws, availability-zones, billing, support	What is the Trusted Advisor?	"Amazon definition: ""AWS Trusted Advisor provides recommendations that help you follow AWS best practices. Trusted Advisor evaluates your account by using checks. These checks identify ways to optimize your AWS infrastructure, improve security and performance, reduce costs, and monitor service quotas.""\n\nLearn more [here](https://aws.amazon.com/premiumsupport/technology/trusted-advisor/)\n\nGotcha: AWS service limits (now called 'quotas') can silently block deployments. Check Service Quotas dashboard and request increases proactively before launch."	projects/knowledge/interview/aws/374-what-is-the-trusted-advisor.txt
aws-general/2edbf3038602	aws-general	easy	aws, availability-zones, data-analytics	What is AWS EMR (Elastic MapReduce) and when would you use it?	"AWS definition: ""big data platform for processing vast amounts of data using open source tools such as Apache Spark, Apache Hive, Apache HBase, Apache Flink, Apache Hudi, and Presto.""\n\nLearn more [here](https://aws.amazon.com/emr)\n\nGotcha: AWS service limits (now called 'quotas') can silently block deployments. Check Service Quotas dashboard and request increases proactively before launch."	projects/knowledge/interview/aws/372-what-is-aws-emr.txt
