id	category	tags	topic_text	trivia_fact	source
find-command/t001	find-command	find,unix,history	Find Is Older Than Linux	The find command dates back to Unix Version 5 (1974) — nearly two decades before Linux. It was written by Dick Haight at Bell Labs. The basic syntax has barely changed in 50 years, making it one of the most stable CLI interfaces in computing history.	unix-history
find-command/t002	find-command	find,exec,xargs	The Semicolon vs Plus Trick	find -exec command {} \; runs the command once per file (slow). find -exec command {} + batches files into fewer invocations (much faster). The + terminator was added in POSIX 2004 after years of people piping find to xargs for the same optimization.	posix-2004-spec
find-command/t003	find-command	find,fd,modern	fd: The Modern Find	fd (fd-find) is a Rust-based alternative to find that is 5-10x faster for common cases because it uses parallel directory traversal, respects .gitignore by default, and has saner defaults (regex by default, colorized output). It does not aim to replace find for complex queries.	github.com/sharkdp/fd
find-command/t004	find-command	find,prune,optimization	-prune Is Find's Secret Weapon	The -prune action prevents find from descending into a directory. find / -name node_modules -prune -o -name '*.js' -print skips all node_modules trees entirely. Without -prune, find would traverse every node_modules directory, which can contain hundreds of thousands of files.	gnu-find-manual
find-command/t005	find-command	find,inode,delete	Find Can Delete by Inode	When a filename contains special characters that confuse the shell, find -inum <number> -delete can remove it by inode number instead of name. This is a classic sysadmin trick for deleting files with names containing newlines, dashes, or unicode characters.	sysadmin-folklore
find-command/t006	find-command	find,maxdepth,performance	-maxdepth Saves Hours	find / -maxdepth 3 -name '*.conf' limits search depth, turning a minutes-long traversal into a seconds-long one. Always set -maxdepth when you know the approximate location. It is one of the most underused find optimizations.	gnu-find-manual
find-command/t007	find-command	find,mtime,forensics	Time-Based Find for Incident Response	find / -mtime -1 -type f finds all files modified in the last 24 hours — essential during security incidents to identify recently changed files. -mmin gives minute granularity. -newer compares against a reference file's timestamp.	incident-response-playbooks
find-command/t008	find-command	find,type,special	Find's Type Alphabet	find -type accepts: f (regular file), d (directory), l (symlink), b (block device), c (character device), p (named pipe), s (socket). Most people only use f and d, but knowing the others helps when debugging device files or IPC mechanisms.	posix-find-spec
find-command/t009	find-command	find,printf,formatting	Find's Built-In Formatter	find -printf can output any combination of file attributes: %p (path), %s (size), %u (owner), %T@ (epoch mtime), %m (permission bits). This eliminates the need to pipe to stat or ls in many cases. It is a GNU extension not available on BSD/macOS find.	gnu-find-manual
find-command/t010	find-command	find,empty,cleanup	Find Empty Files and Dirs	find . -empty -type f -delete removes all empty (zero-byte) files. find . -empty -type d -delete removes empty directories. Useful for cleaning up after build failures, log rotation, or package uninstalls that leave empty directory trees.	gnu-find-manual
