id	category	tags	topic_text	trivia_fact	source
linux-networking/t001	linux-networking	ifconfig,ip,deprecation	ifconfig vs ip Command	ifconfig dates back to 4.2BSD (1983) and was the standard for decades. The `ip` command (from iproute2, 1999) was written by Alexey Kuznetsov to expose Linux's more advanced networking stack (netlink). ifconfig was deprecated because it can't handle modern features like multiple IPs per interface, policy routing, or network namespaces.	iproute2-docs
linux-networking/t002	linux-networking	loopback,127,history	Why Loopback Is 127.0.0.1	The loopback address 127.0.0.1 was assigned in RFC 990 (1986). The entire 127.0.0.0/8 block (over 16 million addresses) is reserved for loopback — you can ping 127.255.255.254 and it works. This massive allocation was made when IPv4 addresses seemed unlimited. No one expected we'd run out.	rfc-990
linux-networking/t003	linux-networking	loopback,range,waste	Entire 127.0.0.0/8 Is Loopback	The 127.0.0.0/8 range wastes over 16 million IPv4 addresses for loopback — a single address would suffice. Similarly, 0.0.0.0/8, 10.0.0.0/8, and 224-255.0.0.0 are all reserved. These early allocations are a major reason IPv4 address space ran out. IPv6 uses just ::1 for loopback.	rfc-1122
linux-networking/t004	linux-networking	netstat,ss,replacement	netstat vs ss	netstat (from net-tools, 1990s) reads /proc/net/* files parsed from kernel data structures — slow on systems with thousands of connections. ss (socket statistics, from iproute2) uses netlink sockets to query the kernel directly, making it orders of magnitude faster. netstat is deprecated but stubbornly persists in tutorials.	iproute2-docs
linux-networking/t005	linux-networking	tcpdump,naming,misnomer	tcpdump Despite Not Being TCP-Only	tcpdump was named in 1988 when TCP was the primary protocol of interest. It actually captures all network traffic (UDP, ICMP, ARP, etc.) — the name is a historical artifact. The underlying library, libpcap (packet capture), has the more accurate name. Wireshark's CLI tool `tshark` also uses libpcap.	tcpdump-docs
linux-networking/t006	linux-networking	ethtool,nic,diagnostics	ethtool History	ethtool was written by David Miller (a prolific Linux networking developer) to replace the poorly standardized MII tool. It can query and change NIC settings that no other tool can: ring buffer sizes, hardware offload features, driver info, and even firmware dumps. Some features require NIC driver support.	kernel-docs
linux-networking/t007	linux-networking	iptables,nftables,evolution	iptables to nftables	iptables (1998) replaced ipchains, which replaced ipfwadm, which replaced the original IP firewall code. nftables (2014) replaced iptables with a cleaner architecture: a single framework for IPv4, IPv6, ARP, and bridging (iptables needed separate tools for each). Despite this, iptables remains more widely used.	netfilter.org
linux-networking/t008	linux-networking	network-namespaces,containers,isolation	Network Namespace Origin	Network namespaces (Linux 2.6.24, 2008) give each namespace its own network stack — interfaces, routing tables, iptables rules, even its own loopback. This is the foundation of container networking: each Docker container gets its own network namespace connected to the host via virtual ethernet (veth) pairs.	kernel-docs
linux-networking/t009	linux-networking	mtu,1500,ethernet	Why MTU Is 1500	Ethernet's default MTU of 1500 bytes was chosen in the early 1980s as a compromise between throughput (bigger is better) and error recovery (smaller means less data lost per corrupted frame). The number 1500 has no mathematical significance — it was an engineering trade-off that became an unshakeable standard.	ieee-802.3
linux-networking/t010	linux-networking	dns,resolv-conf,history	/etc/resolv.conf Design	/etc/resolv.conf has used the same simple format since 4.3BSD (1986): nameserver lines with IP addresses. It supports at most 3 nameservers and has no built-in failover intelligence. Modern systems (systemd-resolved, NetworkManager) often replace it with a stub pointing to 127.0.0.53.	bsd-history
linux-networking/t011	linux-networking	tcp-syn,handshake,design	Three-Way Handshake Design	TCP's three-way handshake (SYN, SYN-ACK, ACK) was designed by Vint Cerf and Bob Kahn in 1974. Three messages is the theoretical minimum needed to establish reliable bidirectional communication and synchronize sequence numbers. SYN flood attacks exploit this by sending SYNs without completing the handshake.	rfc-793
linux-networking/t012	linux-networking	bonding,teaming,redundancy	NIC Bonding Origin	Linux NIC bonding (combining multiple NICs into one logical interface) was inspired by Cisco's EtherChannel. The bonding driver supports 7 modes including active-backup, round-robin, and 802.3ad (LACP). Mode 4 (LACP) requires switch support, which trips up many first-time users who expect it to "just work."	kernel-docs
