---
tags:
- containers
- l1
- flashcard-deck
- docker-ops
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Docker / Containers](../../../../library/portal/topics.md) | **Domain:** containers
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
docker-ops/056ea44dc660	docker-ops	medium	docker-ops, architecture, distribution	How multi-architecture images work? Explain by describing what happens when an image is pulled	1. A client makes a call to the registry to use a specific image (using an image name and optionally a tag)\n2. A manifest list is parsed (assuming it exists) to check if the architecture of the client is supported and available as a manifest\n3. If it is supported (a manifest for the architecture is available) the relevant manifest is parsed to obtain the IDs of the layers\n4. Each layer is then pulled using the obtained IDs from the previous step	projects/knowledge/interview/docker/040-how-multi-architecture-images-work-explain-by-desc.txt
docker-ops/05f3c3af9fd9	docker-ops	easy	docker-ops, registry	A registry contains one or more ____ which in turn contain one or more ____	A registry contains one or more repositories which in turn contain one or more images.\n\nAnalogy: registry = library, repository = bookshelf (one per project), image = specific edition of a book (tagged by version).\n\nExample: Docker Hub (registry) > library/nginx (repository) > nginx:1.25, nginx:1.24, nginx:alpine (images/tags).\n\nRemember: a repository groups all versions of one image. A registry hosts many repositories.	projects/knowledge/interview/docker/055-a-registry-contains-one-or-more-which-in-turn-cont.txt
docker-ops/0f173e7a339d	docker-ops	medium	docker-ops, tagging	How do you tag and version Docker images?	Tagging and versioning Docker images help identify and manage different versions of an image. The basic syntax for tagging is repository:tag. Here's how you can tag and version a Docker image:\n```\n# Tagging an image with a specific version\ndocker tag image_name:latest image_name:1.0\n# Pushing the tagged image to a registry (optional)\ndocker push image_name:1.0\n```\n`image_name` is the name of your Docker image. \n`latest` is the default tag, but it's a good practice to use version tags like 1.0.	projects/knowledge/interview/docker/145-how-do-you-tag-and-version-docker-images.txt
docker-ops/10a0b8ae08ff	docker-ops	medium	docker-ops, operations, troubleshooting	Describe in detail what happens when you run `podman/docker run hello-world`?	Docker/Podman CLI passes your request to Docker daemon.\nDocker/Podman daemon downloads the image from Docker Hub\nDocker/Podman daemon creates a new container by using the image it downloaded\nDocker/Podman daemon redirects output from container to Docker CLI which redirects it to the standard output	projects/knowledge/interview/docker/087-describe-in-detail-what-happens-when-you-run-podma.txt
docker-ops/16c0fd485472	docker-ops	medium	docker-ops, operations, troubleshooting	How to configure registries with the containers engine you are using?	For podman, registries can be configured in `/etc/containers/registries.conf` this way:\n\n```\n[registries.search]\nregistries = ["quay.io"]\n```\n\nFor Docker, registries are configured in /etc/docker/daemon.json or ~/.docker/config.json.\n\nGotcha: Docker defaults to docker.io. Podman defaults to searching multiple registries. Misconfigured search order can pull the wrong image from the wrong registry.\n\nExample: docker login ghcr.io stores credentials in ~/.docker/config.json for GitHub Container Registry.	projects/knowledge/interview/docker/057-how-to-configure-registries-with-the-containers-en.txt
docker-ops/1a5bbd162848	docker-ops	easy	docker-ops, architecture	How to check which architectures a certain container image supports?	`docker manifest inspect <name>`\n\nExample: docker manifest inspect nginx:latest shows a manifest list with entries for linux/amd64, linux/arm64, linux/arm/v7, etc.\n\nUnder the hood: multi-arch images use a manifest list (also called an OCI image index) that maps each platform to a platform-specific image manifest.\n\nRemember: crane (from go-containerregistry) is a faster alternative: crane manifest nginx:latest | jq '.manifests[].platform'	projects/knowledge/interview/docker/041-how-to-check-which-architectures-a-certain-contain.txt
docker-ops/1e7a24ee61b1	docker-ops	medium	docker-ops, operations, troubleshooting	You and your team work on the same project, but different versions of it. For each version, the team creates a new, separate image. What would you suggest the team to change in such case?	Use tags. You can distinguish between different releases of a project using image tags. There is no need to create an entire separate image for version/release of a project.	projects/knowledge/interview/docker/128-you-and-your-team-work-on-the-same-project-but-dif.txt
docker-ops/20e65b899ed7	docker-ops	hard	docker-ops, layer-caching	What is the role of cache in image builds?	When you build an image for the first time, the different layers are being cached. So, while the first build of the image might take time, any other build of the same image (given that Containerfile/Dockerfile didn't change or the content used by the instructions) will be instant thanks to the caching mechanism used.\n\nIn little bit more details, it works this way:\n1. The first instruction (FROM) will check if base image already exists on the host before pulling it \n2.	projects/knowledge/interview/docker/045-what-is-the-role-of-cache-in-image-builds.txt
docker-ops/21a02c3fbe5f	docker-ops	medium	docker-ops, image-verification	What is the digest of an image? What problem does it solves?	Tags are mutable. This is mean that we can have two different images with the same name and the same tag. It can be very confusing to see two images with the same name and the same tag in your environment. How would you know if they are truly the same or are they different? \n\nThis is where "digests` come handy. A digest is a content-addressable identifier. It isn't mutable as tags. Its value is predictable and this is how you can tell if two images are the same content wise and not merely by looking at the name and the tag of the images.	projects/knowledge/interview/docker/037-what-is-the-digest-of-an-image-what-problem-does-i.txt
docker-ops/24977fc078cc	docker-ops	medium	docker-ops, image-verification	What is a distribution hash in regards to layers?	- Layers are compressed when pushed or pulled\n  - distribution hash is the hash of the compressed layer\n  - the distribution hash used when pulling or pushing images for verification (making sure no one tempered with image or layers)\n  - It's also used for avoiding ID collisions (a case where two images have exactly the same generated ID)	projects/knowledge/interview/docker/039-what-is-a-distribution-hash-in-regards-to-layers.txt
