id	category	tags	topic_text	trivia_fact	source
nginx/t001	nginx	igor-sysoev,c10k,origin	NGINX and C10K	NGINX was written by Igor Sysoev starting in 2002 to solve the C10K problem — the challenge of handling 10,000+ concurrent connections on a single server. Apache's process-per-connection model couldn't scale, so Sysoev designed an event-driven, asynchronous architecture.	nginx.org
nginx/t002	nginx	pronunciation,engine-x	Pronunciation	NGINX is pronounced "engine-X," not "N-G-I-N-X." The name is sometimes written as "engine x" and the official stylization is all-caps NGINX. Many developers mispronounce it for years before learning the correct pronunciation.	nginx.org
nginx/t003	nginx	rambler,russian,search	Rambler Origin	NGINX was originally developed for Rambler, one of Russia's largest internet portals and search engines. Sysoev built it to handle Rambler's growing traffic. It was open-sourced in 2004, and by 2008 it was powering some of the world's busiest websites.	nginx.org
nginx/t004	nginx	event-driven,vs-apache,architecture	Event-Driven Architecture	NGINX's event-driven, non-blocking architecture was revolutionary compared to Apache's process-per-connection model. A single NGINX worker process can handle thousands of concurrent connections using epoll (Linux) or kqueue (BSD), using a fraction of the memory Apache required.	nginx.org
nginx/t005	nginx	f5,acquisition,670m	F5 Acquisition	F5 Networks acquired NGINX Inc. in March 2019 for $670 million. This was one of the largest acquisitions of an open-source company at the time. The acquisition gave F5 a modern software-based counterpart to its traditional hardware load balancers.	f5.com
nginx/t006	nginx	config-syntax,simplicity	Config Syntax	NGINX's configuration syntax was designed to be simpler than Apache's httpd.conf. It uses a C-like block structure with directives and contexts (http, server, location). The hierarchical design allows configuration inheritance, reducing repetition compared to Apache's per-directory model.	nginx.org
nginx/t007	nginx	reverse-proxy,adoption,shift	Reverse Proxy Adoption	Although NGINX was created as a web server, it became most widely adopted as a reverse proxy and load balancer. By the mid-2010s, a common architecture pattern was NGINX in front of application servers (Node.js, Python, Ruby), handling SSL termination, caching, and load balancing.	nginx.org
nginx/t008	nginx	market-share,overtake,apache	Overtaking Apache	NGINX overtook Apache as the most-used web server for the top million busiest websites around 2019. Apache had dominated since 1996, making NGINX's rise one of the most significant shifts in web infrastructure history.	w3techs.com
nginx/t009	nginx	igor-arrest,controversy,2019	Creator Controversy	In December 2019, Russian police raided NGINX's Moscow office and briefly detained Igor Sysoev. His former employer Rambler claimed ownership of NGINX's code, alleging it was developed on company time. The case was eventually dropped, but it highlighted open-source IP risks.	bbc-news
nginx/t010	nginx	openresty,lua,extension	OpenResty Extension	OpenResty, created by Yichun Zhang, embeds a LuaJIT interpreter into NGINX, allowing developers to write high-performance web applications directly inside NGINX. This turned NGINX from a web server into a full application platform, used at scale by Cloudflare and Kong.	openresty.org
