id	category	tags	topic_text	trivia_fact	source
ansible-core/t001	ansible-core	ansible,naming,scifi	Ansible Name Origin	"Ansible" is a fictional faster-than-light communication device invented by Ursula K. Le Guin in her 1966 novel "Rocannon's World." The name was chosen because Ansible the tool enables instant communication with remote servers — no agent installation needed.	le-guin
ansible-playbooks/t002	ansible-playbooks	michael-dehaan,creator,origin	Creator	Michael DeHaan created Ansible in 2012 after working on Cobbler (a provisioning tool) and Func (a remote execution framework) at Red Hat. He wanted a tool that was radically simple compared to Puppet and Chef, with zero server infrastructure required.	ansible.com
ansible-ops/t003	ansible-ops	agentless,ssh,design	Agentless Design	Ansible's agentless architecture was a deliberate design choice — it uses SSH (or WinRM for Windows) instead of requiring agents on managed nodes. This means you can start automating immediately without installing anything on target machines, reducing the attack surface.	ansible-docs
ansible-core/t004	ansible-core	yaml,playbooks,readability	YAML Playbooks	Ansible chose YAML for playbooks because DeHaan wanted non-programmers to be able to read and write automation. The goal was that a playbook should read almost like English documentation of what the system should look like.	ansible-docs
ansible-playbooks/t005	ansible-playbooks	redhat,acquisition,2015	Red Hat Acquisition	Red Hat acquired Ansible Inc. in October 2015 for approximately $150 million. This gave Red Hat a modern automation platform to complement its Linux and middleware portfolio. Ansible Tower became Red Hat Ansible Automation Platform.	redhat.com
ansible-core/t006	ansible-core	collections,packaging,2020	Collections Split	In 2020, Ansible split into ansible-core (the engine, ~70 built-in modules) and collections (everything else). The "ansible" PyPI package went from shipping 3,400+ modules to being a meta-package that installs ansible-core plus a curated set of collections. This was the most disruptive change in Ansible's history, breaking thousands of playbooks that used short module names.	ansible-docs
ansible-ops/t007	ansible-ops	mitogen,performance,speed	Mitogen Strategy Plugin	The Mitogen strategy plugin can make Ansible 3-7x faster by replacing the default SSH-and-temp-file execution model with a persistent Python interpreter on the target. Instead of uploading a script per task, it streams Python bytecode over the existing connection. Netflix and several large Ansible users adopted it for fleet-scale automation.	mitogen.networkgenomics.com
ansible-core/t008	ansible-core	jinja2,templating,footgun	Jinja2 Footgun	Ansible's Jinja2 templating silently converts the string "true" to a Python boolean True and "null" to None. This has caused countless production incidents where config files get "True" instead of "true" (breaking JSON and YAML parsers downstream). The fix is the | string filter or | to_json for values that must remain strings.	github-issues
ansible-playbooks/t009	ansible-playbooks	awx,tower,history	AWX vs Tower	AWX (open-sourced 2017) is the upstream of Ansible Tower, now called Ansible Automation Platform (AAP). The naming has confused users for years: AWX is free, Tower was the commercial version, and AAP is the rebranded commercial product that now includes automation hub, EEs, and mesh networking. Red Hat runs AWX releases roughly monthly while AAP follows RHEL-style support cycles.	redhat.com
ansible-core/t010	ansible-core	execution-environments,containers	Execution Environments	Ansible Execution Environments (EEs), introduced with AAP 2.0, package ansible-core, collections, Python deps, and system libraries into a container image. This solved the "dependency hell" problem where different collections needed conflicting Python library versions. ansible-navigator runs playbooks inside EEs, replacing the bare-metal ansible-playbook command for production use.	ansible-docs
ansible-ops/t011	ansible-ops	facts,ohai,facter	Fact Gathering Ancestry	Ansible's fact gathering system (setup module) was inspired by Chef's Ohai and Puppet's Facter. However, Ansible made facts a first-class part of the execution model — they run automatically at play start and populate the hostvars namespace. The setup module collects 200+ facts per host, from CPU architecture to mounted filesystems, and is the most-executed module in the Ansible ecosystem.	ansible-internals
