id	category	tags	topic_text	trivia_fact	source
monitoring/t001	monitoring	nagios,naming,history	Nagios Was NetSaint	Nagios was originally called "NetSaint" when Ethan Galstad created it in 1999. He was forced to rename it in 2002 due to trademark issues with a company that owned "Saint." "Nagios" is a recursive acronym for "Nagios Ain't Gonna Insist On Sainthood."	nagios.org
monitoring/t002	monitoring	prometheus,naming,mythology	Prometheus Name Origin	Prometheus is named after the Greek Titan who stole fire from the gods and gave it to humanity. The metaphor: monitoring gives teams visibility (fire/light) into their systems that would otherwise be hidden.	prometheus.io
monitoring/t003	monitoring	prometheus,soundcloud,history	Prometheus Born at SoundCloud	Prometheus was created at SoundCloud in 2012 by ex-Google engineers Matt T. Proud and Julius Volz. They were inspired by Google's internal monitoring system Borgmon, which monitored the Borg cluster manager.	soundcloud.com/blog
monitoring/t004	monitoring	grafana,naming,etymology	Grafana Name Origin	Grafana's name is often said to be a portmanteau of "graph" and "Kibana," but creator Torkel Odegaard has said he simply liked how it sounded. The word evokes "graphing" and the suffix gives it a tool-like feel.	grafana.com/about
monitoring/t005	monitoring	golden-signals,sre,google	Four Golden Signals	Google's SRE book defines four golden signals for monitoring any system: latency, traffic, errors, and saturation. These four metrics are considered the minimum viable set for understanding service health.	Google SRE Book (2016)
monitoring/t006	monitoring	use-method,brendan-gregg,methodology	USE Method	Brendan Gregg created the USE method (Utilization, Saturation, Errors) for analyzing system performance. It focuses on hardware resources rather than application metrics, making it complementary to RED.	brendangregg.com
monitoring/t007	monitoring	red-method,microservices,methodology	RED Method	Tom Wilkie created the RED method (Rate, Errors, Duration) at Weaveworks for monitoring request-driven microservices. It maps directly to the end-user experience and pairs naturally with Prometheus.	grafana.com/blog
monitoring/t008	monitoring	zabbix,naming,history	Zabbix Name Is Meaningless	Zabbix founder Alexei Vladishev chose the name simply because he liked how it sounded. It has no acronym, no meaning, and no hidden etymology — he just wanted a unique, memorable name that started with a letter near the end of the alphabet.	zabbix.com
monitoring/t009	monitoring	percentiles,statistics,averages	Percentiles vs Averages	Averages are misleading for latency: if 99 requests take 1ms and one takes 10 seconds, the average is ~101ms — masking the outlier. The p99 (10s) reveals the pain that real users feel. Gil Tene's "How NOT to Measure Latency" popularized this insight.	Gil Tene (Azul Systems)
monitoring/t010	monitoring	snmp,networking,history	SNMP Is From 1988	Simple Network Management Protocol (SNMP) was published as RFC 1067 in 1988, making it older than HTTP, Linux, and most engineers working with it today. SNMPv3 (1998) finally added encryption, a decade later.	RFC 1067 (1988)
monitoring/t011	monitoring	nagios,plugins,ecosystem	Nagios Plugin Ecosystem	Nagios popularized the concept of check plugins with a simple contract: exit code 0=OK, 1=WARNING, 2=CRITICAL, 3=UNKNOWN. This convention became an informal standard adopted by Sensu, Icinga, and dozens of other tools.	nagios-plugins.org
monitoring/t012	monitoring	icinga,fork,nagios	Icinga Forked From Nagios	Icinga was created in 2009 as a fork of Nagios by frustrated community contributors who felt the project was too closed. The name "Icinga" comes from a Zulu word meaning "it searches" or "it examines."	icinga.com
monitoring/t013	monitoring	datadog,naming,history	Datadog Name Origin	Datadog was founded in 2010 by Olivier Pomel and Alexis Le-Quoc. The name comes from a "DataDog" — a watchdog for your data. The company went public in 2019 with a market cap over $10 billion.	datadoghq.com
monitoring/t014	monitoring	pagerduty,founding,oncall	PagerDuty and the Pager	PagerDuty was founded in 2009 when actual pagers were already nearly extinct. The name deliberately evoked the old-school on-call experience. Co-founder Alex Solomon built the first version to replace a manual phone-tree escalation process.	pagerduty.com
monitoring/t015	monitoring	uptime,nines,availability	The Nines of Availability	"Five nines" (99.999%) availability means only 5.26 minutes of downtime per year. Each additional nine is exponentially harder to achieve. The concept was popularized by telecom companies in the 1990s, where Bell System targets predated modern SLOs.	telecom-history
monitoring/t016	monitoring	heartbeat,metaphor,health	Heartbeat Checks Named After Biology	The term "heartbeat" for health checks comes from the biological metaphor — a regular pulse that stops when the system is dead. Early cluster software like Heartbeat (Linux-HA, 1998) used the name literally.	linux-ha.org
monitoring/t017	monitoring	mttr,mttf,reliability	MTTR vs MTTF	Mean Time to Recovery (MTTR) and Mean Time to Failure (MTTF) come from reliability engineering in manufacturing, predating software by decades. Modern SRE teams focus more on MTTR because improving recovery speed is often easier than preventing all failures.	IEEE Reliability Standards
monitoring/t018	monitoring	black-box,white-box,testing	Black-Box vs White-Box Monitoring	Google's SRE book distinguishes black-box monitoring (testing externally visible behavior) from white-box monitoring (using internal metrics). The terms were borrowed from software testing, where they date back to the 1960s.	Google SRE Book (2016)
monitoring/t019	monitoring	cardinality,metrics,explosion	The Cardinality Problem	Metric cardinality measures the number of unique time series. Adding a label with 1,000 values to a metric with 100 existing series creates 100,000 series. This exponential growth is the most common cause of monitoring system crashes.	prometheus.io/docs
monitoring/t020	monitoring	synthetic,monitoring,canary	Synthetic Monitoring Origins	Synthetic monitoring (running fake transactions to test a system) was pioneered by Keynote Systems in 1995. The term "canary" for early-warning tests comes from coal miners who used canary birds to detect toxic gases.	keynote-history
