---
tags:
- k8s
- l1
- flashcard-deck
- k8s-storage
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Storage](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-storage/a1b2c3d4e5f6	k8s-storage	easy	k8s, storage, pv, pvc	What is the relationship between a PersistentVolume (PV) and a PersistentVolumeClaim (PVC)?	A PV is a cluster-level storage resource. A PVC is a namespace-scoped request for storage. Pods reference PVCs, and Kubernetes binds PVCs to matching PVs based on access mode, storage class, and capacity. The binding is exclusive.\n\nRemember: Storage abstraction: StorageClass→PV→PVC→Pod mount. Dynamic provisioning automates PV.	training/library/topics/k8s-storage/primer.md
k8s-storage/b2c3d4e5f6a7	k8s-storage	easy	k8s, storage, access-modes	What are the three classic PersistentVolume access modes and what does each allow?	ReadWriteOnce (RWO): mounted read-write by a single node. ReadOnlyMany (ROX): mounted read-only by many nodes. ReadWriteMany (RWX): mounted read-write by many nodes. RWO is the most common since block storage is single-attach.\n\nRemember: RWO=ReadWriteOnce, ROX=ReadOnlyMany, RWX=ReadWriteMany. O=One, X=Many.	training/library/topics/k8s-storage/primer.md
k8s-storage/c3d4e5f6a7b8	k8s-storage	easy	k8s, storage, storageclass	What is the purpose of a StorageClass in Kubernetes?	A StorageClass defines how storage is provisioned. It names a provisioner (CSI driver), sets provider-specific parameters (disk type, IOPS), configures the reclaim policy, and controls volume binding mode. It enables dynamic provisioning so admins do not need to pre-create PVs.\n\nRemember: StorageClass = PV factory. Dynamic provisioning — no pre-created PVs needed.\n\nExample: `kubectl get sc`. Default SC handles PVCs that omit storageClassName.	training/library/topics/k8s-storage/primer.md
k8s-storage/d4e5f6a7b8c9	k8s-storage	easy	k8s, storage, reclaim-policy	What are the PersistentVolume reclaim policies and when should you use each?	Retain: PV persists after PVC deletion, admin must manually reclaim (use for databases). Delete: PV and underlying storage are deleted when PVC is deleted (use for ephemeral workloads). Recycle is deprecated and should not be used.\n\nRemember: Retain(manual), Delete(auto), Recycle(deprecated). Dynamic default=Delete.\n\nGotcha: Retain→PV becomes Released, not Available. Manual intervention needed.	training/library/topics/k8s-storage/primer.md
k8s-storage/e5f6a7b8c9d0	k8s-storage	medium	k8s, storage, dynamic-provisioning	Explain the dynamic provisioning flow when a pod requests storage via a PVC.	1) Pod references a PVC. 2) PVC references a StorageClass. 3) Kubernetes calls the CSI driver named in the StorageClass. 4) The driver creates the underlying volume. 5) A PV is automatically created and bound to the PVC. 6) The volume is mounted into the pod. WaitForFirstConsumer delays this until a pod is scheduled, ensuring zone alignment.\n\nRemember: Storage abstraction: StorageClass→PV→PVC→Pod mount. Dynamic provisioning automates PV.	training/library/topics/k8s-storage/primer.md
k8s-storage/f6a7b8c9d0e1	k8s-storage	medium	k8s, storage, volumeBindingMode	What is the difference between Immediate and WaitForFirstConsumer volume binding modes?	Immediate provisions the volume as soon as the PVC is created. WaitForFirstConsumer delays provisioning until a pod using the PVC is scheduled to a node. WaitForFirstConsumer is critical on cloud providers to ensure the volume is created in the same availability zone as the node.\n\nRemember: Storage abstraction: StorageClass→PV→PVC→Pod mount. Dynamic provisioning automates PV.	training/library/topics/k8s-storage/primer.md
k8s-storage/07a8b9c0d1e2	k8s-storage	medium	k8s, storage, statefulset	How does StatefulSet storage work with volumeClaimTemplates?	StatefulSets use volumeClaimTemplates to create one PVC per replica, named <template>-<statefulset>-<ordinal>. When a pod is rescheduled, it reattaches to its existing PVC. Scaling down does NOT delete PVCs. Deleting the StatefulSet does NOT delete PVCs. PVCs must be manually deleted to reclaim storage.\n\nRemember: Storage abstraction: StorageClass→PV→PVC→Pod mount. Dynamic provisioning automates PV.	training/library/topics/k8s-storage/primer.md
k8s-storage/18b9c0d1e2f3	k8s-storage	medium	k8s, storage, snapshots	How do you create and restore a VolumeSnapshot in Kubernetes?	Create a VolumeSnapshot referencing a PVC and a VolumeSnapshotClass. To restore, create a new PVC with a dataSource block pointing to the snapshot (kind: VolumeSnapshot). The CSI driver must support snapshots and a VolumeSnapshotClass must exist.\n\nRemember: Storage abstraction: StorageClass→PV→PVC→Pod mount. Dynamic provisioning automates PV.	training/library/topics/k8s-storage/primer.md
k8s-storage/29c0d1e2f3a4	k8s-storage	hard	k8s, storage, debugging	A PVC is stuck in Pending state. Walk through your debugging process.	1) kubectl describe pvc to check events. Common causes: no matching PV and no StorageClass provisioner (check SC exists and CSI driver pods are healthy), WaitForFirstConsumer mode (normal until a pod is scheduled), storageclass not found (typo in SC name), exceeded ResourceQuota, or requested capacity exceeds provider limits. 2) Check CSI driver pods in kube-system. 3) Check node availability zones vs volume binding mode.\n\nRemember: Storage abstraction: StorageClass→PV→PVC→Pod mount. Dynamic provisioning automates PV.	training/library/topics/k8s-storage/primer.md
k8s-storage/3ad1e2f3a4b5	k8s-storage	hard	k8s, storage, debugging, mount	A pod fails to start with a multi-attach error on an RWO volume. What happened and how do you fix it?	An RWO volume is still attached to a previous node, usually because the old node was not properly drained or is in a NotReady state. The volume cannot attach to the new node until it is detached from the old one. Fix: force-detach the volume via the cloud provider API or delete the old VolumeAttachment object. Prevent by using proper node drain procedures and setting appropriate pod disruption budgets.\n\nRemember: Storage abstraction: StorageClass→PV→PVC→Pod mount. Dynamic provisioning automates PV.	training/library/topics/k8s-storage/primer.md
