Describe a scenario where you had to execute a full-scale disaster recovery plan, including failover and failback procedures.	Capacity planning: monitor current utilization (CPU, memory, storage, network, power), project growth trends, plan for N+1 redundancy, consider lead times for procurement, model seasonal peaks, and maintain buffer capacity (typically 20-30% headroom). Tools: DCIM software, custom dashboards.\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.	datacenter medium datacenter-ops capacity planning
What ipmitool commands control server power, and what is the correct order for an unresponsive server?	"Key commands: power status, power soft (ACPI graceful), power off (hard), power on, power cycle, power reset. For an unresponsive server: try ""power soft"" first, wait 60 seconds, check SOL for shutdown progress, then escalate to ""power cycle"" only after confirming the OS is truly hung.\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.\n\nGotcha: always calculate power at full load, not idle. A server may idle at 200W but spike to 700W under CPU stress. Plan PDU capacity for peak, not average."	datacenter easy ipmi power commands
What are the key infrastructure components in a bare-metal provisioning architecture?	A provisioning architecture requires: an isolated provisioning VLAN for PXE traffic, a DHCP+TFTP server (often dnsmasq) for IP assignment and bootloader delivery, an HTTP server (nginx) hosting OS images and kickstart files, a configuration management system (Ansible) for post-install config, and a CMDB/inventory system to track provisioned assets.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	datacenter medium provisioning workflow pipeline
What are DHCP options 66 and 67 (next-server and filename) and why are they critical for PXE?	Option 66 (next-server) tells the PXE client the IP address of the TFTP server to fetch the bootloader from. Option 67 (filename) specifies the bootloader file path, such as pxelinux.0 for BIOS or ipxe/snponly.efi for UEFI. Without these options, a PXE client receives an IP but has no bootloader to download and simply skips network boot.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	datacenter medium pxe dhcp options
What are the vendor-specific names for BMC products, and what protocol do they all share?	Dell calls theirs iDRAC, HP/HPE uses iLO, Supermicro uses a generic IPMI BMC, and Lenovo uses XClarity/IMM. All of them speak the IPMI protocol, so ipmitool works with all vendors. Vendor UIs add proprietary features on top of the IPMI common denominator.\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	datacenter easy bmc ipmi vendors
How does the DHCP server differentiate between UEFI and Legacy BIOS PXE clients?	It checks the architecture option (option arch). If the value is 00:07, the client is UEFI and receives an EFI bootloader (e.g., ipxe/snponly.efi). Otherwise it receives a legacy bootloader (e.g., pxelinux.0).\n\nGotcha: firmware updates often require a reboot and can occasionally brick a system. Always have an out-of-band management path and a rollback plan before flashing firmware.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	datacenter easy pxe boot uefi
What are the key components of a provisioning network architecture, and why is the provisioning network isolated?	Key components: DHCP+TFTP server (e.g., dnsmasq), HTTP server (nginx) for OS images and kickstart files, config management (Ansible) for post-install, and a CMDB for inventory tracking. The provisioning network is isolated on a separate VLAN to prevent PXE traffic from interfering with production and to secure the out-of-band management plane.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	datacenter hard pxe provisioning architecture
What is the difference between write-back and write-through cache on a RAID controller?	Write-back cache acknowledges writes as soon as data hits the controller's RAM cache, giving much better performance. Write-through cache waits until data is written to disk before acknowledging, which is slower but safer. Write-back requires a Battery Backup Unit (BBU) to protect cached data during power loss.\n\nRemember: RAID levels — RAID 0 (stripe, no redundancy), RAID 1 (mirror), RAID 5 (stripe + 1 parity), RAID 6 (stripe + 2 parity), RAID 10 (mirror + stripe). Mnemonic: '0=Zero safety, 1=One copy, 5=Five minus one survives, 10=Ten for speed+safety.'	datacenter medium raid cache bbu
What is the difference between a power whip and a standard outlet in datacenter power distribution?	A power whip is a hard-wired, high-amperage cable connection from the overhead or underfloor busway directly to the PDU, typically used for high-density racks (30A-60A circuits). Standard outlets (C13/C14, C19/C20) are plug-based connections for individual devices. Whips provide higher capacity and more reliable connections for heavy loads.\n\nRemember: PDU = Power Distribution Unit. Rack PDU distributes power to servers. Monitored PDUs show per-outlet power draw. Redundant PDUs (A+B feeds) prevent single-feed failure.	datacenter hard power whip outlet
What are the six IPMI sensor threshold levels, and what happens when a reading crosses one?	"From lowest to highest: Lower Non-Recoverable (LNR), Lower Critical (LC), Lower Non-Critical (LNC), Upper Non-Critical (UNC), Upper Critical (UC), Upper Non-Recoverable (UNR). When a reading crosses a threshold, the BMC logs an event to the SEL and can send an SNMP trap or PET alert. View thresholds with ""ipmitool sensor get <name>"".\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely."	datacenter medium ipmi sensors thresholds
