---
tags:
- devops
- l1
- flashcard-deck
- claude-code
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Claude Code](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
claude-code/001	claude-code	easy	claude-code,setup	What is Claude Code and how does it differ from browser-based AI tools?	Claude Code is Anthropic's terminal-native AI agent that runs in your shell with direct access to your filesystem, git history, and CLI tools. Unlike browser-based AI, it can read and edit your files, run commands, and interact with your infrastructure directly — no copy-pasting required.\n\nRemember: Claude Code = Anthropic's AI coding assistant CLI. Works in your terminal, understands your codebase, and helps write, debug, and refactor code.	training/library/topics/claude-code/primer.md
claude-code/002	claude-code	easy	claude-code,claude-md	What is CLAUDE.md and what is it used for?	CLAUDE.md is a project context file that Claude Code reads automatically on startup. It contains project conventions, stack details, validation commands, and behavioral rules (like files not to modify). It supports a hierarchy: global (~/) > project root (./) > subdirectory, with more specific files overriding general ones.\n\nRemember: Claude Code = Anthropic's AI coding assistant CLI. Works in your terminal, understands your codebase, and helps write, debug, and refactor code.	training/library/topics/claude-code/primer.md
claude-code/003	claude-code	medium	claude-code,permissions	What are the three permission modes in Claude Code and when should you use each?	Default mode asks before file edits and commands. Auto-accept edits mode allows file reads/writes but still asks for commands. YOLO mode auto-approves everything and should only be used for safe, isolated work — never on production infrastructure or shared systems.\n\nRemember: Claude Code asks permission before modifying files or running commands. Review changes before approving. Trust but verify.	training/library/topics/claude-code/primer.md
claude-code/004	claude-code	easy	claude-code,slash-commands	How do you create a custom slash command in Claude Code?	Create a markdown file in .claude/commands/ directory. The filename (minus .md) becomes the command name. Use $ARGUMENTS as a placeholder for user input. Example: .claude/commands/deploy-check.md becomes /deploy-check. Team-shared commands go in the repo's .claude/commands/; personal commands go in ~/.claude/commands/.\n\nRemember: slash commands (/commit, /review-pr) invoke built-in skills. They're shortcuts for common workflows that Claude Code handles end-to-end.	training/library/topics/claude-code/primer.md
claude-code/005	claude-code	medium	claude-code,mcp	What are MCP servers in Claude Code and how are they configured?	MCP (Model Context Protocol) servers extend Claude Code with external integrations like databases, APIs, and internal tools. They are configured in .claude/settings.json under the mcpServers key, specifying a command, args, and environment variables. Use ${VAR} syntax for secrets — never hardcode credentials.\n\nRemember: Claude Code understands your project through CLAUDE.md files, directory structure, and code context. Well-documented repos get better assistance.	training/library/topics/claude-code/primer.md
claude-code/006	claude-code	medium	claude-code,hooks	What are Claude Code hooks and what events can they respond to?	Hooks are shell commands that run automatically in response to Claude Code events. Events include: pre-tool-use (runs before and can block a tool), post-tool-use (runs after a tool), notification (for alerts), and on-session-start. Use cases include auto-linting after edits, blocking destructive commands, and sending Slack notifications.\n\nRemember: Claude Code understands your project through CLAUDE.md files, directory structure, and code context. Well-documented repos get better assistance.	training/library/topics/claude-code/primer.md
claude-code/007	claude-code	easy	claude-code,context	What does the /compact command do and when should you use it?	/compact compresses the conversation to save context window space. Use it at milestones during long debugging sessions — when the context fills up, Claude Code starts forgetting earlier conversation including your constraints and instructions. It keeps key context while dropping noise.\n\nRemember: Claude Code understands your project through CLAUDE.md files, directory structure, and code context. Well-documented repos get better assistance.	training/library/topics/claude-code/primer.md
claude-code/008	claude-code	easy	claude-code,models	What are the available models in Claude Code and when should you use each?	Opus: complex multi-file refactors, architecture decisions, deep debugging. Sonnet: day-to-day coding, quick fixes, file exploration. Haiku: fast lookups, simple questions, bulk operations. Switch with /model or --model flag.\n\nRemember: Claude Code understands your project through CLAUDE.md files, directory structure, and code context. Well-documented repos get better assistance.	training/library/topics/claude-code/primer.md
claude-code/009	claude-code	medium	claude-code,cli	How can you use Claude Code in a CI pipeline or non-interactive mode?	"Use the -p flag for non-interactive (pipe-friendly) mode: claude -p ""review this diff"" < diff.txt. Combine with --output-format json for machine-readable output. Useful for automated code review, changelog generation, and migration scripts in CI/CD pipelines like GitHub Actions.\n\nRemember: Claude Code understands your project through CLAUDE.md files, directory structure, and code context. Well-documented repos get better assistance."	training/library/topics/claude-code/primer.md
claude-code/010	claude-code	hard	claude-code,permissions,security	How do you configure targeted tool permissions instead of using YOLO mode?	"Use claude config set allowedTools with an array of tool patterns. Examples: '[""Bash(kubectl get *)"", ""Bash(kubectl describe *)""]' for read-only kubectl, '[""Bash(make *)"", ""Edit"", ""Write""]' for build and edit permissions. This is safer than YOLO mode because it limits blast radius to approved operations.\n\nRemember: Claude Code asks permission before modifying files or running commands. Review changes before approving. Trust but verify."	training/library/topics/claude-code/primer.md
claude-code/011	claude-code	medium	claude-code,workflow	How does Claude Code help with exploring an unfamiliar codebase?	"Claude Code reads your files directly, so you can ask questions like ""How does the deploy pipeline work?"" and it will read CI workflows, Helm charts, deploy scripts, and Dockerfiles to give you a narrative walkthrough with specific file references. Follow up with targeted questions about specific components.\n\nRemember: Claude Code understands your project through CLAUDE.md files, directory structure, and code context. Well-documented repos get better assistance."	training/library/topics/claude-code/street_ops.md
claude-code/012	claude-code	medium	claude-code,workflow,kubernetes	How can Claude Code assist with debugging Kubernetes OOMKilled pods?	Claude Code runs kubectl commands in your context: gets pod status, describes the OOMKilled pod, runs kubectl top for resource usage, checks resource limits in the pod spec, reads your Helm values for resource configuration, suggests the fix (e.g., bump memory limits), and validates with helm lint — all without copy-pasting.\n\nRemember: Claude Code understands your project through CLAUDE.md files, directory structure, and code context. Well-documented repos get better assistance.	training/library/topics/claude-code/street_ops.md
