---
tags:
- devops
- l1
- flashcard-deck
- observability
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Observability Deep Dive](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
obs/001	observability	easy	observability, pillars	What are the three pillars of observability?	Metrics (numeric time-series), Logs (discrete events with context), Traces (request flow across services). Each answers different questions: metrics show what is broken, logs show why, traces show where in the call chain.\n\nRemember: Three pillars: Metrics, Logs, Traces. "MLT."	training/library/deep-dives/observability
obs/002	observability	easy	observability, metrics, logs	When should you use a metric vs a log?	Use metrics for aggregatable numeric data you alert on (request rate, error rate, latency). Use logs for discrete events with rich context (stack traces, request payloads). Metrics are cheap to query at scale; logs are expensive.\n\nRemember: Counter(cumulative), Gauge(current), Histogram(distribution).	training/library/deep-dives/observability
obs/003	observability	medium	observability, traces	What problem do distributed traces solve that metrics and logs alone cannot?	Traces show causality across service boundaries. When a request touches 5 services, traces reveal which hop is slow or failing, even when each service's metrics look fine individually.\n\nRemember: Distributed tracing = follow request across services. Span = segment.\n\nExample: Jaeger, Zipkin, OpenTelemetry. Trace ID in HTTP headers.	training/library/deep-dives/observability
obs/004	observability	easy	prometheus, scrape	How does Prometheus collect metrics?	Prometheus uses a pull (scrape) model. It periodically HTTP GETs the /metrics endpoint of each target. Targets expose metrics in the Prometheus exposition format. This is the opposite of push-based systems like StatsD.\n\nRemember: Counter(cumulative), Gauge(current), Histogram(distribution).	training/library/deep-dives/observability
obs/005	observability	medium	prometheus, exporter	What is a Prometheus exporter and when do you need one?	An exporter is a sidecar or standalone process that translates metrics from a non-Prometheus system into the Prometheus exposition format. You need one when the application cannot natively expose /metrics (e.g., node_exporter for OS metrics, blackbox_exporter for probing).\n\nRemember: Observability ≠ monitoring. Monitoring=known questions. Observability=ask new questions.	training/library/deep-dives/observability
obs/006	observability	medium	prometheus, cardinality	What is label cardinality and why is it dangerous in Prometheus?	Cardinality is the number of unique time-series created by label combinations. High-cardinality labels (user IDs, request paths) create millions of series, consuming memory and slowing queries. Fix with relabeling, recording rules, or dropping unbounded labels at the source.\n\nGotcha: High cardinality = #1 perf killer. Never user IDs as metric labels.	training/library/deep-dives/observability
obs/007	observability	medium	prometheus, metric-types	What is the difference between a counter and a gauge?	A counter only goes up (resets on restart): total requests, total errors. A gauge goes up and down: current memory, queue depth. Always use rate() on counters; use gauge values directly.\n\nRemember: Observability ≠ monitoring. Monitoring=known questions. Observability=ask new questions.	training/library/deep-dives/observability
obs/008	observability	medium	prometheus, histogram	When do you use a histogram vs a summary?	Use histograms for latency percentiles when you need server-side aggregation across instances (histogram_quantile). Summaries compute quantiles client-side so they cannot be aggregated. Prefer histograms in almost all cases.\n\nRemember: Observability ≠ monitoring. Monitoring=known questions. Observability=ask new questions.	training/library/deep-dives/observability
obs/009	observability	easy	sli, slo, sla	What is the difference between SLI, SLO, and SLA?	SLI (indicator): a measured metric like request latency p99. SLO (objective): target value for the SLI, e.g., p99 < 300ms. SLA (agreement): contractual commitment with consequences if SLO is breached. SLI measures, SLO sets the goal, SLA is the contract.\n\nRemember: Observability ≠ monitoring. Monitoring=known questions. Observability=ask new questions.	training/library/deep-dives/observability
obs/010	observability	medium	slo, error-budget	What is an error budget and how does it guide decision-making?	Error budget = 1 minus SLO target (e.g., 99.9% SLO gives 0.1% budget). When budget is healthy, ship features fast. When budget is nearly spent, freeze risky changes and focus on reliability. It aligns dev velocity with reliability.\n\nRemember: Observability ≠ monitoring. Monitoring=known questions. Observability=ask new questions.	training/library/deep-dives/observability
