---
tags:
- devops
- l1
- flashcard-deck
- corporate-it
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Corporate IT Fluency](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
corporate-it-fluency/79fb61cd8856	corporate-it-fluency	easy	itsm, incident, problem	What is the difference between an Incident and a Problem in ITSM?	"An Incident is an unplanned interruption to a service — the goal is to restore service ASAP. A Problem is a root cause investigation into why incidents keep happening — the goal is to eliminate the underlying cause. An Incident says ""fix it now,"" a Problem says ""figure out why it keeps breaking.""\n\nRemember: ITSM tools (ServiceNow, Jira Service Management, Zendesk) track incidents, changes, and requests. Every change should have a ticket for audit trail."	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/cc6a9efe5a83	corporate-it-fluency	easy	itsm, cab, change-management	What is a Change Advisory Board (CAB)?	A recurring meeting (usually weekly) where proposed changes to production systems are reviewed and approved. You present a Change Request describing what you're changing, why, the rollback plan, and risk assessment. The board approves, rejects, or defers.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices.	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/d70a5c6f0f62	corporate-it-fluency	easy	itsm, cmdb	What is a CMDB and why does it matter?	"Configuration Management Database — the org's inventory of all IT assets (servers, apps, network devices, cloud resources) and their dependencies. It answers ""what do we have and how is it connected?"" During incidents, it helps trace which services depend on a failed component.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices."	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/3f9daac83e97	corporate-it-fluency	hard	itsm, sla, ola	What is the difference between an SLA, an OLA, and an Underpinning Contract (UC)?	SLA (Service Level Agreement) is between IT and the customer/business. OLA (Operational Level Agreement) is between internal IT teams. UC (Underpinning Contract) is between IT and an external vendor. The SLA is the promise; OLAs and UCs are what make it achievable.\n\nRemember: SLA = Service Level Agreement. Contractual commitment. SLO = internal target. SLI = the actual measurement. SLA >= SLO > SLI (target hierarchy).	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/1f10843ff701	corporate-it-fluency	hard	compliance, audit	"What is a SOC2 audit and what does a ""finding"" mean?"	"SOC2 (Service Organization Control 2) is an audit framework for cloud/SaaS companies that examines access controls, logging, and change management. A ""finding"" means an auditor identified a gap in controls. Critical findings must be fixed before the audit period ends; high findings need a remediation plan with a deadline.\n\nRemember: SOC 2 = Service Organization Control. Trust Service Criteria: Security, Availability, Processing Integrity, Confidentiality, Privacy. Mnemonic: 'SAPCP.'"	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/a5feb20b1dd5	corporate-it-fluency	easy	governance, raci	What do the letters in a RACI matrix stand for?	R = Responsible (does the work), A = Accountable (owns the outcome — only one person per task), C = Consulted (provides input before the work), I = Informed (told about the outcome after). Every row should have exactly one A.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices.	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/7ecfeeb1d731	corporate-it-fluency	medium	governance, risk	What is a risk register?	"A living document that tracks known risks with their likelihood, impact, mitigation plans, and owners. When InfoSec says ""add this to the risk register,"" they want the risk documented, assessed, assigned, and tracked. Risk acceptance (deciding a risk is acceptable given mitigation cost) is also documented here.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices."	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/e592f8d027d6	corporate-it-fluency	easy	budget, finance	What is the difference between CapEx and OpEx?	CapEx (Capital Expenditure) is buying an asset — e.g., purchasing servers — depreciated over years. OpEx (Operational Expenditure) is ongoing usage costs — e.g., monthly cloud bills — expensed in the current period. Cloud migration is often described as a CapEx-to-OpEx shift.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices.	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/35d5b6141c5d	corporate-it-fluency	easy	procurement, control-flow	What is the difference between an RFI, RFP, and RFQ?	"RFI (Request for Information) = ""tell us what you offer"" (early research). RFP (Request for Proposal) = ""give us a formal proposal with pricing"" (competitive bidding). RFQ (Request for Quote) = ""we know what we want, how much?"" (price comparison).\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices."	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/592cf0229731	corporate-it-fluency	medium	procurement, contracts	What is the difference between an SOW and an MSA?	SOW (Statement of Work) defines what a vendor will deliver, by when, and for how much — it's the specific project scope. MSA (Master Service Agreement) is the umbrella legal agreement covering all work with that vendor. You can have many SOWs under one MSA.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices.	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/4266bd0fe6c4	corporate-it-fluency	hard	budget, finance	What does TCO mean and why is it different from purchase price?	TCO (Total Cost of Ownership) includes the full cost: purchase, licensing, support contracts, labor to operate, power, cooling, training, and eventual decommission. A $10K server might have a 5-year TCO of $50K when you add support, power, rack space, and admin time.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices.	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/f72eadc2a7b6	corporate-it-fluency	easy	budget, networking	"What does ""Run vs Grow"" mean in IT budgeting?"	"Run the business = keeping lights on (maintenance, licensing, patching, support contracts). ""Grow the business"" = new capabilities (migrations, new platforms, automation). When budgets get cut, ""grow"" gets cut first. Knowing which bucket your project is in tells you how vulnerable it is.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices."	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/644ef8e160ab	corporate-it-fluency	easy	itsm, change-management	What is a Standard Change vs a Normal Change?	A Standard Change is a pre-approved, low-risk, routine change (e.g., restart a service, add a DNS record) that skips CAB review. A Normal Change requires full CAB review and approval. Understanding which your deployments are determines your deploy velocity.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices.	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/70654eded8f7	corporate-it-fluency	hard	itsm, change-management	What is an Emergency Change and when is it used?	An Emergency Change bypasses normal CAB process to address an urgent issue (typically during a P1 incident). It still requires approval — usually from the change manager or an on-call approver — and mandatory post-implementation review. It is not a way to skip process; it is a fast-tracked version of it.\n\nRemember: understanding corporate IT infrastructure helps DevOps engineers bridge the gap between traditional IT operations and modern cloud-native practices.	training/library/topics/corporate-it-fluency/primer.md
corporate-it-fluency/a5f1c7170a56	corporate-it-fluency	hard	itsm, problem-management	What is a Known Error in ITSM?	A Known Error is a Problem that has been diagnosed — the root cause is understood and documented, but the permanent fix has not yet been implemented. It typically includes a workaround so that future Incidents can be resolved faster while the real fix is planned.\n\nRemember: ITSM tools (ServiceNow, Jira Service Management, Zendesk) track incidents, changes, and requests. Every change should have a ticket for audit trail.	training/library/topics/corporate-it-fluency/primer.md
