How do you use bat as a previewer for other tools?	With fzf: fzf --preview 'bat --color=always {}'. With git: git diff | bat -l diff. As pager: export BAT_PAGER='less -RF'. bat -A shows whitespace characters (tabs, spaces, newlines).	modern-cli medium bat
When do you still use classic tools (grep, find, cat) over modern ones?	On remote servers without modern tools installed. In shell scripts that must be portable. In Dockerfiles (minimize image size). When piping to other programs that expect standard output format. Know both — modern for interactive work, classic for portability.	modern-cli easy tool-selection
You need to find all YAML files containing 'replicas' in a monorepo. Which tool chain do you pick?	rg 'replicas' -t yaml for the answer. If you need to browse the results interactively: rg 'replicas' -t yaml -l | fzf --preview 'bat --color=always {}'. Classic equivalent takes 3+ commands; rg does it in one.	modern-cli hard tool-selection
How do you use jq to triage JSON logs from an application?	"cat app.log | jq 'select(.level == \error\"")' (filter errors). Count by service: jq -r 'select(.level == \""error\"") | .service' | sort | uniq -c | sort -rn. Table output: jq -r '[.timestamp, .service, .message] | @tsv' | column -t"""	modern-cli hard workflow
What is the modern-tool equivalent of 'find . -name *.yaml | xargs grep replicas | sort'?	rg 'replicas' -t yaml. One command replaces the entire pipeline. Add -C 2 for context, -l for file names only, --stats for totals. rg handles .gitignore, binary files, and multi-threading automatically.	modern-cli medium workflow
How do you find and execute a command on matching files with fd?	fd -e py -x wc -l (count lines in each Python file). fd -e log -X rm (delete all .log files — -X batches into one command, -x runs per file). Add -H to include hidden files.	modern-cli medium fd
What is fzf and what problem does it solve?	fzf is an interactive fuzzy finder. Turns any list into a searchable, selectable menu. Pipe anything into it: kubectl get pods | fzf, git branch | fzf, history | fzf. Transforms CLI workflows from recall-based to recognition-based.	modern-cli easy fzf
How do you filter and reshape JSON with jq?	"Filter: jq '.items[] | select(.status == \running\"")'. Reshape: jq '{name: .metadata.name, phase: .status.phase}'. Raw output: jq -r '.name' (no quotes). Slurp: jq -s '.' (read all inputs into array)."""	modern-cli medium jq
How do you search only specific file types with rg?	rg 'pattern' -t yaml (built-in type filter). rg 'pattern' -g '*.yaml' (glob filter). rg -t py -g '!test*' 'pattern' (Python files excluding tests). rg --type-list shows all built-in types.	modern-cli medium rg ripgrep
What does zoxide replace and how does it learn?	"zoxide replaces cd. It learns from your navigation — tracks directory frequency and recency (frecency). z exercises jumps to most-visited match. zi opens interactive selection with fzf. Setup: eval \$(zoxide init bash)\"""""	modern-cli easy zoxide
