---
tags:
- devops
- l1
- flashcard-deck
- ansible-playbooks
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Ansible](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
ansible-playbooks/01c1c6ad937d	ansible-playbooks	medium	ansible, jinja	File '/tmp/exercise' includes the following content	"```\n- name: Change saiyans levels\n  lineinfile:\n    dest: /tmp/exercise\n    regexp: ""{{ item.regexp }}""\n    line: ""{{ item.line }}""\n  with_items:\n    - { regexp: '^Vegeta', line: 'Vegeta = 250' }\n    - { regexp: '^Trunks', line: 'Trunks = 40' }\n    ...\n```\n\nNote: with_items still works but `loop:` is preferred since Ansible 2.5.\n\nRemember: import_* = static (parsed at playbook load). include_* = dynamic (parsed at runtime). Use import for roles, include for conditional logic."	projects/knowledge/interview/ansible/021-file-tmpexercise-includes-the-following-content-go.txt
ansible-playbooks/0e33e3409f91	ansible-playbooks	medium	ansible, playbook, jinja, fact	Explain the concept of Ansible Facts in a Windows environment.	Ansible Facts in a Windows environment provide information about the target system, such as hardware details, IP addresses, and installed software. Ansible gathers these facts during playbook execution, and they can be used in tasks or templates.\n\nGotcha: YAML indentation matters in playbooks. Use 2-space indent consistently. A single wrong indent can change a task's behavior or cause a syntax error.	projects/knowledge/interview/ansible/082-explain-the-concept-of-ansible-facts-in-a-windows-.txt
ansible-playbooks/0e76d5c9ad8e	ansible-playbooks	medium	ansible, jinja	"The value of a certain variable you use is the string ""True"". You would like the value to be a boolean. How would you cast it?"	`{{ some_string_var | bool }}`\n\nUnder the hood: Jinja2's bool filter converts strings like 'True', 'yes', '1' to Python True, and 'False', 'no', '0' to False. Essential when variables come from external sources as strings.\n\nRemember: variable precedence (low to high): defaults, inventory, playbook, role vars, extra vars (-e). Extra vars always win.	projects/knowledge/interview/ansible/014-the-value-of-a-certain-variable-you-use-is-the-str.txt
ansible-playbooks/0ed0de9577a1	ansible-playbooks	easy	ansible, galaxy, roles	What is Ansible Galaxy?	Ansible Galaxy is a community repository for Ansible roles. It allows you to share and download roles written by others (via ansible-galaxy command).\n\nUnder the hood: Galaxy hosts both roles and collections (bundles of modules, roles, and plugins). Collections are the modern packaging format since Ansible 2.10+.\n\nExample: ansible-galaxy install geerlingguy.docker installs a community role. Use requirements.yml to pin versions for reproducible builds.	projects/knowledge/interview/ansible/144-what-is-ansible-galaxy.txt
ansible-playbooks/100a7ebffd10	ansible-playbooks	easy	ansible, role, testing	What is Molecule? How does it works?	It's used to rapidly develop and test Ansible roles.  Molecule can be used to test Ansible roles against a variety of Linux distros at the same time.  This testing ability helps instill confidence in the automation today and as time goes on while a role is maintained.\n\nGotcha: YAML indentation matters in playbooks. Use 2-space indent consistently. A single wrong indent can change a task's behavior or cause a syntax error.	projects/knowledge/interview/ansible/026-what-is-molecule-how-does-it-works.txt
ansible-playbooks/120b2e29ee6f	ansible-playbooks	medium	ansible, vault, playbook	How do you handle sensitive information like passwords in Ansible?	Sensitive information is managed using Ansible Vault to encrypt and secure data. Vault-encrypted files or strings can be included in playbooks, and passwords can be provided at runtime using various methods, such as prompting or external tools.\n\nGotcha: YAML indentation matters in playbooks. Use 2-space indent consistently. A single wrong indent can change a task's behavior or cause a syntax error.	projects/knowledge/interview/ansible/070-how-do-you-handle-sensitive-information-like-passw.txt
ansible-playbooks/12ad6298fa03	ansible-playbooks	medium	ansible, playbook, role	What is the purpose of an Ansible Playbook?	An Ansible Playbook is a YAML file containing organized instructions (plays) for configuring and managing systems. Playbooks define tasks, roles, and dependencies, providing a structured way to automate complex tasks.\n\nGotcha: YAML indentation matters in playbooks. Use 2-space indent consistently. A single wrong indent can change a task's behavior or cause a syntax error.	projects/knowledge/interview/ansible/035-what-is-the-purpose-of-an-ansible-playbook.txt
ansible-playbooks/144010e38bbe	ansible-playbooks	medium	ansible, fact, playbook	"What is the purpose of the ""gather_facts"" task in Ansible?"	The gather_facts task collects system information (facts) from managed nodes. Facts are then available as variables in the playbook. It is often used at the beginning of playbooks to gather information about the target environment.\n\nGotcha: YAML indentation matters in playbooks. Use 2-space indent consistently. A single wrong indent can change a task's behavior or cause a syntax error.	projects/knowledge/interview/ansible/046-what-is-the-purpose-of-the-gatherfacts-task-in-ans.txt
ansible-playbooks/1c8e64d1fea0	ansible-playbooks	medium	ansible, playbook, inventory, tower	How do you troubleshoot failed jobs in Ansible Tower?	Troubleshoot by:\n* Examining job details and logs in the Ansible Tower UI.\n* Reviewing playbook output for error messages.\n* Checking inventory, credentials, and playbooks for misconfigurations.\n* Analyzing job status and error codes.\n\nExample: assert: that: ansible_memtotal_mb >= 1024 fail_msg: 'Insufficient memory' — validates preconditions before proceeding with the playbook.	projects/knowledge/interview/ansible/107-how-do-you-troubleshoot-failed-jobs-in-ansible-tow.txt
ansible-playbooks/1dc608a4bcb9	ansible-playbooks	medium	ansible, connection, role, fact	Explain the role of the ansible_ssh_common_args variable in connection settings.	ansible_ssh_common_args is used to pass additional SSH connection parameters globally. It's helpful for setting common options like custom SSH keys or connection timeouts across multiple hosts.\n\nExample: setting ansible_ssh_common_args: '-o ProxyJump=bastion.example.com' routes all SSH through a bastion/jump host — useful for reaching private subnets.\n\nRemember: a role is a self-contained bundle: tasks/, handlers/, templates/, files/, defaults/, vars/, meta/. Think 'reusable Ansible package.'\n\nExample: ansible-galaxy init myrole scaffolds the directory structure. Share roles via Galaxy or private Git repos.	projects/knowledge/interview/ansible/097-explain-the-role-of-the-ansiblesshcommonargs-varia.txt
ansible-playbooks/2031d7b37867	ansible-playbooks	medium	ansible, playbook, role, idempotency	What are some best practices for writing clean and maintainable Ansible code?	Best practices include:\n* Organizing playbooks with clear structure and naming conventions.\n* Using roles to modularize and reuse code.\n* Documenting tasks and variables.\n* Employing version control.\n* Avoiding hardcoded values and using variables.\n* Ensuring idempotence in tasks.\n\nGotcha: YAML indentation matters in playbooks. Use 2-space indent consistently. A single wrong indent can change a task's behavior or cause a syntax error.	projects/knowledge/interview/ansible/069-what-are-some-best-practices-for-writing-clean-and.txt
ansible-playbooks/25ed2a52859f	ansible-playbooks	medium	ansible, role, jinja	Explain the use of Ansible roles in network automation.	Ansible roles in network automation help organize and modularize tasks. Roles can encapsulate configurations, templates, and tasks specific to network devices, making it easier to reuse and share automation code.\n\nRemember: a role is a self-contained bundle: tasks/, handlers/, templates/, files/, defaults/, vars/, meta/. Think 'reusable Ansible package.'\n\nExample: ansible-galaxy init myrole scaffolds the directory structure. Share roles via Galaxy or private Git repos.	projects/knowledge/interview/ansible/078-explain-the-use-of-ansible-roles-in-network-automa.txt
ansible-playbooks/25f5833d8969	ansible-playbooks	medium	handlers, notify, services	What are Ansible handlers and when should you use them?	Handlers are special tasks that only run when notified by other tasks.\nThey're typically used for actions that should happen once after multiple\nchanges, like restarting a service after config updates.\n\nHow they work:\n1. Tasks notify handlers when they make changes\n2. Handlers run at the end of the play (by default)\n3. Each handler runs only once, even if notified multiple times\n\nRemember: handlers run once at end of play, even if notified multiple times. Use meta: flush_handlers to force immediate execution.	projects/knowledge/interview/ansible/166-handlers.txt
