---
tags:
- cloud
- l1
- flashcard-deck
- aws-troubleshooting
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [AWS Troubleshooting](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-tshoot/001	aws-troubleshooting	easy	aws, iam, troubleshooting	An API call returns AccessDenied. What do you check first?	1) Which principal is making the call (sts get-caller-identity). 2) Check the IAM policy for explicit Deny (Deny always wins). 3) Check resource-based policies. 4) Check SCPs if using AWS Organizations. 5) Check Permissions Boundary if attached.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/002	aws-troubleshooting	medium	aws, iam, troubleshooting	How do you debug a complex IAM deny using CloudTrail?	Find the event in CloudTrail — the errorCode is AccessDenied and errorMessage often hints at which policy denied. Use IAM Policy Simulator to test the principal + action + resource. Check for implicit denies (no matching Allow) vs explicit Deny.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/003	aws-troubleshooting	medium	aws, iam, troubleshooting	An IAM role works from one account but not another. What is likely wrong?	Cross-account access requires both: 1) the role's trust policy must allow sts:AssumeRole from the source account, AND 2) the source account must have an IAM policy allowing sts:AssumeRole on the target role ARN. Missing either side causes AccessDenied.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/004	aws-troubleshooting	easy	aws, security-groups, nacl, networking	What is the key difference between security groups and NACLs?	Security groups are stateful (return traffic auto-allowed) and allow only Allow rules. NACLs are stateless (must allow both inbound and outbound), process rules by number (lowest first), and support Deny rules. NACLs are at the subnet level; SGs at the ENI level.\n\nRemember: NACLs are stateless (rules for inbound AND outbound needed), evaluated by rule number (lowest first), allow AND deny rules. Security groups are stateful, allow-only.\n\nRemember: SG = stateful allow-only (return traffic auto-allowed). NACL = stateless allow+deny (must explicitly allow return traffic). SG at instance level, NACL at subnet level.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/005	aws-troubleshooting	medium	aws, security-groups, troubleshooting	Traffic works from instance A to B but not B to A on the same subnet. What do you check?	1) Security group on B may not allow inbound from A's SG/IP. 2) NACL on the subnet may have a Deny rule for B's source port range (ephemeral ports). 3) Host-level firewall (iptables) on B. Check VPC Flow Logs to confirm drops.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/006	aws-troubleshooting	easy	aws, vpc, routing	An EC2 instance cannot reach the internet. What do you check?	1) Is the instance in a public subnet with an Internet Gateway? 2) Does the route table have 0.0.0.0/0 -> IGW? 3) Does the instance have a public IP or Elastic IP? 4) Security group allows outbound? 5) NACL allows outbound + ephemeral inbound? For private subnet: check NAT Gateway route.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/007	aws-troubleshooting	medium	aws, vpc, routing	Traffic between two VPCs over peering is not working. What do you check?	1) Peering connection is Active in both VPCs. 2) Route tables in BOTH VPCs have routes to the peer CIDR pointing to the peering connection. 3) Security groups reference the peer CIDR (not just the peer SG — SG references across peering require same region). 4) NACLs allow the traffic.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/008	aws-troubleshooting	medium	aws, dns, route53	An application cannot resolve a private DNS name in a VPC. What do you check?	1) enableDnsSupport and enableDnsHostnames are true on the VPC. 2) Private hosted zone is associated with the VPC. 3) Record exists in the hosted zone. 4) Instance is using the VPC DNS resolver (x.x.x.2). 5) If cross-VPC: check Route 53 Resolver rules and VPC associations.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/009	aws-troubleshooting	easy	aws, dns, troubleshooting	DNS resolution works from one VPC but not another. What is the most likely cause?	The Route 53 private hosted zone is associated with the first VPC but not the second. Fix: associate the hosted zone with the second VPC. For cross-account: use Route 53 Resolver endpoints or VPC association authorization.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
aws-tshoot/010	aws-troubleshooting	easy	aws, alb, nlb	When do you use ALB vs NLB?	ALB (L7): HTTP/HTTPS routing, path/host-based rules, WAF integration, gRPC support. NLB (L4): TCP/UDP, ultra-low latency, static IPs, TLS passthrough. Use NLB for non-HTTP protocols, or when you need a fixed IP. Use ALB for web applications needing smart routing.\n\nRemember: enable VPC Flow Logs and CloudTrail before you need them. Troubleshooting without logs is like debugging without stack traces — possible but painful.	training/interactive/knowledge/data/cards/aws-troubleshooting.tsv
