---
tags:
- observability
- l1
- flashcard-deck
- prometheus
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Prometheus](../../../../library/portal/topics.md) | **Domain:** Observability
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
monitoring/09fed3e92564	monitoring	easy	monitoring, dashboards	What is Grafana Enterprise?	[Grafana Enterprise](https://grafana.com/docs/grafana/latest/enterprise/#enterprise-plugins) is a commercial edition of Grafana offered with enterprise features such as _Enterprise datasource_ plugins and built-in collaboration features. The edition includes full-time support and training from the Grafana team.\n\nRemember: Grafana = visualization, doesn't store data. Queries Prometheus/Loki. Port 3000.	projects/knowledge/interview/monitoring/003-what-is-grafana-enterprise.txt
monitoring/25a9488f2465	monitoring	medium	monitoring, dashboards, on-call	How can we install plugins for Grafana?	[Grafana getting started](https://grafana.com/docs/grafana/latest/plugins/installation/): Navigate to the [Grafana plugins page](https://grafana.com/grafana/plugins/), find the desired plugin and click on it, then click the installation tab. There are two ways to install depending on where your Grafana server is running:\n- Cloud: On the **For** field of the installation tab, select the name of the organization you want to install the plugin on (unless you are only part of one), then click **install plugin**.\n\nRemember: Grafana = visualization, doesn't store data. Queries Prometheus/Loki. Port 3000.	projects/knowledge/interview/monitoring/006-how-can-we-install-plugins-for-grafana.txt
monitoring/260bd8031a51	monitoring	medium	monitoring, dashboards	How can we import a dashboard to a Grafana instance?	[Grafana getting started](https://grafana.com/docs/grafana/latest/dashboards/export-import/): Grafana dashboards can be imported through the Grafana UI. Click on the + icon in the sidebar and then click import. You can import a dashboard through the following options:\n- Uploading a dashboard JSON file, which is exported from the Grafana UI or fetched through the [HTTPS API](https://grafana.com/docs/grafana/latest/http_api/dashboard/#create-update-dashboard\n)\n- Paste a Grafana dashboard URL which is found at [grafana Dashboards](https://grafana.com/grafana/dashboards/), or a dashboard unique id into the text area.\n- Paste raw Dashboard JSON text into the panel area.\nClick load afterwards.	projects/knowledge/interview/monitoring/011-how-can-we-import-a-dashboard-to-a-grafana-instanc.txt
monitoring/36302dba8ac3	monitoring	medium	monitoring, dashboards	Which external authentication is supported out-of-the-box?	[Grafana docs](https://grafana.com/docs/grafana/latest/auth/overview/): Grafana Auth is the built-in authentication system with password authentication enabled by default.\n\nRemember: Stack: Prometheus(metrics) + Grafana(viz) + AlertManager(alerts) + Loki(logs).\n\nRemember: Four Golden Signals: Latency, Traffic, Errors, Saturation.	projects/knowledge/interview/monitoring/010-which-external-authentication-is-supported-out-of-.txt
monitoring/36a0efe43841	monitoring	medium	monitoring, dashboards, alerting, on-call	How can you organise your dashboards and users in Grafana?	"[Grafana docs](https://grafana.com/blog/2022/03/14/how-to-best-organize-your-teams-and-resources-in-grafana/\n): The recommended way by Grafana labs is to create Folders for grouping dashboards, library panels and alerts. Users can be organised through Teams which grants permissions to members of a group.\n- [Folders](https://grafana.com/docs/grafana/latest/dashboards/dashboard_folders/): Click the + icon in the sidebar, then click ""Create folder""."\n\nRemember: Grafana = visualization, doesn't store data. Queries Prometheus/Loki. Port 3000.	projects/knowledge/interview/monitoring/014-how-can-you-organise-your-dashboards-and-users-in-.txt
monitoring/4c877a123e35	monitoring	easy	monitoring, dashboards	What is the data format for the dashboard?	[Grafana docs](https://grafana.com/docs/grafana/latest/dashboards/json-model/): Grafana dashboards are represented in JSON files as objects, they store metadata about a dashboard e.g. dashboard properties, panel metadata and variables.\n\nRemember: Stack: Prometheus(metrics) + Grafana(viz) + AlertManager(alerts) + Loki(logs).\n\nRemember: Four Golden Signals: Latency, Traffic, Errors, Saturation.	projects/knowledge/interview/monitoring/012-what-is-the-data-format-for-the-dashboard.txt
monitoring/55b7df70c248	monitoring	hard	monitoring, observability	What is the difference between metrics, logs, and alerts?	Three pillars with different purposes:\n\n**Metrics**: Numerical time-series data showing trends.\n* CPU usage, request latency, error rates\n* Good for: dashboards, capacity planning, anomaly detection\n* Aggregated, cheap to store long-term\n\n**Logs**: Event records explaining what happened.\n* Stack traces, request details, audit trails\n* Good for: debugging, forensics, compliance\n* Expensive at scale, usually sampled or rotated\n\n**Alerts**: Notifications requiring human attention.\n* Something is wrong NOW and needs action\n* Should be actionable and rare\n\n**Anti-pattern**: Mixing them. Dashboards full of logs. Alerts on every metric. Logs nobody reads.\n\nMetrics show trends, logs explain why, alerts wake humans.	projects/knowledge/interview/monitoring/016-metrics-vs-logs-vs-alerts-difference.txt
monitoring/61b86c6cff5c	monitoring	hard	monitoring, observability	Why do alerts rot over time?	"Alerts decay because systems change but alerts don't:\n\n**Causes**:\n* Services deprecated but alerts remain\n* Thresholds no longer meaningful after scaling\n* Alert copied from template, never tuned\n* Original author left, context lost\n* Business requirements changed\n\n**Symptoms**:\n* Alerts ignored or auto-closed\n* ""We always silence that one""\n* Nobody knows what action to take\n\n**Solutions**:\n* Alert ownership must be enforced - every alert has an owner\n* Regular alert reviews (quarterly)\n* Track alert → action ratio\n* Delete alerts that don't result in action\n* Document runbooks linked to alerts\n\nAn unowned alert is technical debt."	projects/knowledge/interview/monitoring/017-why-do-alerts-rot-over-time.txt
monitoring/654bf39fed3a	monitoring	hard	monitoring, observability	What makes an alert bad in monitoring and how do you improve it?	"A bad alert is one that fires but doesn't require action.\n\n**Examples of bad alerts**:\n* Fires constantly (becomes noise)\n* No clear remediation steps\n* Requires no human intervention (self-heals)\n* Too sensitive (false positives)\n* Too vague (""Something is wrong"")\n* Pages for non-urgent issues\n\n**Good alert criteria**:\n* Actionable: Someone must DO something\n* Urgent: Can't wait until business hours\n* Real: High signal, low false positive rate\n* Documented: Runbook exists\n\n**Test**: If you can't write a runbook for it, it's not an alert - it's a metric to watch.\n\nEvery unnecessary alert trains people to ignore alerts."	projects/knowledge/interview/monitoring/018-what-is-a-bad-alert.txt
monitoring/7dd3324f2eba	monitoring	easy	monitoring, dashboards	What is the default HTTP port of Grafana?	[Grafana getting started](https://grafana.com/docs/grafana/latest/getting-started/getting-started/): Grafana runs on port 3000 by default.\n\nRemember: Grafana = visualization, doesn't store data. Queries Prometheus/Loki. Port 3000.	projects/knowledge/interview/monitoring/004-what-is-the-default-http-port-of-grafana.txt
