---
tags:
- cloud
- l1
- flashcard-deck
- gcp-general
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [GCP Troubleshooting](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
gcp-general/0560db8c7fb4	gcp-general	easy	gcp,database	What is Cloud Datastore?	Cloud Datastore is a schemaless NoSQL datastore in Google's cloud. Applications can use Datastore to query your data with SQL-like queries that support filtering and sorting. Datastore replicates data across multiple datacenters, which provides a high level of read/write availability.	projects/knowledge/interview/gcp/020-what-is-cloud-datastore.txt
gcp-general/09a6f1875601	gcp-general	medium	gcp,database	What all types of databases are suppported by GCP ?	AlloyDB, BigTable, Firestore, MemoryStore, Spanner, SQL\n\nRemember: GCP database types by workload: AlloyDB (PostgreSQL-compatible), Bigtable (wide-column NoSQL), Firestore (document), Memorystore (Redis/Memcached cache), Spanner (global relational), Cloud SQL (managed MySQL/PostgreSQL/SQL Server).\n\nGotcha: Spanner is the only globally-consistent relational database — but it is significantly more expensive than Cloud SQL.	projects/knowledge/interview/gcp/078-what-all-types-of-databases-are-suppported-by-gcp.txt
gcp-general/0d4d8041d10a	gcp-general	medium	gcp,devops	Explain TensorFlow on GCP.	TensorFlow is an open-source machine learning platform, and GCP provides infrastructure and services to leverage TensorFlow efficiently.\nKey features:\n* High-Performance Computing: GCP offers powerful compute resources to train and deploy TensorFlow models.	projects/knowledge/interview/gcp/100-explain-tensorflow-on-gcp.txt
gcp-general/1029154f8950	gcp-general	medium	gcp,networking,storage	What are NFS shares ?	NFS (Network File System) shares allow multiple instances to access and share a common file system over a network. It's a distributed file system protocol that enables a client to access files over a network as if they were on its local disks. In GCP, NFS shares can be set up using Google Cloud Filestore, providing high-performance, fully managed NFS file servers to store and access data for applications that need shared file systems.	projects/knowledge/interview/gcp/054-what-are-nfs-shares.txt
gcp-general/107e61d30b54	gcp-general	hard	gcp,monitoring	Explain Google Cloud Trace.	Cloud Trace is a performance monitoring tool for understanding and optimizing latency in applications. It provides:\n* Performance Insights: Traces the latency of requests across different services to identify performance bottlenecks.\n* Request Analysis: Helps understand the performance of individual requests and their paths through distributed systems.\n* Debugging and Optimization: Helps in debugging and optimizing the performance of applications.	projects/knowledge/interview/gcp/108-explain-google-cloud-trace.txt
gcp-general/11d8b2be7203	gcp-general	hard	gcp,devops	Explain AI Platform in GCP.	AI Platform provides a comprehensive set of ML services for building, deploying, and managing models. It supports various tasks, such as data preprocessing, model training, and model deployment at scale. AI Platform provides a collaborative environment for data scientists and machine learning engineers to develop and operationalize ML models.	projects/knowledge/interview/gcp/145-explain-ai-platform-in-gcp.txt
gcp-general/1945f0837955	gcp-general	hard	gcp, networking, user-management	Explain Google Data Studio.	Data Studio is a free business intelligence and data visualization tool that turns data into informative reports and dashboards.\nIt allows users to create customizable, informative reports and dashboards using various data sources. Key features include:\n* Data Connectivity: Connects to a wide range of data sources.\n* Interactive Dashboards: Enables the creation of interactive and visually appealing reports.\n* Collaboration: Supports sharing and collaboration on reports within teams.	projects/knowledge/interview/gcp/125-explain-google-data-studio.txt
gcp-general/23e3b66cfcbe	gcp-general	easy	gcp,networking	What is private service connect ?	Private Service Connect enables secure and private connectivity between a customer's Virtual Private Cloud (VPC) network and a service provider's network. It allows organizations to consume managed services while keeping the traffic private.	projects/knowledge/interview/gcp/080-what-is-private-service-connect.txt
gcp-general/25d7a1935ce1	gcp-general	easy	gcp, control-flow, networking	What is spectrum access system ?	Spectrum Access System refers to the system managing shared access to spectrum frequencies. It enables dynamic spectrum sharing for communication services, optimizing the utilization of available spectrum resources.\n\nUnder the hood: SAS manages CBRS (Citizens Broadband Radio Service) spectrum in the 3.5 GHz band. More relevant to telecom than typical DevOps.\n\nGotcha: This is a niche GCP offering — most engineers will never use it directly.	projects/knowledge/interview/gcp/082-what-is-spectrum-access-system.txt
gcp-general/2a837b7c5b8b	gcp-general	hard	gcp, control-flow	Describe Edge TPU in GCP.	Edge TPU is Google's purpose-built ASIC designed to run machine learning (ML) models for edge devices.  It's optimized for running TensorFlow Lite models for efficient machine learning tasks on edge devices. Edge TPUs enable low-latency, high-throughput, and power-efficient machine learning inference on devices, such as IoT devices or local servers, without the need for continuous cloud connectivity.	projects/knowledge/interview/gcp/139-describe-edge-tpu-in-gcp.txt
