# BIOS Settings Comparison: Expected vs. Actual (after CMOS reset)
# Server: srv-hyp-03 (Dell PowerEdge R640)
# Generated by comparing CMDB baseline with current BIOS via racadm

Setting                                  Expected (CMDB)          Actual (Current)         Match
---------------------------------------  -----------------------  -----------------------  -----
Boot Mode                                UEFI                     BIOS (Legacy)            MISMATCH
Secure Boot                              Disabled                 Disabled                 OK
UEFI Boot Sequence                       HD, PXE, None            (not applicable in BIOS) N/A

Virtualization Technology (VT-x)         Enabled                  Disabled                 MISMATCH
VT for Direct I/O (VT-d)                 Enabled                  Disabled                 MISMATCH
SR-IOV Global Enable                     Enabled                  Disabled                 MISMATCH

Logical Processor (HyperThreading)       Enabled                  Enabled                  OK
Number of Cores per Processor            All                      All                      OK
Node Interleaving                        Disabled                 Enabled                  MISMATCH
Memory Operating Mode                    Optimizer Mode           Optimizer Mode           OK

System Profile                           Performance              Balanced (Default)       MISMATCH
CPU Power Management                     Maximum Performance      OS DBPM                  MISMATCH
C1E                                      Disabled                 Enabled                  MISMATCH
C-States                                 Disabled                 Enabled                  MISMATCH
Turbo Boost                              Enabled                  Enabled                  OK

Serial Communication                     COM1 / 115200            COM1 / 115200            OK
OS Watchdog Timer                        Disabled                 Disabled                 OK

# Summary: 8 settings need to be changed to restore correct configuration
