---
tags:
- linux
- l2
- flashcard-deck
- bash-advanced
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L2: Practitioner](../../../../library/portal/levels.md) | **Topics:** [Bash Advanced](../../../../library/portal/topics.md) | **Domain:** Linux & Systems
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
bash-adv/6d2e26e65a53	bash-adv	medium	bash, quoting, expansion	Explain quoting edge cases: single vs double quotes vs no quotes	Single quotes: literal, no expansion. Double quotes: variable and command expansion, no word splitting. No quotes: full expansion + word splitting + globbing.\n\nname='world'\necho '$name'     # $name (literal)\necho \"$name\"    # world (expanded)\necho $name      # world (expanded + word split)\n\nEdge cases:\n- Tilde: ~user expands outside quotes, not inside \"~user\"\n- Arrays: \"${arr[@]}\" preserves elements, ${arr[@]} splits on spaces\n- Empty vars: [ $var = yes ] fails if var is empty; [ \"$var\" = yes ] is safe\n\nRule: always double-quote variables unless you specifically want word splitting.	interview-qa-gap-analysis
bash-adv/4b30f708f8c2	bash-adv	medium	bash, heredoc, herestring, redirection	How do here documents and here strings work?	Here documents (<<) pass multi-line input to a command:\n\ncat <<EOF\nHello $USER\nToday is $(date)\nEOF\n\nWith <<'EOF' (quoted delimiter): no variable expansion (literal).\nWith <<-EOF: strips leading tabs (for indented scripts).\n\nHere strings (<<<) pass a single string as stdin:\n\ngrep 'pattern' <<< \"$variable\"\nread -r a b c <<< \"1 2 3\"\n\nHere strings avoid a subshell (vs echo | grep). Use them for feeding variables to commands that read stdin. Here documents are great for generating config files, SQL queries, or multi-line messages in scripts.	interview-qa-gap-analysis
bash-adv/56e2076d0f01	bash-adv	medium	bash, arithmetic, evaluation	Explain bash arithmetic: $(( )) vs (( )) vs $[ ]	$(( expr )): arithmetic expansion — evaluates and substitutes the result.\nresult=$((5 + 3))  # result=8\necho $((x * 2))    # inline substitution\n\n(( expr )): arithmetic evaluation — returns exit status (0=true, 1=false).\n(( count++ ))      # increment\nif (( x > 5 )); then echo big; fi\n\n$[ expr ]: deprecated, same as $(( )). Do not use.\n\nKey features:\n- Supports: + - * / % ** (exponent)\n- Integer only — use bc or awk for floating point\n- Variables don't need $ inside: (( x = y + 1 ))\n- Bitwise: & | ^ ~ << >>\n- Ternary: $(( x > 5 ? 1 : 0 ))\n\nFor floating point: echo '3.14 * 2' | bc -l	interview-qa-gap-analysis
bash-adv/7830c7fe4d69	bash-adv	medium	bash, getopts, arguments, parsing	How does getopts work for argument parsing?	getopts parses short options in a while loop.\n\nusage() { echo \"Usage: $0 [-v] [-f file] [-n count]\" >&2; exit 1; }\n\nverbose=0\nwhile getopts ':vf:n:' opt; do\n  case $opt in\n    v) verbose=1 ;;\n    f) file=$OPTARG ;;\n    n) count=$OPTARG ;;\n    :) echo \"Option -$OPTARG requires argument\" >&2; usage ;;\n    \\?) echo \"Unknown option: -$OPTARG\" >&2; usage ;;\n  esac\ndone\nshift $((OPTIND - 1))  # remaining args in $@\n\nColon after letter = requires argument. Leading colon = silent error mode. OPTARG holds the argument value. OPTIND tracks position.\n\nFor long options (--verbose), use getopt (external command) or manual parsing.	interview-qa-gap-analysis
bash-adv/ab7aef2a4146	bash-adv	medium	bash, trap, signals, cleanup	How do you use trap for signal handling in scripts?	trap executes a command when a signal is received.\n\n# Cleanup on exit (any reason):\ntrap 'rm -f \"$tmpfile\"' EXIT\n\n# Handle Ctrl-C:\ntrap 'echo \"Interrupted\"; exit 1' INT\n\n# Ignore signals:\ntrap '' SIGTERM  # ignore TERM\n\n# Reset to default:\ntrap - INT\n\n# Multiple signals:\ntrap 'cleanup' EXIT INT TERM\n\ncleanup() {\n  rm -rf \"$workdir\"\n  echo \"Cleaned up\"\n}\n\nCommon pattern:\ntmpfile=$(mktemp)\ntrap 'rm -f \"$tmpfile\"' EXIT\n# ... use tmpfile safely, auto-cleaned on any exit\n\nTraps are inherited by subshells but reset to default in command substitutions. Use EXIT trap for guaranteed cleanup — it fires on normal exit, errors, and signals.	interview-qa-gap-analysis
bash-adv/b8224705204c	bash-adv	medium	bash, process-substitution, advanced	Explain process substitution with <( ) and >( )	Process substitution connects command output/input via a temporary file descriptor.\n\n<( cmd ): cmd's stdout becomes a readable file path.\n>( cmd ): provides a writable file path that feeds cmd's stdin.\n\n# Compare outputs of two commands:\ndiff <(sort file1) <(sort file2)\n\n# Feed multiple inputs to a command:\npaste <(cut -f1 data.tsv) <(cut -f3 data.tsv)\n\n# Tee to multiple destinations:\necho 'log' | tee >(gzip > file.gz) >(mail admin@example.com)\n\n# Read output without subshell (preserves variables):\nwhile read -r line; do\n  count=$((count + 1))\ndone < <(find . -name '*.py')\n\nUnlike pipes, process substitution doesn't create a subshell for the reading side. Available in bash and zsh, not POSIX sh.	interview-qa-gap-analysis
bash-adv/56783036e037	bash-adv	medium	bash, arrays, data-structures	How do bash arrays work (indexed and associative)?	Indexed arrays:\narr=(one two three)\narr+=(four)              # append\necho \"${arr[0]}\"         # one\necho \"${arr[@]}\"         # all elements\necho \"${#arr[@]}\"        # count: 4\nunset 'arr[1]'           # remove element\n\nAssociative arrays (bash 4+):\ndeclare -A map\nmap[name]=alice\nmap[role]=admin\necho \"${map[name]}\"      # alice\necho \"${!map[@]}\"        # all keys\n\nIteration:\nfor item in \"${arr[@]}\"; do echo \"$item\"; done\nfor key in \"${!map[@]}\"; do echo \"$key=${map[$key]}\"; done\n\nCritical: always quote \"${arr[@]}\" to preserve elements with spaces. ${arr[*]} joins into single string. Arrays are not exported to subprocesses.	interview-qa-gap-analysis
bash-adv/17dc0db487fa	bash-adv	medium	bash, awk, text-processing	Explain awk basics: field processing, patterns, and actions	awk processes text line by line with pattern { action } rules.\n\n# Print second field:\nawk '{print $2}' file\n\n# Custom delimiter:\nawk -F'\\t' '{print $1, $3}' data.tsv\n\n# Filter + compute:\nawk '$3 > 100 {sum += $3; count++} END {print sum/count}' data\n\n# Variables and printf:\nawk -F: '{printf \"%-20s %s\\n\", $1, $NF}' /etc/passwd\n\nBuilt-in variables:\n  NR = line number, NF = field count\n  FS = field separator, RS = record separator\n  $0 = whole line, $1..$NF = fields\n\nPatterns: BEGIN/END blocks, /regex/, conditional expressions.\n\nawk is often a better choice than chained sed/grep/cut pipelines — one pass, full programming language.	interview-qa-gap-analysis
bash-adv/12a2393252f7	bash-adv	medium	bash, subshell, grouping	What is the difference between ( ) subshell and { } group command?	( commands ): runs in a subshell — variable changes don't affect parent.\n{ commands; }: runs in current shell — changes persist.\n\n# Subshell:\nx=1; (x=2; echo \"inside: $x\"); echo \"outside: $x\"\n# inside: 2, outside: 1\n\n# Group:\nx=1; { x=2; echo \"inside: $x\"; }; echo \"outside: $x\"\n# inside: 2, outside: 2\n\nNote: { } requires space after { and semicolon before }.\n\nUse ( ) when you want isolation (cd, variable changes). Use { } when you want to group commands for redirection:\n{ echo header; cat data.csv; } > output.txt\n\nPipes always create subshells: echo x | read var (var is lost). Fix with: read var < <(echo x).	interview-qa-gap-analysis
bash-adv/98b7b68e182b	bash-adv	easy	bash, quoting, filenames, safety	How do you safely handle filenames with spaces and special characters?	Always quote variables and use null-delimited processing.\n\n# Bad — breaks on spaces:\nfor f in $(find . -name '*.txt'); do ...\n\n# Good — null-delimited:\nwhile IFS= read -r -d '' f; do\n  echo \"Processing: $f\"\ndone < <(find . -name '*.txt' -print0)\n\n# Good — find -exec:\nfind . -name '*.txt' -exec wc -l {} +\n\n# Good — globbing with nullglob:\nshopt -s nullglob\nfor f in *.txt; do echo \"$f\"; done\n\nKey rules:\n1. Always double-quote $variables and ${expansions}\n2. Use find -print0 | xargs -0 for safe piping\n3. Set IFS= to prevent stripping leading/trailing whitespace\n4. Use -r with read to prevent backslash interpretation	interview-qa-gap-analysis
