id	category	tags	topic_text	trivia_fact	source
databases/t001	databases	sql,sequel,naming	SQL Was SEQUEL	SQL was originally called "SEQUEL" (Structured English Query Language), designed by Donald Chamberlin and Raymond Boyce at IBM in 1974. IBM had to rename it to "SQL" because "SEQUEL" was already trademarked by the Hawker Siddeley aircraft company.	chamberlin-boyce-1974
databases/t002	databases	codd,relational,ibm	Relational Model	Edgar F. Codd invented the relational database model while working at IBM's San Jose Research Laboratory in 1970. IBM initially resisted implementing it because they were making too much money from their hierarchical database IMS. Larry Ellison read Codd's paper and built Oracle instead.	codd-1970-relational-model
databases/t003	databases	nosql,naming,rebranding	NoSQL Rebranded	"NoSQL" was coined in 1998 by Carlo Strozzi for his non-SQL database, but the modern movement started at a 2009 meetup organized by Johan Oskarsson. The term was quickly rebranded from "No SQL" to "Not Only SQL" to sound less confrontational and more inclusive of hybrid approaches.	nosql-meetup-2009
databases/t004	databases	mongodb,humongous,naming	MongoDB Name	MongoDB gets its name from "humongous" — the founders wanted a database that could handle humongous amounts of data. It was created at the company 10gen (later renamed MongoDB Inc.) in 2007, initially as a component of a planned platform-as-a-service product that was never launched.	mongodb-history
databases/t005	databases	redis,acronym,dictionary	Redis Acronym	Redis stands for "Remote Dictionary Server." Created by Salvatore Sanfilippo (antirez) in 2009, it started as a way to improve the performance of his web analytics startup. Its single-threaded event loop design was controversial but proved that simplicity could outperform complex multi-threaded alternatives.	antirez-redis-history
databases/t006	databases	postgresql,berkeley,ingres	PostgreSQL Origins	PostgreSQL began as "Postgres" at UC Berkeley in 1986, led by Michael Stonebraker. The name means "post-Ingres" — it was the successor to the Ingres database, also created by Stonebraker. The "SQL" suffix was added in 1996 when SQL support was included, though the community pronounces it "post-gres-Q-L."	berkeley-postgres-project
databases/t007	databases	mysql,daughter,naming	MySQL Name	MySQL is named after co-founder Michael "Monty" Widenius's daughter, My. When Widenius later forked MySQL to create MariaDB (after Oracle acquired MySQL via Sun Microsystems), he named it after his other daughter, Maria. The naming convention runs in the family.	mysql-history
databases/t008	databases	sqlite,ubiquitous,deployment	SQLite Everywhere	SQLite is the most widely deployed database engine in the world — it runs on every smartphone, in every web browser, in most TVs, and in automotive systems. There are likely over one trillion active SQLite databases. It was originally designed for the US Navy's guided missile destroyer program.	sqlite-history
databases/t009	databases	cap,brewer,theorem	CAP Theorem	The CAP theorem was conjectured by Eric Brewer at UC Berkeley in 2000 and proven by Seth Gilbert and Nancy Lynch at MIT in 2002. It states that a distributed system can guarantee at most two of three properties: Consistency, Availability, and Partition tolerance. It fundamentally shapes every distributed database design.	brewer-cap-2000
databases/t010	databases	acid,acronym,memorable	ACID Acronym	ACID (Atomicity, Consistency, Isolation, Durability) was coined by Andreas Reuter and Theo Harder in 1983, specifically chosen to be a memorable acronym. Like a chemistry acid test, ACID properties "test" whether a database transaction system is reliable.	haerder-reuter-1983
databases/t011	databases	oracle,cia,history	Oracle and the CIA	Oracle's first customer was the CIA. Larry Ellison named the company after a CIA project codenamed "Oracle" that he worked on at Ampex Corporation. The CIA needed a database to manage vast amounts of intelligence data, and Ellison realized the commercial potential of Codd's relational model.	oracle-founding-history
databases/t012	databases	b-tree,1972,indexing	B-Tree Index	The B-tree, the data structure behind most database indexes, was invented by Rudolf Bayer and Edward McCreight at Boeing Research Labs in 1972. What the "B" stands for has never been officially stated — theories include "balanced," "broad," "Bayer," and "Boeing."	bayer-mccreight-1972
databases/t013	databases	null,codd,controversy	NULL Controversy	NULL in SQL does not mean "zero" or "empty string" — it means "unknown." Edgar Codd introduced it in his relational model, but it creates three-valued logic (true, false, unknown) that has confused programmers for decades. Even Codd later proposed replacing NULL with two distinct markers.	codd-null-proposal
databases/t014	databases	normalization,codd,forms	Normal Forms	Database normalization (1NF through 5NF) was developed by Codd and others to eliminate data redundancy. In practice, most databases only normalize to 3NF (Third Normal Form), and many intentionally denormalize for performance. The joke goes: "Normalize until it hurts, denormalize until it works."	database-normalization-history
databases/t015	databases	dynamodb,amazon,shopping-cart	DynamoDB Origin	Amazon's DynamoDB grew from an internal system called Dynamo, built because their relational databases couldn't handle the load during holiday shopping peaks. The 2007 Dynamo paper described how Amazon's shopping cart worked, and it inspired an entire generation of NoSQL databases including Cassandra and Riak.	amazon-dynamo-paper-2007
