---
tags:
- k8s
- l1
- flashcard-deck
- k8s-troubleshooting
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Debugging](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-tshoot/001	k8s-troubleshooting	easy	kubernetes, troubleshooting, crashloopbackoff	A pod is in CrashLoopBackOff. What does this status mean?	"The container starts, crashes, and Kubernetes restarts it with exponential backoff (10s, 20s, 40s, up to 5m). Common causes: missing config/secrets, unhandled exception at startup, OOMKilled, bad entrypoint command."\n\nRemember: CrashLoopBackOff = start-crash-retry with exponential backoff (10s→20s→40s→5min).\n\nGotcha: `kubectl logs pod --previous` shows crash reason. Common: missing config, OOM, wrong cmd.	training/interactive/exercises/k8s/crashloop
k8s-tshoot/002	k8s-troubleshooting	medium	kubernetes, troubleshooting, crashloopbackoff	How do you get the crash output from a CrashLoopBackOff pod?	"kubectl logs <pod> --previous shows stdout/stderr from the last crashed container. If the container exits too fast, kubectl describe pod <pod> Events section often reveals the reason (OOMKilled, exec format error, etc.)."\n\nRemember: CrashLoopBackOff = start-crash-retry with exponential backoff (10s→20s→40s→5min).\n\nGotcha: `kubectl logs pod --previous` shows crash reason. Common: missing config, OOM, wrong cmd.	training/interactive/exercises/k8s/crashloop
k8s-tshoot/003	k8s-troubleshooting	easy	kubernetes, troubleshooting, imagepullbackoff	A pod is stuck in ImagePullBackOff. What are the common causes?	"1) Image name or tag is wrong. 2) Image doesn't exist in the registry. 3) ImagePullSecret is missing or expired. 4) Private registry requires auth. 5) Network policy or firewall blocks registry access."\n\nRemember: ImagePullBackOff = can't pull image. Check: typo, auth, network, tag existence.\n\nGotcha: `kubectl describe pod` Events section has the exact error.	training/interactive/exercises/levels/level-03/k8s-imagepull
k8s-tshoot/004	k8s-troubleshooting	medium	kubernetes, troubleshooting, imagepullbackoff	How do you verify that an ImagePullSecret is correct?	"kubectl get secret <name> -o jsonpath='{.data.\\.dockerconfigjson}' | base64 -d to inspect credentials. Then test manually: docker login <registry> with those creds. Also check the secret is in the same namespace as the pod."\n\nRemember: K8s troubleshooting: Get→Describe→Logs→Exec. Mnemonic: "GDLE."\n\nGotcha: Always check Events with `kubectl describe` — they tell WHY, not just WHAT failed.	training/interactive/exercises/levels/level-03/k8s-imagepull
k8s-tshoot/005	k8s-troubleshooting	easy	kubernetes, troubleshooting, pending	A pod is stuck in Pending state. What do you check first?	"kubectl describe pod <pod> — look at Events. Common reasons: insufficient CPU/memory (no node fits requests), no matching nodeSelector/affinity, PVC not bound, taints without tolerations."\n\nRemember: Pending = can't schedule. Causes: no resources, taints, unbound PVC, no nodes.\n\nGotcha: `kubectl describe pod` shows FailedScheduling reason.	training/interactive/exercises/levels/level-04/k8s-pending
k8s-tshoot/006	k8s-troubleshooting	medium	kubernetes, troubleshooting, pending, scheduling	How do you determine if a pod is Pending due to resource pressure?	"kubectl describe nodes | grep -A 5 'Allocated resources' shows used vs allocatable. If requests exceed available, the scheduler can't place the pod. kubectl get events --field-selector reason=FailedScheduling confirms."\n\nRemember: Pending = can't schedule. Causes: no resources, taints, unbound PVC, no nodes.\n\nGotcha: `kubectl describe pod` shows FailedScheduling reason.	training/interactive/exercises/levels/level-04/k8s-pending
k8s-tshoot/007	k8s-troubleshooting	medium	kubernetes, troubleshooting, probes	A pod keeps restarting but logs show no errors. What could be wrong?	"Likely a misconfigured liveness probe. If the probe endpoint is wrong, too slow, or has a short timeout, kubelet kills the container as 'unhealthy'. Check: kubectl describe pod <pod> — look for 'Liveness probe failed' in Events."\n\nRemember: High restarts = crashing. `kubectl describe pod` for reason, `kubectl logs --previous` for logs.	training/interactive/exercises/k8s/probes
k8s-tshoot/008	k8s-troubleshooting	medium	kubernetes, troubleshooting, probes	What is the difference between liveness, readiness, and startup probes?	"Liveness: is the process alive? Failure = container restart. Readiness: can it serve traffic? Failure = removed from Service endpoints. Startup: is the app finished initializing? Blocks liveness/readiness until it passes. Use startup probes for slow-starting apps."\n\nRemember: K8s troubleshooting: Get→Describe→Logs→Exec. Mnemonic: "GDLE."\n\nGotcha: Always check Events with `kubectl describe` — they tell WHY, not just WHAT failed.	training/interactive/exercises/k8s/probes
k8s-tshoot/009	k8s-troubleshooting	easy	kubernetes, troubleshooting, events	How do you use kubectl events for troubleshooting?	"kubectl get events --sort-by=.lastTimestamp shows recent cluster events. kubectl get events --field-selector involvedObject.name=<pod> filters to one resource. Events expire after 1 hour by default — check quickly after an issue."\n\nRemember: Flow: Get→Describe→Logs→Exec. Mnemonic: "GDLE."	training/interactive/exercises/k8s/events
k8s-tshoot/010	k8s-troubleshooting	medium	kubernetes, troubleshooting, logs, describe	When do you use kubectl logs vs kubectl describe?	"Use logs to see application output (stdout/stderr). Use describe to see Kubernetes-level info: scheduling decisions, probe results, image pulls, resource limits, events. Start with describe for cluster issues, logs for app issues."\n\nExample: `kubectl logs pod --previous --tail=100` — last 100 lines from crashed container.\n\nGotcha: Logs lost on pod deletion. Set up log aggregation (Fluentd/Loki) for persistence.	training/interactive/exercises/k8s/events
