---
tags:
- linux
- l1
- flashcard-deck
- linux-data-hoarding
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Linux Data Hoarding](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-data-hoarding/a1b2c3d4e5f6	linux-data-hoarding	easy	jbod, philosophy	What does JBOD stand for, and why do data hoarders prefer it over traditional RAID?	JBOD = Just a Bunch of Disks. Each drive is an independent filesystem combined via a union filesystem (mergerfs). Advantages over RAID: mix any drive sizes, add one drive at a time, any single drive is readable on its own, and a failed drive only loses the files physically on that drive.\n\nMnemonic: "JBOD = Just Buy One Drive" — you scale one drive at a time, not matching sets.	training/library/topics/linux-data-hoarding/primer.md
linux-data-hoarding/b2c3d4e5f6a7	linux-data-hoarding	easy	snapraid, parity	What is SnapRAID and how does it differ from real-time RAID?	SnapRAID is a snapshot parity tool created by Andrea Mazzoleni (2011, GPLv3). Unlike real-time RAID, SnapRAID computes parity on a schedule (typically daily via cron). Between syncs, newly added files have NO parity protection.\n\nThis makes it ideal for write-once-read-many workloads (media libraries) but wrong for databases or VMs with high write churn.	training/library/topics/linux-data-hoarding/primer.md
linux-data-hoarding/c3d4e5f6a7b8	linux-data-hoarding	easy	snapraid, config	What is the most critical rule about the parity drive in SnapRAID?	The parity drive must be at least as large as the largest data drive. If your biggest data drive is 12TB, the parity drive must be >= 12TB. SnapRAID stores one parity block per data block, so it needs capacity equal to the largest single drive.	training/library/topics/linux-data-hoarding/primer.md
linux-data-hoarding/d4e5f6a7b8c9	linux-data-hoarding	medium	snapraid, operations	What does `snapraid sync` do, and when should you run it?	`snapraid sync` reads all data drives, computes parity blocks, and writes them to the parity drive(s). Run it daily via cron. Between syncs, newly added files have zero parity protection.\n\nAlways run `snapraid diff` first (or use snapraid-runner) to check for unexpected mass deletions before syncing.	training/library/topics/linux-data-hoarding/primer.md
linux-data-hoarding/e5f6a7b8c9d0	linux-data-hoarding	medium	snapraid, operations	What does `snapraid scrub` do and what is the default scrub percentage?	`snapraid scrub` verifies data integrity by reading data blocks and comparing checksums. The default scrub verifies ~8% of data per run. Running weekly, this covers all data roughly once every 12 weeks.\n\nUse `snapraid scrub -p 100` for a full verification, but only when needed — it reads every block on every drive.	training/library/topics/linux-data-hoarding/primer.md
linux-data-hoarding/f6a7b8c9d0e1	linux-data-hoarding	medium	snapraid, recovery	How do you recover files from a failed drive using SnapRAID?	1. Mount the replacement drive at the same mount point\n2. Run: `snapraid fix -d d3` (replace d3 with the failed drive label)\n3. Verify: `snapraid check -d d3`\n4. Update parity: `snapraid sync`\n\nSnapRAID reconstructs files from parity data on the remaining drives. Expected time: 4-12 hours for a full drive.	training/library/topics/linux-data-hoarding/street_ops.md
linux-data-hoarding/a7b8c9d0e1f2	linux-data-hoarding	hard	snapraid, parity	How many parity levels does SnapRAID support, and what does each level provide?	SnapRAID supports 1 through 6 parity levels (configured as parity, 2-parity, 3-parity, etc.). Each level adds tolerance for one additional simultaneous disk failure:\n\n1-parity = survive 1 failure (like RAID5)\n2-parity = survive 2 failures (like RAID6)\n3-parity = survive 3 failures (like RAID-Z3)\n4-6 parity = for very large arrays (20+ disks)\n\nRule of thumb: 1 parity per 4 data disks for home use.	training/library/topics/linux-data-hoarding/primer.md
linux-data-hoarding/b8c9d0e1f2a3	linux-data-hoarding	easy	snapraid, automation	What is snapraid-runner and why use it instead of bare cron?	snapraid-runner (by Chronial) is a Python wrapper that adds safety checks to automated SnapRAID syncs. Key feature: it runs `snapraid diff` first and aborts if deletions exceed a configurable threshold (deletethreshold). This prevents parity destruction when a drive fails to mount and SnapRAID sees all its files as "deleted."\n\nGitHub: github.com/Chronial/snapraid-runner	training/library/topics/linux-data-hoarding/primer.md
linux-data-hoarding/c9d0e1f2a3b4	linux-data-hoarding	easy	filesystem, ext4	Why is ext4 the default filesystem choice for SnapRAID data drives?	ext4 is boring, reliable, and universally supported. It has mature fsck recovery tools, works on every Linux distro, and has decades of battle testing. It lacks checksums and snapshots, but SnapRAID provides checksumming and parity externally.\n\nMnemonic: "ext4 = Toyota Corolla" — not exciting, but it starts every morning.	training/library/topics/linux-data-hoarding/primer.md
linux-data-hoarding/d0e1f2a3b4c5	linux-data-hoarding	medium	filesystem, xfs	When should you choose XFS over ext4 for data drives?	Choose XFS when storing predominantly large files (4K video, ISOs, disk images). XFS has a better allocator for large sequential I/O and supports reflink copies (cp --reflink). XFS scales to 8 EiB volumes.\n\nDownside: XFS cannot be shrunk (only grown). Historically fragile on power loss, but v5 format (default since 2014) fixed most issues.	training/library/topics/linux-data-hoarding/primer.md
