---
tags:
- k8s
- l1
- flashcard-deck
- k8s-core
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Core](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
openshift/000649f22ca5	openshift	medium	openshift, routes, builds	What Route is consists of?	- name\n  - service selector\n  - (optional) security configuration\n\nRemember: Route = OpenShift's Ingress. Predates K8s Ingress, more TLS options.\n\nUnder the hood: OpenShift Routes predate Kubernetes Ingress. Routes support edge, re-encrypt, and passthrough TLS termination modes.\n\nExample: `oc expose svc/myapp --hostname=myapp.example.com` creates a Route from a Service.	projects/knowledge/interview/openshift/026-what-route-is-consists-of.txt
openshift/01405d09c81b	openshift	hard	openshift, routes, builds	Explain OpenShift CLIs like oc and odo	"oc is used for creating applications, but also for administrating OpenShift cluster \nodo is used solely for managing applications on OpenShift (mainly from developers' perspective) and has nothing to do with administrating the cluster\n\nRemember: `oc` extras: new-app, new-project, login, adm. kubectl superset.\n\nRemember: ""oc = admin + developer, odo = developer only."" odo abstracts Kubernetes complexity for developers who just want to deploy code."	projects/knowledge/interview/openshift/010-explain-openshift-clis-like-oc-and-odo.txt
openshift/0ac3c593b5fd	openshift	medium	openshift, scc, oauth	"What are ""Security Context Constraints""?"	"From [OpenShift Docs](https://docs.openshift.com/container-platform/4.7/authentication/managing-security-context-constraints.html): ""Similar to the way that RBAC resources control user access, administrators can use security context constraints (SCCs) to control permissions for pods"".\n\nRemember: OpenShift = K8s + Routes, SCCs, S2I, OperatorHub, built-in CI/CD.\n\nGotcha: `restricted` SCC blocks root by default — common gotcha for Docker Hub images.\n\nExample: `oc new-app python~https://github.com/user/repo` — S2I from source.\n\nUnder the hood: SCCs are more powerful than K8s PodSecurityPolicies (now deprecated) or PodSecurityStandards. They control SELinux, capabilities, volumes, and UID ranges."	projects/knowledge/interview/openshift/029-what-are-security-context-constraints.txt
openshift/0c94525d7d70	openshift	medium	openshift, routes, builds	What would be the best way to run and manage multiple OpenShift environments?	Federation (or Red Hat Advanced Cluster Management). It provides a single control plane to deploy, manage, and enforce policies across multiple OpenShift clusters from one dashboard.\n\nRemember: OpenShift = Red Hat K8s + CI/CD + console + registry + OAuth + SCC.\n\nFun fact: `oc` CLI = kubectl superset. Every kubectl cmd works, plus `oc new-app`.\n\nExample: RHACM provides a single dashboard for cluster lifecycle, policy enforcement, and application deployment across hybrid/multi-cloud OpenShift clusters.	projects/knowledge/interview/openshift/015-what-would-be-the-best-way-to-run-and-manage-multi.txt
openshift/1c45f8e5c2f5	openshift	medium	openshift, routes, builds	What types of nodes OpenShift has?	- Workers: Where the end-user applications are running\n- Masters: Responsible for managing the cluster\n\nRemember: OpenShift = Red Hat K8s + CI/CD + console + registry + OAuth + SCC.\n\nFun fact: `oc` CLI = kubectl superset. Every kubectl cmd works, plus `oc new-app`.\n\nUnder the hood: OpenShift 4.x also has infrastructure nodes for routers, monitoring, and registry to keep worker nodes focused on application workloads.	projects/knowledge/interview/openshift/006-what-types-of-nodes-openshift-has.txt
openshift/1e6da5322513	openshift	easy	openshift, routes, builds	How to check what is the current context?	`oc whoami --show-context`\n\nRemember: OpenShift = K8s + Routes, SCCs, S2I, OperatorHub, built-in CI/CD.\n\nGotcha: `restricted` SCC blocks root by default — common gotcha for Docker Hub images.\n\nExample: `oc new-app python~https://github.com/user/repo` — S2I from source.\n\nExample: `oc whoami` shows the current user. `oc project` shows the current project. `oc config view` shows the full kubeconfig.	projects/knowledge/interview/openshift/031-how-to-check-what-is-the-current-context.txt
openshift/200edce8e9f2	openshift	hard	openshift, routes, builds	Given an example of how a router is used	1. Client is using an address of application running on OpenShift\n2. DNS resolves to host running the router\n3. Router checks whether route exists\n4. Router proxies the request to the internal pod\n\nRemember: Route = OpenShift's Ingress. Predates K8s Ingress, more TLS options.\n\nUnder the hood: The OpenShift router performs L7 routing. It reads the Host header (HTTP) or SNI (TLS) to select the correct backend Service.	projects/knowledge/interview/openshift/028-given-an-example-of-how-a-router-is-used.txt
openshift/21259cefaa4b	openshift	medium	openshift, routes, builds	Which component responsible for determining pod placement?	The Scheduler — the OpenShift/Kubernetes component that watches for newly created Pods with no assigned node, then selects the best node based on resource requests, affinity/anti-affinity rules, taints, tolerations, and topology constraints.\n\nRemember: OpenShift = K8s + Routes, SCCs, S2I, OperatorHub, built-in CI/CD.\n\nGotcha: `restricted` SCC blocks root by default — common gotcha for Docker Hub images.	projects/knowledge/interview/openshift/007-which-component-responsible-for-determining-pod-pl.txt
openshift/25795413e8f1	openshift	easy	openshift, routes, builds	What is Random Seek Time?	The time it takes for a disk to reach the place where the data is located and read a single block/sector.\n\nBones question: What is the random seek time in SSD and Magnetic Disk?\nAnswer: Magnetic is about 10ms and SSD is somewhere between 0.08 and 0.16ms\n\nRemember: OpenShift = K8s + Routes, SCCs, S2I, OperatorHub, built-in CI/CD.\n\nGotcha: `restricted` SCC blocks root by default — common gotcha for Docker Hub images.\n\nNumber anchor: HDD random seek ~10ms, SSD random seek ~0.1ms. This 100x difference explains why databases on SSD are dramatically faster.	projects/knowledge/interview/openshift/019-what-is-random-seek-time.txt
openshift/29cae55a6941	openshift	hard	openshift, routes, builds	Explain Services and their benefits	- Services in OpenShift define access policy to one or more set of pods. \n - They are connecting applications together by enabling communication between them\n - They provide permanent internal IP addresses and hostnames for applications\n - They are able to provide basic internal load balancing\n\nRemember: OpenShift = K8s + Routes, SCCs, S2I, OperatorHub, built-in CI/CD.\n\nGotcha: `restricted` SCC blocks root by default — common gotcha for Docker Hub images.\n\nUnder the hood: OpenShift Services use kube-proxy (iptables or IPVS mode) to load-balance traffic to pods matching the label selector.	projects/knowledge/interview/openshift/023-explain-services-and-their-benefits.txt
