---
tags:
- networking
- l1
- flashcard-deck
- tls
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [TLS & PKI](../../../../library/portal/topics.md) | **Domain:** Networking
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
tls/5e5fe50b6e2c	tls	easy	tls, certificates, chain	What is a certificate chain and why must the server send intermediate certificates?	A certificate chain goes: Root CA (trusted by OS) -> Intermediate CA -> Leaf/Server cert. The server must send the leaf plus intermediates because the client only has root CAs in its trust store. Missing intermediates is the #1 cause of "works in browser but fails in curl."	training/library/topics/tls-certificates-ops/primer.md
tls/73da126fc125	tls	easy	tls, openssl, debugging	How do you test a TLS connection and view the certificate chain using openssl?	openssl s_client -connect example.com:443 -servername example.com. This shows the full TLS handshake, certificate chain, negotiated cipher, and TLS version. Add 2>/dev/null | openssl x509 -text -noout to see certificate details.\n\nRemember: "TLS handshake: ClientHello → ServerHello → Certificate → Key Exchange → Finished." TLS 1.3 reduced this to one round trip.	training/library/topics/tls-certificates-ops/primer.md
tls/67b7c2215fbb	tls	easy	tls, certificates, expiry	How do you check when a TLS certificate expires?	openssl x509 -in cert.pem -enddate -noout (local file). For a remote server: echo | openssl s_client -connect host:443 2>/dev/null | openssl x509 -enddate -noout.\n\nRemember: "TLS 1.2 = minimum acceptable today. TLS 1.3 = preferred." TLS 1.0 and 1.1 are deprecated since 2020.	training/library/topics/tls-certificates-ops/primer.md
tls/ffaff54644f9	tls	medium	tls, handshake, protocol	What are the main steps of a TLS 1.2 handshake?	1. ClientHello (client sends supported versions, ciphers, SNI). 2. ServerHello (server picks version, cipher). 3. Certificate (server sends cert chain). 4. Key Exchange (both sides). 5. ChangeCipherSpec (switch to encrypted). 6. Finished (handshake complete). TLS 1.3 reduces this to 1 round trip.\n\nRemember: "Certificate chain: leaf → intermediate → root CA." Browsers trust roots; servers send leaf + intermediates.\n\nGotcha: Missing intermediate certificates cause "untrusted" errors on some clients.	training/library/topics/tls-certificates-ops/primer.md
tls/198c84daad38	tls	medium	tls, cipher-suites, security	What four algorithms does a TLS cipher suite define?	Key Exchange (RSA, ECDHE, DHE), Authentication (RSA, ECDSA), Encryption (AES-GCM, ChaCha20), and MAC/integrity (SHA256, SHA384). Example: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384. Modern configs should avoid RC4, 3DES, CBC mode, and static RSA key exchange.\n\nRemember: "Let's Encrypt = free, automated TLS certificates." Uses ACME protocol. Certs expire every 90 days — automate renewal.	training/library/topics/tls-certificates-ops/primer.md
tls/465426ca73af	tls	medium	tls, sni, virtual-hosting	What is SNI and why does it matter for TLS debugging?	SNI (Server Name Indication) sends the requested hostname during the TLS handshake, allowing servers to present the correct certificate for each domain on shared hosting. Without SNI (-servername flag in openssl), you may get the wrong certificate.\n\nGotcha: Certificate expiry is the #1 TLS outage cause. Monitor with: openssl s_client -connect host:443.\n\nRemember: "Set calendar reminders or automate renewal. Expired certs = outage."	training/library/topics/tls-certificates-ops/primer.md
tls/b8109599838b	tls	medium	tls, san, hostname	What is the difference between CN and SAN in a certificate, and which takes precedence?	CN (Common Name) is the legacy hostname field in the Subject. SAN (Subject Alternative Name) is the modern field supporting multiple hostnames and wildcards. SANs take precedence; modern browsers require SANs and ignore CN. Check with: openssl x509 -text -noout | grep -A1 "Subject Alternative Name".	training/library/topics/tls-certificates-ops/primer.md
tls/f419ce0b2312	tls	hard	tls, intermediate, debugging	How do you diagnose and fix "unable to verify the first certificate" in openssl?	This error means the server is not sending intermediate certificates, so the chain cannot be verified. Fix: concatenate the leaf cert and intermediate(s) into a single file (cat server.crt intermediate.crt > fullchain.pem) and configure the server to use fullchain.pem.	training/library/topics/tls-certificates-ops/primer.md
tls/30979a5716aa	tls	hard	tls, tls13, improvements	What security improvements does TLS 1.3 provide over TLS 1.2?	TLS 1.3 removes insecure ciphers (RC4, 3DES, static RSA key exchange), allows only AEAD ciphers (AES-GCM, ChaCha20-Poly1305), reduces handshake to 1-RTT (or 0-RTT for resumed sessions), and combines key exchange with authentication for a faster, more secure handshake.	training/library/topics/tls-certificates-ops/primer.md
tls/577e2dfb244e	tls	hard	tls, letsencrypt, automation	How do you obtain and auto-renew TLS certificates with Let's Encrypt?	Obtain: certbot certonly --webroot -w /var/www/html -d example.com. Test renewal: certbot renew --dry-run. Auto-renew: enable the systemd timer (systemctl enable certbot-renew.timer) or add a cron job. Certificates are valid for 90 days; certbot renews at 30 days remaining.	training/library/topics/tls-certificates-ops/primer.md
