id	category	tags	topic_text	trivia_fact	source
hardware-security/t001	hardware-security	tpm,chip,history	TPM Was Born from Microsoft	The Trusted Platform Module (TPM) specification was created by the Trusted Computing Group, but Microsoft was the driving force — they needed hardware-backed security for BitLocker encryption. TPM 2.0 (2014) is now mandatory for Windows 11 and increasingly used in Linux for measured boot and disk encryption.	tcg-tpm-spec
hardware-security/t002	hardware-security	spectre,meltdown,cpu	Spectre Changed Everything	The Spectre and Meltdown vulnerabilities (2018) showed that CPU speculative execution could leak secrets across process boundaries. Patches cost 5-30% performance on some workloads. These hardware bugs proved that security cannot be purely a software concern and spawned an entire research field of transient execution attacks.	spectre-meltdown-papers
hardware-security/t003	hardware-security	hsm,keys,banking	HSMs Guard the World's Money	Hardware Security Modules (HSMs) are tamper-resistant devices that generate, store, and use cryptographic keys without ever exposing them. Every credit card transaction, TLS certificate authority, and cryptocurrency exchange depends on HSMs. They self-destruct (zeroize) keys if tampered with physically.	nist-sp-800-57
hardware-security/t004	hardware-security	sgx,enclaves,intel	Intel SGX: Enclaves in Silicon	Intel Software Guard Extensions (SGX) creates encrypted memory enclaves that even the OS and hypervisor cannot read. Used for confidential computing — processing sensitive data without trusting the cloud provider. However, SGX has been attacked repeatedly (Plundervolt, SGAxe) and Intel deprecated it on consumer CPUs in 12th gen.	intel-sgx-docs
hardware-security/t005	hardware-security	uefi,secureboot,firmware	Secure Boot's Love-Hate Relationship	UEFI Secure Boot verifies that the bootloader is signed by a trusted key before executing it. It prevents bootkits and rootkits but initially caused Linux distribution headaches because Microsoft controlled the signing keys. Most distros now use a Microsoft-signed shim bootloader to chain-load their own signed GRUB.	uefi-spec
hardware-security/t006	hardware-security	rowhammer,dram,attack	Row Hammer: RAM Reads as Attacks	Repeatedly reading a DRAM row can flip bits in adjacent rows due to electrical interference. Researchers demonstrated using this to escalate privileges, escape VMs, and compromise browsers — all through memory reads. ECC memory mitigates but does not eliminate it. Modern DDR5 includes built-in row hammer protections.	rowhammer-google-2015
hardware-security/t007	hardware-security	yubikey,fido,2fa	YubiKey: Hardware 2FA Revolution	YubiKey popularized hardware security keys for two-factor authentication. A single key supports FIDO2/WebAuthn, TOTP, PIV smart card, and OpenPGP. They have no battery, no Bluetooth, and are nearly impossible to phish because the key verifies the website's origin before responding. Google required all employees to use hardware keys in 2017 and eliminated phishing.	yubico-case-studies
hardware-security/t008	hardware-security	puf,fingerprint,silicon	Every Chip Has a Fingerprint	Physical Unclonable Functions (PUFs) exploit manufacturing variations in silicon to create unique identifiers for each chip — like a semiconductor fingerprint. No two chips, even from the same wafer, produce the same PUF output. Used for device authentication, key generation, and anti-counterfeiting in IoT and military hardware.	puf-research
hardware-security/t009	hardware-security	amd-sev,confidential,cloud	AMD SEV: Encrypting VM Memory	AMD Secure Encrypted Virtualization (SEV) encrypts each VM's memory with a unique key managed by a dedicated security processor. Even the hypervisor cannot read guest memory. This enables confidential computing in the cloud — AWS (Nitro Enclaves), Azure (Confidential VMs), and GCP all offer SEV-based instances.	amd-sev-whitepaper
hardware-security/t010	hardware-security	side-channel,power,timing	Side Channels Are Everywhere	Side-channel attacks extract secrets by observing physical signals: power consumption (differential power analysis), electromagnetic emissions, timing variations, and even acoustic emanations. Smart card PIN extraction via power analysis was demonstrated in the late 1990s. Modern hardware includes countermeasures like constant-time operations and power noise injection.	kocher-1996-timing
